date,Current Portfolio_balance,KAW Core Revised Internal_balance,QQQ 100%_balance,benchmark_balance
2015-11-01,10000.0,10000.0,10000.0,10000.0
2015-11-30,9937.37323880747,9920.129709780018,10193.014714876683,10168.363273307968
2015-12-31,9928.059206544021,10016.22726687521,10285.479581043275,10170.96810926228
2016-01-31,9962.381291733864,10177.022611248367,9748.054578414487,9912.81426335678
2016-02-29,10505.785571692135,10655.357607339514,9878.003156353547,10196.267756086305
2016-03-31,10140.398163814147,10278.076434409544,9701.667707880588,10002.443956070125
2016-04-30,10225.319584560188,10262.266736307218,9336.511776428124,9982.010412912787
2016-05-31,10690.74940849273,10673.132299308707,10206.309185612326,10632.911600420119
2016-06-30,10644.959125185891,10781.417536767553,9667.390773050685,10342.067952574027
2016-07-31,10767.252291744602,10883.53706490877,10107.648705147441,10459.480210155414
2016-08-31,10628.389435708963,10754.352138601582,10132.772897232973,10388.942942228865
2016-09-30,10661.993298630181,10642.272573162505,10237.923915124127,10270.032167962672
2016-10-31,10881.39739319672,10789.759462190488,10501.582955414555,10504.960339540195
2016-11-30,10872.300582767479,10518.15462242241,10741.9959901412,11092.932985758336
2016-12-31,11344.318725623294,10826.603048022534,11375.658927099941,11680.544357197266
2017-01-31,11322.662334727436,10802.690383326246,11435.22322271115,11533.652320040444
2017-02-28,11349.77162750837,10752.859610734118,11575.479540853421,11625.238158565548
2017-03-31,11199.458483373626,10696.095224180746,11633.873098855785,11466.088463121001
2017-04-30,11519.492426616596,10981.180434975695,12089.364894007495,11713.837226942176
2017-05-31,11585.232177469255,11132.198560765186,12439.143274413205,11764.35430821263
2017-06-30,11723.225145356584,11400.257747038926,12445.28785527062,12126.280308258585
2017-07-31,11835.814600444823,11347.004804659917,12641.012484346385,12079.567313225842
2017-08-31,12077.978875585937,11646.183871667708,12958.6123515728,12166.899862106251
2017-09-30,12289.517533858823,11729.215192691281,13177.947492124273,12659.513452514208
2017-10-31,12428.387849018527,11789.049196156211,13514.43302411795,12703.51361471964
2017-11-30,12163.465597066857,11484.967364247294,13256.014951763393,12593.174196068268
2017-12-31,12245.158731280399,11587.811292167664,13330.725391476659,12614.152460281392
2018-01-31,12979.81995635367,11906.24559808532,14394.822254091336,13363.081483008958
2018-02-28,12785.277460827145,11539.796485509247,14299.474827248529,12959.43275610021
2018-03-31,12346.602815276772,11370.3101651299,13495.240044206643,12401.144007288125
2018-04-30,12501.77008792932,11350.930381342632,13658.65077156598,12552.678035086608
2018-05-31,12898.796717554982,11504.175100328406,14575.207114043034,12984.060992777984
2018-06-30,13142.51091600972,11684.656837765408,15296.188278526857,13549.54627310571
2018-07-31,13210.764004799481,11653.175398850106,15606.892709768239,13946.924360442732
2018-08-31,13464.897954177106,11715.685783396833,16557.320003310662,14434.166082580909
2018-09-30,13450.24113990584,11541.683388842403,16464.215890227744,14479.11034692025
