date,asset_QQQ,asset_SPMO,asset_AIA,asset_GLD,asset_XLE,asset_144600,asset_SCHD,optimized,provided,benchmark
2017-09-30,0.016925706453171152,0.03229582584316981,0.025619100378292847,-0.01443387268246843,0.12379050610763653,-0.02817246447819699,0.04898451157591377,0.01240190716074579,0.03358049446346886,0.040487792256337585
2017-10-31,0.025534110294627377,0.05664344346903305,0.03325078629431122,-0.02696372008011061,-0.027786184172865602,-0.001260398285858333,0.015776490325892567,0.006160100070527645,0.014725272177228675,0.0034760704565901523
2017-11-30,-0.019121530117020336,-0.012948054320758628,-0.023959757480785937,-0.03466024427485548,-0.021232383751422446,-0.022715800100959083,0.0023800069469124274,-0.02381032949028528,-0.019289564023972083,-0.008686730397325482
2017-12-31,0.005636276752144287,0.0023924798477239495,0.008610601209657176,0.00777649178041484,0.04880739438376147,0.011621900826446208,0.015406394468407525,0.008136045063082763,0.013506658914211732,0.001666700072221028
2018-01-31,0.0798229638248924,0.07308856522979323,0.08917915013768174,0.03809449196655801,0.031869501878373896,0.019147306612203208,0.0419038777892049,0.054089381333332076,0.05960153051785982,0.059371590317269574
2018-02-28,-0.00662401427443704,0.0013434641384160173,-0.06034113133068997,-0.01450580379687727,-0.10265540145171392,-0.0410821643286573,-0.050234280114301866,-0.014617606222154283,-0.034758996741959425,-0.03020583792008502
2018-03-31,-0.056242165305304126,-0.05501658293836087,0.002090002625943166,-0.009892779000364449,0.0008419062669806632,-0.009143155694879779,-0.03957472102313697,-0.030525622603217804,-0.027710510051906778,-0.04307984355790262
2018-04-30,0.012108564859494964,0.021253975283524573,-0.007735402160186866,-0.002591646928578939,0.1026220772298152,0.006591088847877735,-0.0042817452211190155,0.010587737244342227,0.020418142170043303,0.012219623761284826
2018-05-31,0.06710456361915829,0.04973840369363769,-0.002941626693625188,-0.002258495292760343,0.04005400273997339,0.0,0.027940307274997522,0.026164249805019697,0.03139070630309712,0.034365539956825675
2018-06-30,0.04946597784261231,0.03746184625018789,-0.014140962888486763,7.702618975224951e-05,0.04349462488949207,-0.02488213724463073,0.04481414981949361,0.022202112081840468,0.0250374761668915,0.0435523324662741
2018-07-31,0.020312918828515603,0.02765179403379081,0.005044978853578463,-0.029694965756958847,0.00797988314160536,-0.04297609454740803,0.037664032068390085,-0.001128584184778081,0.008710025487663637,0.02932777582920587
2018-08-31,0.0608977315555459,0.04762963572495993,-0.007962050901866635,-0.01852145921337256,-0.03193048092187789,-0.057255122088127997,0.025888366964381904,0.013685786419768604,0.012669455392565396,0.034934992405578624
2018-09-30,-0.005623053537412881,0.010813678129053095,-0.008522974471804168,-0.009403659365775696,0.02157622872408682,-0.02828222685323012,0.00957001582830519,-0.0010165206785579177,0.001128454391473099,0.0031142173593359246
2018-10-31,-0.06509323929695177,-0.07747520752554671,-0.09952671127197699,0.04450553933722201,-0.0930415607327072,0.010723039215686292,-0.03757870882129799,-0.01600275010925196,-0.0539448181859645,-0.04785535835805599
2018-11-30,-0.02077860141104637,-0.002601276949957154,0.031226126364173545,-0.014851646411977115,-0.03352713148009301,-0.01212488632919062,0.014898324185163236,-0.011708541669981695,-0.006365285299328399,3.518994537943243e-05
2018-12-31,-0.09215365577439771,-0.09418749897551637,-0.022620967392513402,0.050195656524850696,-0.12696078255911758,0.06750536974532073,-0.08683765818147071,-0.026129723218417663,-0.0574846422948809,-0.08863654157073664
2019-01-31,0.08889268167647413,0.09189673350807848,0.0857896272616494,0.020724547541037364,0.1073821979327747,0.04139120436907162,0.05921861140431628,0.0564757078178668,0.07623376030611495,0.0730029636427425
2019-02-28,0.035577166435747154,0.045037275180933145,0.004339719944582043,-0.0006252823714888445,0.02867543846561116,-0.01932100469224396,0.04627788362506746,0.021165428939307358,0.024643107857036262,0.03809448405221394
2019-03-31,0.0571582882253836,0.045879172589870176,0.026808839084766722,0.000991857700292087,0.03888372563112852,-0.04897269912749791,0.03299783318488547,0.025311983902494666,0.03146130388759251,0.03564832788035921
2019-04-30,0.08190899111034655,0.03611378369340157,0.059730376323041456,0.01870491967540433,0.025357876158480286,-0.010358094110683669,0.05846796828928258,0.035778112201703,0.04450242290768261,0.06740801147406428
2019-05-31,-0.06243352524482659,-0.0037120500510993137,-0.07752497264467528,0.039548286074311045,-0.09183013102611093,-0.026913875598086112,-0.05602883023444283,0.001090580653945363,-0.03964871450200504,-0.04355400086237948
2019-06-30,0.04614170109982485,0.019271205495970944,0.051741257071890034,0.050156084425681424,0.06369359217096648,0.05070682237246471,0.04320348577483757,0.041380512201310234,0.04477691106554684,0.04000219152904694
2019-07-31,0.050625030230280865,0.0354951486770092,0.000343340389350244,0.026732090471516257,0.010379330171045531,0.08014039192746414,0.04367850305166043,0.03307102742013096,0.031217119837784073,0.04217769221330214
2019-08-31,-0.0017535197297406935,0.013681005929744972,-0.035272315872018734,0.09808924788625406,-0.06714140059228701,0.10939615488762522,0.004372636474524683,0.04749130441012544,0.007643898345126833,0.0005379877702624825
2019-09-30,0.0015208566855411387,-0.004529886037392905,0.02818722021955522,-0.04127834679240139,0.03145617812182522,-0.05857944837686113,0.030091453666327928,-0.017714085424519722,0.0022331248097662406,0.011722216982684719
2019-10-31,0.013915740355229023,-0.031239721567368983,0.013119567353160555,-0.0037295942698365447,-0.04897728413537772,0.028519574799066527,-0.015509048940957393,-0.01093420254081576,-0.009527819054378462,-0.007159630080626145
2019-11-30,0.05259720855455163,0.0313516271998735,0.01805392103284076,-0.02101516522254465,0.027666807412249694,-0.0564658432064532,0.040039058832175956,0.01007369306416193,0.021676215357161834,0.04804977224592277
2019-12-31,0.022523156853436088,0.004120232169928295,0.07117558295528625,0.020246199987168367,0.03963131259689412,0.05450173657493984,0.006386221688112315,0.016343699457476876,0.02835035113313341,0.010992820005760295
2020-01-31,0.0558424484749247,0.055165283971514656,-0.033514324612733404,0.07082443375242797,-0.0844664860363713,-0.007600709399543937,0.00702854133143993,0.054232219234521435,0.015450908617953158,0.026195056971735964
2020-02-29,-0.04143142446042125,-0.06424052314254791,0.016272563048271182,0.013885738309998619,-0.1356203361994337,-0.03548634158794994,-0.07502574259874772,-0.027051193942111557,-0.04623058608604069,-0.06040203122446364
2020-03-31,-0.06876347544745653,-0.08142613706530599,-0.09602496177337427,0.0021828309864477813,-0.34081083776261045,-0.18210693488618312,-0.11493687424308041,-0.05245670541048958,-0.11583490195360024,-0.12100618592384049
2020-04-30,0.14466070627850636,0.11388322289724218,0.08413555600602884,0.08713067857395806,0.33078192031421616,0.06278317152103563,0.14230529535692105,0.11676982937415965,0.14438569718102404,0.1235565590917449
2020-05-31,0.08949945032112128,0.08396476513420081,0.0007234919874148371,0.029916368916486746,0.01982501837589834,0.1683922046285018,0.04008142347784083,0.05405608460817921,0.05469032756224358,0.06925516490842476
2020-06-30,0.028876920650790172,-0.007059217719316613,0.061989479779537726,-0.005477964891599019,-0.042584416941474634,-0.0023455824863174435,-0.03811799564091023,-0.0037772572151886855,0.0025235265898574276,-0.014812340467760365
2020-07-31,0.0655559752657271,0.06871033569526697,0.06405849145418152,0.09974138771487584,-0.055098413513017364,0.3396029258098223,0.045188713737360775,0.0764614355091491,0.064657499704832,0.05109015249404614
2020-08-31,0.10709677147180496,0.08262809622081924,0.03273624166130973,-0.005347265187221062,-0.012642873790123188,0.14879095163806544,0.04897518840641246,0.03876507324159211,0.052493955363664184,0.06753056620595066
2020-09-30,-0.07931598260607364,-0.04483795403491453,-0.031872092818419184,-0.051502312682141005,-0.1573394488410449,-0.16075369207265322,-0.04731183980716025,-0.058396971798247994,-0.07370673406378708,-0.05630518686009811
2020-10-31,-0.055856383155916456,-0.06571727567204178,0.013720899361406635,-0.043630500558318186,-0.07532817632010091,-0.014158576051779947,-0.022438848769357644,-0.051776891297057384,-0.04305221207266828,-0.053637873366727096
2020-11-30,0.08745227619078766,0.052928329772499394,0.07578401607524121,-0.07518161583076932,0.2513996787093966,-0.05416495691423884,0.10644979981626479,0.008676845704053497,0.07381316517165223,0.08404935425462923
2020-12-31,0.03535397143531549,0.016078229213871698,0.06352048336399219,0.05487325290432454,0.04245017652373129,0.18698481561822122,0.013723936471428111,0.03860043947316509,0.04513466147669851,0.020229529082637532
2021-01-31,0.02317412065395219,0.023040213992279623,0.09479098642829142,-0.01115678529513875,0.047301658279248926,-0.003654970760233911,0.014650584247225318,0.0073734026874529585,0.030165555727817442,0.013378858972160845
2021-02-28,0.004806349074929495,-0.00835310987792548,0.017535203142879485,-0.0568041331544098,0.2320982463223067,0.021093176815847325,0.06709424824066224,-0.01510425996205601,0.03597912895087585,0.034125966603514746
2021-03-31,0.02450220984009399,0.023843135160149354,-0.019901820913994173,-0.004304638559085472,0.03713487791964676,-0.1083168672534579,0.09726562286626295,0.014972615873176647,0.01591905069098714,0.05293772647497863
2021-04-30,0.039771209737467395,0.03440643516239206,-0.017929165210532783,0.016734904251613614,-0.011644723312410954,0.07937147461724425,0.003427551295193787,0.023243550506088534,0.017221010199653962,0.033696152722017425
2021-05-31,-0.002486417836170207,0.0016906190825261014,-0.00021254492553479665,0.08716604853475562,0.06728889753341893,0.06513624486748792,0.042154093579655605,0.046660719462459053,0.030449422022007098,0.016271370088005055
2021-06-30,0.07431965838567889,0.08355012581595678,0.01980958825531709,-0.06125486401940183,0.05381408380080077,-0.06728578938146135,0.000960682484912434,0.0075275471060653725,0.030161056825252712,0.033682804645138065
2021-07-31,0.04000971657767827,0.03360937796553465,-0.07386291142658563,0.03666133597105947,-0.073001264397755,-0.014089798985534419,0.01763491686833074,0.030679579956921298,-0.0007476053317932371,0.035766750305655126
2021-08-31,0.05705135749868773,0.060845381721727376,0.0039934092034676905,0.013486519758096671,-0.0060672988539276496,-0.05411585365853655,0.0354518062978626,0.033501302856898035,0.02613063030708796,0.04444739071641712
2021-09-30,-0.03622427312470966,-0.027095901314280746,-0.03840462324069904,-0.011090704700067566,0.11311506389544168,-0.11240934730056407,-0.01587184540673081,-0.014337233468556946,-0.010328726400298107,-0.025774898787985556
2021-10-31,0.06374154716194269,0.058868579271842636,0.00901380272592367,0.0007804266734030563,0.08804398723422291,0.1084884248751703,0.029625580405362673,0.03168817174334703,0.0475847370660843,0.055382122775103904
2021-11-30,0.040387554680723525,-0.009672293857932446,-0.024600924823147796,0.012980555320772247,-0.031097196693283147,-0.04586404586404591,-0.0009050158812903275,0.008571842163026644,-0.002648286646121917,0.011823585978256057
