portfolio,rank,start,bottom,recovery,duration_months,maximum_drawdown_pct
optimized,1,2026-06-30,2026-07-31,,3,-11.357809642089967
optimized,2,2020-09-30,2020-10-31,2021-05-31,9,-10.905795848085587
optimized,3,2020-02-29,2020-03-31,2020-04-30,3,-7.8697434949669525
optimized,4,2022-11-30,2022-12-31,2023-03-31,5,-6.321967191985212
optimized,5,2022-04-30,2022-06-30,2022-10-31,7,-6.169037788935594
optimized,6,2018-09-30,2018-12-31,2019-02-28,6,-5.5679300857792935
optimized,7,2018-02-28,2018-03-31,2018-06-30,5,-4.41384803889846
optimized,8,2019-09-30,2019-10-31,2020-01-31,5,-2.9260728267427316
optimized,9,2023-05-31,2023-05-31,2023-08-31,4,-2.7916127118983503
optimized,10,2026-03-31,2026-03-31,2026-04-30,2,-2.698407861141172
optimized,11,2022-01-31,2022-01-31,2022-02-28,2,-2.6602169613672566
optimized,12,2017-11-30,2017-11-30,2018-01-31,3,-2.433500826774415
optimized,13,2021-09-30,2021-09-30,2021-10-31,2,-1.3705512104471795
optimized,14,2025-04-30,2025-04-30,2025-05-31,2,-0.8118656948668312
optimized,15,2023-09-30,2023-09-30,2023-10-31,2,-0.7697483629870328
optimized,16,2024-08-31,2024-08-31,2024-09-30,2,-0.41450663656783515
optimized,17,2025-12-31,2025-12-31,2026-01-31,2,-0.3055195088286111
optimized,18,2020-06-30,2020-06-30,2020-07-31,2,-0.2974640021588204
optimized,19,2018-07-31,2018-07-31,2018-08-31,2,-0.16600893579505893
provided,1,2020-02-29,2020-03-31,2020-05-31,4,-15.671043040645817
provided,2,2018-10-31,2018-12-31,2019-03-31,6,-11.400424670627762
provided,3,2020-09-30,2020-10-31,2021-01-31,5,-11.3585638799376
provided,4,2026-07-31,2026-07-31,,2,-9.594547242972485
provided,5,2022-04-30,2022-06-30,2022-10-31,7,-6.978672222232474
provided,6,2018-02-28,2018-03-31,2018-06-30,5,-6.150601940748867
provided,7,2022-12-31,2022-12-31,2023-03-31,4,-5.777779342358357
provided,8,2025-04-30,2025-04-30,2025-06-30,3,-5.154824819037462
provided,9,2019-05-31,2019-05-31,2019-06-30,2,-3.964859696872758
provided,10,2023-05-31,2023-05-31,2023-06-30,2,-3.430781900625901
provided,11,2023-09-30,2023-10-31,2023-12-31,4,-2.6911522395656973
provided,12,2017-11-30,2017-11-30,2018-01-31,3,-1.9289601212014285
provided,13,2024-07-31,2024-08-31,2024-10-31,4,-1.3888601909445297
provided,14,2021-09-30,2021-09-30,2021-10-31,2,-1.032876087124146
provided,15,2019-10-31,2019-10-31,2019-11-30,2,-0.9527753428932306
provided,16,2022-01-31,2022-01-31,2022-02-28,2,-0.8609675115451743
provided,17,2026-03-31,2026-03-31,2026-04-30,2,-0.5634491655039486
provided,18,2021-11-30,2021-11-30,2021-12-31,2,-0.2648277120944731
provided,19,2021-07-31,2021-07-31,2021-08-31,2,-0.07475291764177383
benchmark,1,2020-02-29,2020-03-31,2020-07-31,6,-17.40989518054804
benchmark,2,2022-01-31,2022-06-30,2023-04-30,16,-13.403067037674276
benchmark,3,2018-10-31,2018-12-31,2019-03-31,6,-13.221946875104983
benchmark,4,2020-09-30,2020-10-31,2021-01-31,5,-10.69229697441333
benchmark,5,2025-02-28,2025-04-30,2025-07-31,6,-8.727168215945424
benchmark,6,2026-07-31,2026-07-31,,2,-8.234183406494822
benchmark,7,2018-02-28,2018-03-31,2018-06-30,5,-7.198494899787833
benchmark,8,2023-09-30,2023-10-31,2023-12-31,4,-5.163046445148256
benchmark,9,2019-05-31,2019-05-31,2019-07-31,3,-4.355343338249429
benchmark,10,2021-09-30,2021-09-30,2021-10-31,2,-2.577475789677519
benchmark,11,2025-12-31,2026-03-31,2026-04-30,5,-1.5483721436609588
benchmark,12,2024-04-30,2024-04-30,2024-05-31,2,-1.4966274842780125
benchmark,13,2017-11-30,2017-11-30,2018-01-31,3,-0.8686334311131638
benchmark,14,2023-05-31,2023-05-31,2023-06-30,2,-0.8622137250695272
benchmark,15,2019-10-31,2019-10-31,2019-11-30,2,-0.7159177417175755
benchmark,16,2024-07-31,2024-08-31,2024-09-30,3,-0.46212266342550157
benchmark,17,2023-07-31,2023-07-31,2023-08-31,2,-0.250113186812162
