point,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPMO_pct,weight_AIA_pct,weight_GLD_pct,weight_XLE_pct,weight_144600_pct,weight_SCHD_pct
1,1.2381159539897812,16.905204432949727,10.552906318851035,0.4669153403780781,10.047181846505818,11.571574137323545,43.52738184656147,0.0,0.0,34.386946829231086
2,1.2436534529447063,16.9644403392134,10.55354894043482,0.8589630221255701,10.508107236741559,11.248376131440896,43.60258562713875,0.0,0.0,33.781967982553226
3,1.249038202952214,17.023676245477063,10.55547657044784,1.251010703873017,10.96903262697726,10.925178125558274,43.67778940771602,0.0,0.0,33.17698913587542
4,1.2542684052776751,17.082912151740732,10.558688505103625,1.6430583856204946,11.42995801721303,10.601980119675625,43.752993188293296,0.0,0.0,32.572010289197536
5,1.2593424328602265,17.1421480580044,10.563183572851278,2.0351060673679666,11.890883407448746,10.27878211379299,43.82819696887057,0.0,0.0,31.967031442519723
6,1.2642588327578745,17.201383964268068,10.568960136509006,2.4271537491154302,12.351808797684455,9.955584107910363,43.90340074944785,0.0,0.0,31.3620525958419
7,1.2690163280561502,17.26061987053174,10.57601609623829,2.8192014308629267,12.812734187920244,9.632386102027695,43.97860453002514,0.0,0.0,30.757073749163986
8,1.273613819235402,17.319855776795407,10.58434889334625,3.2112491126103704,13.273659578155977,9.309188096145071,44.05380831060241,0.0,0.0,30.152094902486176
9,1.2780503849950389,17.379091683059073,10.593955514900097,3.603296794357843,13.734584968391669,8.985990090262451,44.129012091179675,0.0,0.0,29.54711605580836
10,1.2823252825362381,17.43832758932274,10.604832499134439,3.9953444761052634,14.195510358627395,8.662792084379841,44.204215871756944,0.0,0.0,28.942137209130564
11,1.2864379473078287,17.497563495586412,10.61697594162893,4.387392157852762,14.656435748863148,8.33959407849718,44.279419652334234,0.0,0.0,28.337158362452687
12,1.2903879922231205,17.556799401850075,10.630381502230788,4.779439839600218,15.11736113909889,8.016396072614544,44.3546234329115,0.0,0.0,27.732179515774845
13,1.2941752063584464,17.61603530811374,10.645044412693977,5.171487521347686,15.578286529334617,7.693198066731909,44.42982721348878,0.0,0.0,27.127200669097007
14,1.2977995531470197,17.675271214377414,10.660959485004042,5.563535203095168,16.039211919570374,7.370000060849259,44.50503099406606,0.0,0.0,26.522221822419144
15,1.3012611680843933,17.73450712064108,10.678121120355472,5.955582884842624,16.500137309806092,7.046802054966636,44.58023477464334,0.0,0.0,25.917242975741317
16,1.3045603559643195,17.79374302690475,10.696523318746106,6.3476305665901,16.96106270004184,6.723604049083989,44.65543855522062,0.0,0.0,25.31226412906346
17,1.3076975876660928,17.852978933168416,10.71615968915126,6.739678248337583,17.42198809027758,6.400406043201351,44.73064233579788,0.0,0.0,24.7072852823856
18,1.310673496516566,17.912214839432085,10.737023460238653,7.131725930085044,17.88291348051334,6.077208037318707,44.80584611637516,0.0,0.0,24.102306435707742
19,1.313488874251856,17.971450745695748,10.759107491583759,7.523773611832469,18.34383887074903,5.754010031436101,44.88104989695243,0.0,0.0,23.497327589029982
20,1.3161446666053949,18.03068665195942,10.782404285344056,7.915821293579962,18.80476426098479,5.430812025553444,44.95625367752971,0.0,0.0,22.892348742352095
21,1.31864196855032,18.089922558223094,10.806905998349926,8.307868975327445,19.265689651220523,5.107614019670804,45.031457458106985,0.0,0.0,22.287369895674242
22,1.3209820192253332,18.149158464486753,10.832604454569129,8.699916657074871,19.726615041456252,4.784416013788192,45.10666123868426,0.0,0.0,21.682391048996436
23,1.3231661965740034,18.208394370750426,10.859491157901642,9.09196433882237,20.18754043169201,4.461218007905524,45.181865019261544,0.0,0.0,21.077412202318556
24,1.3251960117280885,18.267630277014092,10.887557305261385,9.484012020569866,20.648465821927733,4.138020002022887,45.25706879983881,0.0,0.0,20.4724333556407
25,1.327081554207408,18.326866183277758,10.916724280226756,9.860852191299218,21.04985976361088,3.865081456818155,45.37392121848846,0.16178480810448884,0.0,19.6885005616788
