kind,label,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_AIA,weight_GLD,weight_XLE,weight_144600,weight_SCHD
provided,Provided Portfolio,0.19210167674598616,0.13398109855805804,1.147227861347722,0.2,0.2,0.15,0.15,0.15,0.05,0.1
optimized,Optimized Portfolio,0.19423748984296255,0.11599227598132662,1.3435606891776521,0.16502960296486335,0.28059441356920234,0.0,0.4777453625762981,0.049542521401959014,0.0,0.027088099487677285
benchmark,Benchmark,0.17690017030654545,0.15064743199568875,0.9194006222708284,,,,,,,
