date,TLT Local USD_balance,EDV Local USD_balance,ZROZ Local USD_balance,benchmark_balance
2021-11-01,10000.0,10000.0,10000.0,10000.0
2021-11-30,10277.14896968678,10360.369306818715,10396.75827785672,9919.651550293047
2021-12-31,10070.18839953389,10078.34312400719,10078.971121029552,10378.412764469449
2022-01-31,9676.049327220133,9601.781565055013,9630.882094673392,9831.0416085225
2022-02-28,9518.042036232886,9359.901282790415,9362.82432016664,9540.859623238544
2022-03-31,8999.843309133847,8762.398269138643,8775.74535252684,9899.50419708177
2022-04-30,8151.709992162994,7659.183011056164,7597.359522432752,9030.632935040167
2022-05-31,7968.025954801885,7350.181410211698,7294.290169232235,9051.017707814055
2022-06-30,7866.470456386457,7245.9748028893755,7201.242271217413,8304.667696949453
2022-07-31,8057.704704061667,7419.137125523309,7356.979333613194,9069.422330564292
2022-08-31,7690.830211722225,7037.246988876843,6986.02117764757,8699.372404419495
2022-09-30,7057.480314863711,6319.385744405812,6224.722812997764,7895.151552348324
2022-10-31,6636.544396504453,5745.096748828987,5578.697604324986,8536.83426314394
2022-11-30,7111.126319302015,6323.940539011832,6134.549931473773,9011.409746335272
2022-12-31,6924.810047712555,6132.485478185128,5917.971157882582,8492.098039112856
2023-01-31,7454.119301939115,6756.619755237752,6542.164847803591,9026.144642234236
2023-02-28,7092.554205131117,6326.463901791404,6141.624632805176,8799.202723847317
2023-03-31,7435.786593687046,6703.311910364269,6491.3334758637275,9125.45759963011
2023-04-30,7460.9469864210705,6714.053606944147,6495.431724840636,9271.235337215865
2023-05-31,7235.977429130004,6429.856097388931,6196.30516565437,9314.034642845148
2023-06-30,7251.686519305044,6494.75157618224,6285.087355485407,9917.58068473503
2023-07-31,7067.183332129127,6237.1997792681495,6028.862164506884,10242.217563916538
2023-08-31,6845.12788030246,5946.10078712893,5718.222934900865,10075.759519355082
2023-09-30,6300.8616028232445,5267.619961861886,5009.473149326677,9597.821891671196
2023-10-31,5956.636510547341,4845.484421945663,4550.397238447627,9389.466027103254
2023-11-30,6547.764188739505,5525.099184182757,5279.353768318329,10247.134629365386
2023-12-31,7116.48802718076,6215.803081550066,5988.453477611547,10714.970940554256
2024-01-31,6956.713194294091,5968.030136386378,5657.204761315413,10885.623869865169
2024-02-29,6800.033406049551,5811.542893817655,5507.019661871654,11453.709351113206
2024-03-31,6853.268296981998,5875.977310489347,5561.75961572974,11828.26812280219
2024-04-30,6410.859083214422,5338.134553164468,4988.433910693468,11351.357423315967
2024-05-31,6595.9395525288,5549.677341896741,5191.118371811541,11925.505253634261
2024-06-30,6715.796371787917,5688.380853600692,5321.515675082084,12346.241067177552
2024-07-31,6959.575602850572,5918.31424128944,5568.545614987638,12495.740267817779
2024-08-31,7106.506831315579,6085.910322497848,5774.045671587649,12787.712467475298
2024-09-30,7248.598244496099,6240.19208557313,5901.497133326461,13056.312660160762
2024-10-31,6853.195675135157,5792.601253379645,5461.378925132772,12939.804147996163
2024-11-30,6989.385024661276,5939.689265147107,5590.74086233929,13711.447492502155
2024-12-31,6543.388414747556,5421.526044689925,5019.3142287387145,13381.550529757467
2025-01-31,6575.609128049183,5415.121747328238,4966.649508600262,13740.928623741876
2025-02-28,6950.22830954681,5836.227450482783,5391.630064725687,13566.491155731506
2025-03-31,6866.499628213074,5692.923169317381,5239.485272412917,12810.575616996752
2025-04-30,6773.083931037805,5527.274451628346,5076.051688835107,12699.507202033848
2025-05-31,6555.627042258656,5252.004273822563,4770.631304403988,13497.606881680442
2025-06-30,6730.269659687875,5448.741188754762,4959.947839158016,14191.198013443198
2025-07-31,6653.5686806346,5354.339376136976,4854.432933307903,14518.04183148428
2025-08-31,6654.41306346399,5289.602838986732,4757.898102453106,14815.944559201174
2025-09-30,6893.371557862938,5609.191135469905,5085.667688668009,15343.693519835027
2025-10-31,6988.575106437169,5730.907594875356,5199.9096800664865,15709.450049829762
2025-11-30,7007.606338385563,5706.862088700736,5171.91638275629,15740.082134411792
2025-12-31,6821.302375583703,5456.937520302827,4926.806221607713,15752.634896480111
2026-01-31,6818.953858909544,5443.507279855646,4883.864639181831,15984.794375523474
2026-02-28,7134.927206445577,5803.60960412103,5241.201879336461,15846.653043272301
2026-03-31,6833.116965361971,5451.900974890244,4908.402814899238,15064.152183246511
2026-04-30,6775.74201372012,5362.205673901403,4823.734779668703,16646.681845454463
2026-05-31,6811.881844993722,5412.319908281479,4860.242987510667,17522.72601314723
2026-06-30,6891.304912424829,5527.837315215565,4979.088606567741,17342.372191379724
2026-07-31,6583.004247639519,5118.670296841254,4570.785847044084,17348.410444136167
2026-08-31,6660.148958485789,5221.973498254337,4663.617668662936,17866.750502939678
