metric,TLT Local USD,EDV Local USD,ZROZ Local USD,benchmark
alpha,-0.16015989743350723,-0.21681609721479964,-0.2398842160881974,0.0
beta,0.5173699936744416,0.6896113456116659,0.7257995079568549,1.0
calmar_ratio,-0.09167745785513806,-0.23571087895451262,-0.27751873609825534,2.775868841978094
excess_kurtosis,-0.05738319041887152,0.0027770165653722145,0.12636543279559076,-0.26007592948515734
historical_var_95,0.06679803591197203,0.09310392798823884,0.10456238487408306,0.06135305744911867
modigliani_modigliani,-0.08128749102244129,-0.07938638046581685,-0.08441101950876904,0.1327809508320759
r_squared,0.30759464251409696,0.28580355375703076,0.2699237386937246,1.0
skewness,0.28200233220062076,0.38151410313273,0.40861841950027733,-0.27749753031614927
treynor_ratio,-0.21579461885540124,-0.22031404899650223,-0.2363733470264447,0.094386123245869
