date,TLT Local USD_drawdown,EDV Local USD_drawdown,ZROZ Local USD_drawdown,benchmark_drawdown
2021-11-30,0.0,0.0,0.0,0.0
2021-12-31,-0.020137936188658445,-0.027221634138650752,-0.03056598492859053,0.0
2022-01-31,-0.0584889490499394,-0.07322014489043704,-0.07366490233927137,-0.05274131684383154
2022-02-28,-0.07386357205611571,-0.09656683023546642,-0.09944772495982523,-0.08070146757876817
2022-03-31,-0.12428599257638895,-0.1542388104474579,-0.15591522684357817,-0.04614468303161212
2022-04-30,-0.20681212112356517,-0.26072297384078336,-0.269256885714675,-0.12986377204454747
2022-05-31,-0.2246851750126252,-0.2905483199933665,-0.29840725596479434,-0.1278996207589409
2022-06-30,-0.23456685510843522,-0.3006065142754698,-0.30735695889411974,-0.1998133158298997
2022-07-31,-0.21595914121431248,-0.28389260017590534,-0.2923775722205376,-0.12612626454658782
2022-08-31,-0.2516572218222287,-0.3207532684915727,-0.3280577473339381,-0.1617819986692145
2022-09-30,-0.31328422545199286,-0.39004242442914794,-0.4012823375671495,-0.23927177194402816
2022-10-31,-0.3542426585350239,-0.44547374917920823,-0.4634195145032237,-0.17744317393408782
2022-11-30,-0.30806429484706177,-0.3896027881120312,-0.4099555104075764,-0.13171600023600127
2022-12-31,-0.326193473682458,-0.408082347590736,-0.43078688570774715,-0.18175368123865732
2023-01-31,-0.2746899627585824,-0.34783987373974623,-0.37074954779536806,-0.13029623632475962
2023-02-28,-0.309871421923421,-0.38935922895841,-0.40927503855833935,-0.15216296330288248
2023-03-31,-0.2764737948608651,-0.3529852351930679,-0.3756387036823646,-0.12072705078071644
2023-04-30,-0.2740256068655137,-0.3519484288532777,-0.37524451841159256,-0.10668080489571696
2023-05-31,-0.2959158760398375,-0.3793796430444717,-0.40401565564418107,-0.10255692713130515
2023-06-30,-0.29438733050436106,-0.37311582397862064,-0.3954762448530186,-0.044402943898326996
2023-07-31,-0.3123400903329987,-0.3979751498662202,-0.4201209643060272,-0.013122931573812169
2023-08-31,-0.33394680757351325,-0.42607250658376794,-0.4499994342390664,-0.02916180460180784
2023-09-30,-0.3869056854767692,-0.4915605992544124,-0.5181697010311396,-0.07521293385734373
2023-10-31,-0.4203999058380018,-0.5323058205312634,-0.562325379042506,-0.09528882304159847
2023-11-30,-0.3628812613252348,-0.46670827838671813,-0.4922115502519251,-0.012649153399785229
2023-12-31,-0.30754258324255357,-0.4000403945582217,-0.42400762645738255,0.0
2024-01-31,-0.32308919382083123,-0.4239558494832325,-0.45586839569365845,0.0
2024-02-29,-0.3383346464951751,-0.43906025724461706,-0.4703137733229169,0.0
2024-03-31,-0.33315471857066337,-0.4328409406581626,-0.4650486750687166,0.0
2024-04-30,-0.3762025730945683,-0.48475441414514486,-0.520193335520942,-0.040319571262241616
2024-05-31,-0.35819364183743785,-0.4643359539081101,-0.50069836836856,0.0
2024-06-30,-0.3465311837362034,-0.4509480612957626,-0.4881562567039781,0.0
2024-07-31,-0.32281067216420034,-0.4287545099966388,-0.4643959716897845,0.0
2024-08-31,-0.30851378604350754,-0.41257785873594444,-0.44463018978854607,0.0
2024-09-30,-0.2946878296815214,-0.3976863275070587,-0.432371420436347,0.0
2024-10-31,-0.3331617849124139,-0.4408885357429081,-0.4747036740515016,-0.0089235387660489
2024-11-30,-0.3199101185283011,-0.42669135730153185,-0.46226114785734773,0.0
2024-12-31,-0.3633070383578393,-0.47670532930503473,-0.5172231483510608,-0.0240599661651395
2025-01-31,-0.3601718582221165,-0.47732348269050073,-0.522288642684099,0.0
2025-02-28,-0.3237201941854664,-0.4366776629630714,-0.4814123863773079,-0.012694736490296177
2025-03-31,-0.33186726703423985,-0.45050962946170625,-0.49604625476653563,-0.0677067054360243
2025-04-30,-0.3409569180114521,-0.46649831797110264,-0.5117659223023189,-0.07578974101565727
2025-05-31,-0.36211618012009283,-0.4930678513201323,-0.5411424237336939,-0.01770780918263548
2025-06-30,-0.34512288577899286,-0.4740784785375698,-0.522933234898628,0.0
2025-07-31,-0.3525861403527575,-0.4831902978001954,-0.5330820623533203,0.0
2025-08-31,-0.3525039791588427,-0.4894387755554852,-0.5423671518278348,0.0
2025-09-30,-0.32925254093373035,-0.4585915840106013,-0.5108410186375504,0.0
2025-10-31,-0.3199889262040967,-0.4468433098129486,-0.49985278669588895,0.0
2025-11-30,-0.31813712547565265,-0.44916422188302263,-0.502545289162722,0.0
2025-12-31,-0.3362651066260064,-0.473287355045218,-0.5261209225089949,0.0
2026-01-31,-0.3364936249321132,-0.47458366409072106,-0.5302512082459769,0.0
2026-02-28,-0.3057483911646529,-0.439825991501928,-0.49588114494310154,-0.008642046247570145
2026-03-31,-0.33511550863797335,-0.47377349074785835,-0.5278910325968356,-0.057594872392396024
2026-04-30,-0.3406982779265263,-0.4824310297151041,-0.5360347282534772,0.0
2026-05-31,-0.33718175487327506,-0.47759392083452656,-0.5325232291047742,0.0
2026-06-30,-0.3294536322523641,-0.4664439894456853,-0.5210922026366304,-0.010292566443839024
2026-07-31,-0.35945228904858906,-0.5059374675502752,-0.5603643246396273,-0.00994797093102262
2026-08-31,-0.35194585792904276,-0.4959664715023744,-0.5514354047649999,0.0
