date,asset_TLT,asset_EDV,asset_ZROZ,TLT Local USD,EDV Local USD,ZROZ Local USD,benchmark
2021-11-30,0.027714896968678016,0.036036930681871526,0.03967582778567191,0.027714896968678016,0.036036930681871526,0.03967582778567191,-0.008034844970695287
2021-12-31,-0.020137936188658445,-0.027221634138650752,-0.03056598492859053,-0.020137936188658445,-0.027221634138650752,-0.03056598492859053,0.04624771463498112
2022-01-31,-0.03913919548238054,-0.04728570491085793,-0.044457814292297226,-0.03913919548238054,-0.04728570491085793,-0.044457814292297226,-0.05274131684383154
2022-02-28,-0.01632973186099307,-0.025191187762998224,-0.02783314880939214,-0.01632973186099307,-0.025191187762998224,-0.02783314880939214,-0.029516911517534217
2022-03-31,-0.054443836781386534,-0.06383646532152776,-0.06270319164007876,-0.054443836781386534,-0.06383646532152776,-0.06270319164007876,0.037590383676715966
2022-04-30,-0.09423867592340085,-0.12590334565914751,-0.13427757788742012,-0.09423867592340085,-0.12590334565914751,-0.13427757788742012,-0.08776916952040204
2022-05-31,-0.022533190893407884,-0.0403439375189778,-0.039891405995154394,-0.022533190893407884,-0.0403439375189778,-0.039891405995154394,0.002257291700429098
2022-06-30,-0.01274537746130533,-0.014177419781442047,-0.012756264949165819,-0.01274537746130533,-0.014177419781442047,-0.012756264949165819,-0.08246034147300951
2022-07-31,0.0243100446045601,0.02389772630245468,0.021626416183530672,0.0243100446045601,0.02389772630245468,0.021626416183530672,0.09208732504682349
2022-08-31,-0.04553089320268966,-0.05147365929289638,-0.050422617645635937,-0.04553089320268966,-0.05147365929289638,-0.050422617645635937,-0.040801929015667926
2022-09-30,-0.08235130401047908,-0.10200881759666691,-0.10897452860372814,-0.08235130401047908,-0.10200881759666691,-0.10897452860372814,-0.09244584720417381
2022-10-31,-0.059643938003302366,-0.09087734454020469,-0.10378377127473393,-0.059643938003302366,-0.09087734454020469,-0.10378377127473393,0.08127554063287801
2022-11-30,0.07151039674314985,0.10075440249127743,0.0996383684101918,0.07151039674314985,0.10075440249127743,0.0996383684101918,0.05559150717499772
2022-12-31,-0.02620066965815726,-0.030274645949884382,-0.03530475356961671,-0.02620066965815726,-0.030274645949884382,-0.03530475356961671,-0.05762824262137323
2023-01-31,0.07643664599888988,0.10177509254165118,0.1054742703653766,0.07643664599888988,0.10177509254165118,0.1054742703653766,0.06288747499871894
2023-02-28,-0.04850540783723989,-0.06366435718287822,-0.06122441490187902,-0.04850540783723989,-0.06366435718287822,-0.06122441490187902,-0.025142730078247966
2023-03-31,0.048393340202830926,0.05956692623602211,0.05694077120744234,0.048393340202830926,0.05956692623602211,0.05694077120744234,0.037077776932969986
2023-04-30,0.003383689461365913,0.0016024461823520575,0.0006313416175807163,0.003383689461365913,0.0016024461823520575,0.0006313416175807163,0.015974841370329118
2023-05-31,-0.030152949444690047,-0.04232875192734231,-0.04605183640716426,-0.030152949444690047,-0.04232875192734231,-0.04605183640716426,0.004616354139720835
2023-06-30,0.0021709700353402805,0.010092835331052319,0.014328246827343127,0.0021709700353402805,0.010092835331052319,0.014328246827343127,0.06479963464098937
2023-07-31,-0.02544279688383433,-0.039655373095191404,-0.04076716463692398,-0.02544279688383433,-0.039655373095191404,-0.04076716463692398,0.03273347497753987
