point,sharpe,expected_return_pct,volatility_pct,weight_133690_pct,weight_SPY_pct,weight_069500_pct,weight_168580_pct,weight_200250_pct,weight_101280_pct,weight_TLT_pct,weight_385560_pct,weight_132030_pct
1,0.5007834927232683,7.947160631051645,8.202502542752239,0.0,11.893203284125297,0.0,13.226752313574725,29.268415966518745,7.7736151256251125,9.536679601541417,4.822653120964252,23.47868058765045
2,0.521970591358541,8.121212919501932,8.203010345347462,0.0,12.400829278453008,0.0,13.159619842110445,28.95441900508191,8.016470299746821,9.207478134669508,4.56959008272643,23.69159335721188
3,0.5430878445766012,8.295265207952221,8.204533564556801,0.0,12.908455272780714,0.0,13.092487370646161,28.64042204364508,8.259325473868543,8.878276667797595,4.316527044488616,23.904506126773303
4,0.5641274919590878,8.469317496402507,8.207071635001235,0.0,13.416081267108412,0.0,13.02535489918188,28.326425082208235,8.502180647990269,8.549075200925676,4.0634640062508005,24.117418896334716
5,0.5850818708990102,8.643369784852794,8.210623615547464,0.0,13.923707261436109,0.0,12.958222427717603,28.012428120771403,8.745035822111994,8.21987373405377,3.8104009680129827,24.330331665896143
6,0.6059434304993121,8.817422073303085,8.2151881910502,0.0,14.431333255763814,0.0,12.891089956253326,27.698431159334575,8.98789099623372,7.890672267181836,3.5573379297751715,24.543244435457563
7,0.6267047450758899,8.99147436175337,8.220763674780871,0.0,14.938959250091525,0.0,12.82395748478904,27.384434197897722,9.230746170355438,7.561470800309943,3.3042748915373474,24.75615720501899
8,0.6473585272091891,9.165526650203661,8.227348011532259,0.0,15.446585244419234,0.0,12.756825013324761,27.070437236460883,9.473601344477164,7.232269333438023,3.0512118532995296,24.969069974580414
9,0.6678976402915867,9.339578938653947,8.23493878138581,0.0,15.954211238746947,0.0,12.689692541860481,26.75644027502405,9.71645651859886,6.903067866566113,2.798148815061719,25.181982744141834
10,0.6883151105212787,9.513631227104236,8.243533204125605,0.0,16.46183723307465,0.0,12.622560070396204,26.442443313587216,9.959311692720592,6.573866399694182,2.5450857768239055,25.394895513703254
11,0.7086041382971655,9.687683515554523,8.25312814428031,0.0,16.969463227402358,0.0,12.555427598931926,26.128446352150387,10.202166866842298,6.244664932822267,2.292022738586092,25.607808283264678
12,0.7287581089733841,9.861735804004812,8.263720116772063,0.0,17.477089221730054,0.0,12.488295127467639,25.814449390713552,10.445022040964025,5.915463465950358,2.038959700348269,25.820721052826105
13,0.7487706029364763,10.035788092455102,8.275305293148762,0.0,17.984715216057783,0.0,12.421162656003364,25.50045242927671,10.687877215085726,5.586261999078442,1.785896662110454,26.033633822387525
14,0.7686354049727631,10.209840380905389,8.28787950837424,0.0,18.492341210385472,0.0,12.354030184539077,25.18645546783987,10.930732389207463,5.257060532206536,1.532833623872634,26.246546591948945
15,0.7883465128982304,10.383892669355676,8.301438268148743,0.0,18.999967204713172,0.0,12.2868977130748,24.872458506403028,11.173587563329198,4.92785906533461,1.2797705856348156,26.459459361510362
16,0.8078981454280508,10.557944957805962,8.315976756730405,0.0,19.50759319904088,0.0,12.219765241610519,24.5584615449662,11.416442737450904,4.598657598462704,1.0267075473970049,26.672372131071786
17,0.8272847492677862,10.731997246256253,8.331489845226804,0.0,20.0152191933686,0.0,12.152632770146237,24.24446458352936,11.659297911572612,4.269456131590783,0.7736445091591874,26.88528490063321
18,0.8465010054131828,10.906049534706538,8.347972100324451,0.0,20.522845187696312,0.0,12.085500298681962,23.930467622092525,11.902153085694325,3.9402546647188688,0.5205814709213764,27.09819767019463
19,0.8655418346503847,11.080101823156827,8.365417793422793,0.0,21.03047118202401,0.0,12.018367827217679,23.616470660655683,12.14500825981606,3.6110531978469687,0.2675184326835515,27.31111043975606
20,0.8844024022531235,11.254154111607118,8.383820910138466,0.0,21.53809717635171,0.0,11.951235355753397,23.30247369921885,12.387863433937792,3.2818517309750472,0.014455394445732166,27.524023209317484
