series,133690,SPY,069500,168580,200250,101280,TLT,385560,132030,optimized,provided,benchmark
133690,1.0,0.8581027282350108,0.5197056945872635,0.12787406303260435,0.3845607251943168,0.5654607535638793,0.3701643137806073,0.18913324534019874,-0.11857479959343427,0.6146101566899249,0.6448704936959121,0.8461215253526982
SPY,0.8581027282350108,1.0,0.4925285872934105,0.12276839444642726,0.4810489614168524,0.6379833132949233,0.4578620450354966,0.25192412770830247,-0.1551933261785193,0.7008075348408793,0.6650356899814522,0.9905008256640261
069500,0.5197056945872635,0.4925285872934105,1.0,0.17590199003707307,0.2612053056305531,0.630647303191199,0.2481879306801537,0.17161799885067516,0.26342917508680463,0.6341774959665368,0.7327631352632076,0.48473978710793336
168580,0.12787406303260435,0.12276839444642726,0.17590199003707307,1.0,-0.0856963733846185,0.11094319113580248,0.33423645030086674,0.0028445596138068105,0.08273629243768282,0.16087647162181146,0.34554696481451536,0.11791428336698172
200250,0.3845607251943168,0.4810489614168524,0.2612053056305531,-0.0856963733846185,1.0,0.4674343713616616,0.29202725299431925,0.05397455105281232,-0.16727981427189076,0.3048871235673962,0.35792630372061507,0.47162086335953274
101280,0.5654607535638793,0.6379833132949233,0.630647303191199,0.11094319113580248,0.4674343713616616,1.0,0.38243447534019687,0.27879660332405787,0.07144350110987657,0.6739360111186675,0.6848417459823893,0.653210061071628
TLT,0.3701643137806073,0.4578620450354966,0.2481879306801537,0.33423645030086674,0.29202725299431925,0.38243447534019687,1.0,0.4376636888365441,-0.02548334177896368,0.3686583246464219,0.6283525165187669,0.44504241740546735
385560,0.18913324534019874,0.25192412770830247,0.17161799885067516,0.0028445596138068105,0.05397455105281232,0.27879660332405787,0.4376636888365441,1.0,0.23842833920187922,0.3860921611990951,0.5922010433083789,0.2351262267265759
132030,-0.11857479959343427,-0.1551933261785193,0.26342917508680463,0.08273629243768282,-0.16727981427189076,0.07144350110987657,-0.02548334177896368,0.23842833920187922,1.0,0.5819433226505074,0.4324453058546984,-0.1549735314859158
optimized,0.6146101566899249,0.7008075348408793,0.6341774959665368,0.16087647162181146,0.3048871235673962,0.6739360111186675,0.3686583246464219,0.3860921611990951,0.5819433226505074,1.0,0.876660063848747,0.6973176575351197
provided,0.6448704936959121,0.6650356899814522,0.7327631352632076,0.34554696481451536,0.35792630372061507,0.6848417459823893,0.6283525165187669,0.5922010433083789,0.4324453058546984,0.876660063848747,1.0,0.6510767430582746
benchmark,0.8461215253526982,0.9905008256640261,0.48473978710793336,0.11791428336698172,0.47162086335953274,0.653210061071628,0.44504241740546735,0.2351262267265759,-0.1549735314859158,0.6973176575351197,0.6510767430582746,1.0
