portfolio,rank,start,bottom,recovery,duration_months,maximum_drawdown_pct
optimized,1,2022-04-30,2022-09-30,2023-03-31,12,-9.181453507663662
optimized,2,2026-06-30,2026-07-31,,3,-6.678365736810543
optimized,3,2026-03-31,2026-03-31,2026-05-31,3,-5.783704421930935
optimized,4,2022-01-31,2022-01-31,2022-03-31,3,-3.3123885281638787
optimized,5,2023-09-30,2023-10-31,2023-11-30,3,-2.16005946240746
optimized,6,2023-05-31,2023-05-31,2023-06-30,2,-0.9555500024504893
provided,1,2022-01-31,2022-12-31,2024-03-31,27,-16.96415975026445
provided,2,2026-06-30,2026-07-31,,3,-8.769787607107082
provided,3,2026-03-31,2026-03-31,2026-05-31,3,-6.551292588382351
provided,4,2025-05-31,2025-05-31,2025-06-30,2,-0.5567538006798767
provided,5,2024-08-31,2024-08-31,2024-09-30,2,-0.49469666290854475
benchmark,1,2022-01-31,2022-06-30,2023-04-30,16,-13.403072951156114
benchmark,2,2025-02-28,2025-04-30,2025-07-31,6,-8.727129783260102
benchmark,3,2026-07-31,2026-07-31,,2,-8.234183406494832
benchmark,4,2023-09-30,2023-10-31,2023-12-31,4,-5.163046445148245
benchmark,5,2025-12-31,2026-03-31,2026-04-30,5,-1.5483721436609588
benchmark,6,2024-04-30,2024-04-30,2024-05-31,2,-1.4966038761446199
benchmark,7,2023-05-31,2023-05-31,2023-06-30,2,-0.8622288468976613
benchmark,8,2024-07-31,2024-08-31,2024-09-30,3,-0.46211123581548774
benchmark,9,2023-07-31,2023-07-31,2023-08-31,2,-0.250113186812162
