kind,label,sharpe,expected_return_pct,volatility_pct,weight_133690_pct,weight_SPY_pct,weight_069500_pct,weight_168580_pct,weight_200250_pct,weight_101280_pct,weight_TLT_pct,weight_385560_pct,weight_132030_pct
provided,Provided Portfolio,0.503219241251107,9.098395239219844,10.450539346477319,10.0,10.0,8.0,8.5,8.5,5.0,15.0,15.0,20.0
optimized,Optimized Portfolio,1.2867669603649265,16.563876136377925,9.888654099533769,0.0,48.07412206853252,0.0,0.0,0.0,14.732416852398647,0.0,0.0,37.19346107906883
benchmark,Benchmark,0.8909055851942431,16.58139950708593,14.302207731346906,,,,,,,,,
