date,optimized_drawdown,provided_drawdown,benchmark_drawdown
2021-11-30,0.0,0.0,0.0
2021-12-31,0.0,0.0,0.0
2022-01-31,-0.01845555467745097,-0.022512653893063228,-0.03855511431575376
2022-02-28,-0.006767620063269919,-0.03874380754226758,-0.07475254765787609
2022-03-31,0.0,-0.038301211055736806,-0.026416708083588092
2022-04-30,-0.005664876845195677,-0.0675146455899176,-0.06960665272379307
2022-05-31,-0.04599027973897696,-0.0999664275564045,-0.08989738655581014
2022-06-30,-0.05585211929009137,-0.1115913690382142,-0.13403064084381144
2022-07-31,-0.024652131515421893,-0.0799466874852317,-0.048821666684369824
2022-08-31,-0.024088845557235672,-0.08155158813486851,-0.05444509970587219
2022-09-30,-0.01989530728671518,-0.1083725772278652,-0.08565436021529427
2022-10-31,0.0,-0.11724193038665576,-0.017230463785393946
2022-11-30,-0.000838258840251016,-0.09836588492841947,-0.032853828268609275
2022-12-31,-0.05918181855012283,-0.165831039853796,-0.1333625051563645
2023-01-31,-0.025517743934525994,-0.11909705035924822,-0.09988309957880293
2023-02-28,0.0,-0.1037626877467065,-0.060631019240855455
2023-03-31,0.0,-0.06996617589903564,-0.041947333969770906
2023-04-30,0.0,-0.036477824165861095,0.0
2023-05-31,-0.018425382432342707,-0.053226343048777824,-0.008622061467425723
2023-06-30,-0.0008583787021892997,-0.03355500400831035,0.0
2023-07-31,-0.008591151796282781,-0.047050835509759525,-0.002500991563952226
2023-08-31,0.0,-0.045627038068438264,0.0
2023-09-30,-0.03084007079051998,-0.0814257367916219,-0.03074416955034731
2023-10-31,-0.0007736393771479166,-0.09781207752451038,-0.05163031153448949
2023-11-30,0.0,-0.06628637777697288,-0.010845992934676363
2023-12-31,0.0,-0.025655936576294835,0.0
2024-01-31,0.0,-0.008336505227141577,0.0
2024-02-29,0.0,0.0,0.0
2024-03-31,0.0,0.0,0.0
2024-04-30,0.0,-0.004234938785350417,-0.014966095302137106
2024-05-31,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0
2024-07-31,0.0,0.0,-0.0017778314018821462
2024-08-31,-0.004159594940354783,-0.01093822142073253,-0.004621116303332395
2024-09-30,0.0,0.0,0.0
2024-10-31,0.0,0.0,0.0
2024-11-30,0.0,0.0,0.0
2024-12-31,0.0,0.0,0.0
2025-01-31,0.0,0.0,0.0
2025-02-28,0.0,0.0,-0.0070792948869862204
2025-03-31,0.0,0.0,-0.04811232940226118
2025-04-30,-0.0076206570813549535,-0.020365067234498713,-0.08727148613561175
2025-05-31,-0.018128090377662165,-0.03749059943325139,-0.06625484137690041
2025-06-30,-0.009367925798331567,-0.00748813014322558,-0.03396908910020735
2025-07-31,0.0,0.0,0.0
2025-08-31,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0
2025-10-31,0.0,0.0,0.0
2025-11-30,0.0,0.0,0.0
2025-12-31,-0.003942939389419364,-0.008776141973551699,-0.015288936878936399
2026-01-31,0.0,0.0,-0.00713501011093165
2026-02-28,0.0,0.0,-0.013262838016641187
2026-03-31,-0.03759097320840299,-0.03394661171992319,-0.015483721436609477
2026-04-30,-0.019838575100425526,0.0,0.0
2026-05-31,0.0,0.0,0.0
2026-06-30,-0.03578396267220285,0.0,0.0
2026-07-31,-0.11116981396207326,-0.12596248663653953,-0.08234183406494822
2026-08-31,-0.07687497090079609,-0.10609252855175821,-0.08163424536463548
