year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ytd,portfolio
2021,,,,,,,,,,,-0.003595848439855139,0.03363314714898123,0.02991635900942291,optimized
2022,-0.035830246205350615,0.022877707917106496,0.023891357024989308,-0.05399706517357589,-0.021098806856170035,-0.04326828664640349,0.025792934478694476,-0.035392671465410155,-0.05604007986809184,0.01626349558551332,0.07316767387737666,-0.009830585410043315,-0.0975984412859876,optimized
2023,0.06555453062883072,-0.039370997359911994,0.07009223032951375,0.01010171547965115,0.0037562971490474138,0.012355264410538146,0.027612831408271858,-0.013976514033170354,-0.047988868973128,0.035692465763997275,0.05398657387177164,0.02732574649983253,0.21621903027612288,optimized
2024,-0.0018622330064165162,0.023699664771559322,0.06241278580117335,0.0013504006315006832,0.03141348308035303,0.01725262989487282,0.03316933251741596,0.020245306540020627,0.0396344142142613,0.022263842332459934,0.004286457227183998,-0.014238489811998326,0.2648914651627605,optimized
2025,0.05075524004617447,0.003927193783765,0.03168836655396627,0.03211695891002171,0.028686202576576406,0.024659246339791704,0.005693611676451199,0.036658918877671476,0.08723356015745833,0.0341036995771285,0.03063000762703231,0.012352905450175719,0.4479942809124702,optimized
2026,0.07920814631344866,0.046876812994912975,-0.08592498271622773,0.03973498286916294,0.01890952992952144,-0.0730450006432239,-0.003583790160574081,0.07380588456153875,,,,,0.08509092308068533,optimized
2021,,,,,,,,,,,-0.004113908168569837,0.014042157592271596,0.009870481276878618,provided
2022,-0.03693554516963907,-0.008295131037933511,-0.0134692339266829,-0.07441933392776727,-0.011054982876992157,-0.04815401015110919,0.0296704802373029,-0.036780688714487385,-0.08887563572643864,-0.004013961957834739,0.09558021092561936,-0.027027375168682644,-0.2124090938882227,provided
2023,0.08068664554940108,-0.049616984541675443,0.05519804885283579,0.0028325402042008074,-0.004261148126379931,0.019751223296327447,0.020864835716413618,-0.03382085115957838,-0.05408425589293579,-0.017999217252099197,0.08290882841458888,0.052105895533303435,0.15197241008058837,provided
2024,-0.01964827242191429,0.02018269055494514,0.03422076885319354,-0.029864490937695682,0.026586066062751497,0.02449796657735907,0.02515112262738941,0.015063336029997765,0.0284785743744511,-0.02224063060907558,0.004354642715618891,-0.03531832855568581,0.07001872466601244,provided
2025,0.02929937362691155,0.01986627261873798,0.003192543578187136,0.012806651165645264,0.020760680146405343,0.047925258766647424,0.0014562858889676338,0.020108632023632805,0.0652348280146583,0.04337203738951893,0.0018546643756387343,0.007416653344962276,0.3074552700467734,provided
2026,0.06460079747332606,0.06094838163054207,-0.079578359876257,0.06945804432764795,0.05118560966235573,-0.021728123301768706,-0.047203122604429715,0.05247946628030635,,,,,0.1465276862690288,provided
2021,,,,,,,,,,,-0.008034916411653215,0.0462478641345212,0.03784135000032962,benchmark
2022,-0.05274124855640383,-0.02951712565823139,0.037590463543415886,-0.08776910421290696,0.002257291700429098,-0.08246049807752298,0.09208751144294469,-0.04080185087231036,-0.09244583967285314,0.08127544357125216,0.05559150717499772,-0.05762824262137323,-0.18175368123865732,benchmark
2023,0.06288730808705378,-0.025142576990475618,0.037077776932969986,0.015974996697359023,0.004616276991602275,0.06479962971031439,0.03273325825695461,-0.01625201272366572,-0.047434542695864446,-0.021708590654724524,0.09134393698944976,0.04565525434007034,0.2617578836134973,benchmark
2024,0.015926520963537527,0.05218682886295478,0.03270183654922865,-0.04031945384393465,0.05057947229704984,0.03528010090488243,0.012109347374647195,0.023365622432159006,0.02100466450108729,-0.008923646360100457,0.059633418953695116,-0.02406006705359487,0.24886476304115313,benchmark
2025,0.02685623711431928,-0.012694736490296177,-0.05571920643497963,-0.008670276875496041,0.06284505165897136,0.051386124993305415,0.02303144881615604,0.02051958368009088,0.03562033851605517,0.023837580535737146,0.001949914509092654,0.0007975029584423865,0.1771905551191475,benchmark
2026,0.014737818820090842,-0.008642046247570145,-0.04937956664344334,0.10505268686597247,0.05262575303750272,-0.010292566443839024,0.00034817917005858234,0.029878245068770015,,,,,0.13420711013444264,benchmark
