kind,label,expected_return,volatility,sharpe,weight_SPY,weight_QQQ,weight_TLT,weight_GLD,weight_CPER,weight_MCHI,weight_EWY
provided,Provided Portfolio,0.1203917836556435,0.12726952240748454,0.8167104729494057,0.2,0.3,0.1,0.1,0.1,0.1,0.1
optimized,Optimized Portfolio,0.15727496487614245,0.13486289000620838,1.0442126299642382,0.3139545540608037,0.5,0.0,0.1860454459391963,0.0,0.0,0.0
