portfolio,rank,start,bottom,recovery,maximum_drawdown,duration_months,decline_months,recovery_months,underwater_months,annualized_recovery_rate
optimized,1,2026-06-30,2026-07-31,,-0.11221146263927562,3,2,,3,
optimized,2,2020-09-30,2020-10-31,2021-05-31,-0.10715026838387742,9,2,7.0,9,0.21445082154559958
optimized,3,2020-02-29,2020-03-31,2020-04-30,-0.07808898361019967,3,2,1.0,3,1.6529675909776294
optimized,4,2022-11-30,2022-12-31,2023-03-31,-0.06214065468274377,5,2,3.0,5,0.29255537735118264
optimized,5,2022-04-30,2022-06-30,2022-10-31,-0.06026645481927784,7,3,4.0,7,0.2049965687457811
optimized,6,2018-09-30,2018-12-31,2019-02-28,-0.05389726311349197,6,4,2.0,6,0.3943448826582969
optimized,7,2018-02-28,2018-03-31,2018-06-30,-0.04469692782241752,5,2,3.0,5,0.20070218896490277
optimized,8,2019-09-30,2019-10-31,2020-01-31,-0.02845464419196475,5,2,3.0,5,0.12240005582063707
optimized,9,2023-05-31,2023-05-31,2023-08-31,-0.028246643515609016,4,1,3.0,4,0.12143937985133468
optimized,10,2026-03-31,2026-03-31,2026-04-30,-0.027254875954297986,2,1,1.0,2,0.39319288996810386
optimized,11,2022-01-31,2022-01-31,2022-03-31,-0.026996503095515823,3,1,2.0,3,0.1784566010943225
optimized,12,2017-11-30,2017-11-30,2018-01-31,-0.023810351465439417,3,1,2.0,3,0.15556614941537772
optimized,13,2021-09-30,2021-09-30,2021-10-31,-0.014337284135501838,2,1,1.0,2,0.1892141046776532
optimized,14,2025-04-30,2025-04-30,2025-06-30,-0.009484460115767868,3,1,2.0,3,0.0588446323829761
optimized,15,2023-09-30,2023-09-30,2023-10-31,-0.00852220403925441,2,1,1.0,2,0.10816412872772907
optimized,16,2024-08-31,2024-08-31,2024-09-30,-0.0039004855085039702,2,1,1.0,2,0.04801442161421976
optimized,17,2020-06-30,2020-06-30,2020-07-31,-0.0037771703383321364,2,1,1.0,2,0.046458768104212345
optimized,18,2025-12-31,2025-12-31,2026-01-31,-0.002878277248680061,2,1,1.0,2,0.03519429056235723
