date,optimized_drawdown,provided_drawdown,benchmark_drawdown
2017-09-30,0.0,0.0,0.0
2017-10-31,0.0,0.0,0.0
2017-11-30,-0.023810351465439417,-0.01928955602001503,-0.008686334311131638
2017-12-31,-0.01586790231377455,-0.006043465540931492,-0.007034438255956066
2018-01-31,0.0,0.0,0.0
2018-02-28,-0.014617541920555976,-0.0347589678650283,-0.03020577586993778
2018-03-31,-0.04469692782241752,-0.06150629716014866,-0.07198454080677419
2018-04-30,-0.034582379350858394,-0.042343885781840784,-0.060644540415289994
2018-05-31,-0.009323133034525366,-0.01228260683823068,-0.02836270732296642
2018-06-30,0.0,0.0,0.0
2018-07-31,-0.001128547548480463,0.0,0.0
2018-08-31,0.0,0.0,0.0
2018-09-30,-0.0010166020665541842,0.0,0.0
2018-10-31,-0.017003096164838194,-0.05394478975500894,-0.04785565182081364
2018-11-30,-0.028512549563829093,-0.059966725638171625,-0.047822142615294494
2018-12-31,-0.05389726311349197,-0.11400419990111255,-0.13221967359572606
2019-01-31,-0.0004654427591399557,-0.04646130516026681,-0.06886937804169335
2019-02-28,0.0,-0.022963267167186996,-0.03339843165963352
2019-03-31,0.0,0.0,0.0
2019-04-30,0.0,0.0,0.0
2019-05-31,0.0,-0.03964854977575705,-0.04355364682822005
2019-06-30,0.0,0.0,-0.005293835323184393
2019-07-31,0.0,0.0,0.0
2019-08-31,0.0,0.0,0.0
2019-09-30,-0.017714024859922017,0.0,0.0
2019-10-31,-0.02845464419196475,-0.00952791166761957,-0.007159517523364078
2019-11-30,-0.018667597240576095,0.0,0.0
2019-12-31,-0.0026290437969125335,0.0,0.0
2020-01-31,0.0,0.0,0.0
2020-02-29,-0.02705123942678256,-0.04623053593844151,-0.0604021374070316
2020-03-31,-0.07808898361019967,-0.15671038335048537,-0.1740991444020078
2020-04-30,0.0,-0.03495143748788976,-0.07205384277510918
2020-05-31,0.0,0.0,-0.0077887734598897085
2020-06-30,-0.0037771703383321364,0.0,-0.022485742100349704
2020-07-31,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0
2020-09-30,-0.058396990457245335,-0.07370679921716516,-0.0563051903427243
2020-10-31,-0.10715026838387742,-0.11358575957844108,-0.10692288501967617
2020-11-30,-0.09940326194899463,-0.048156778014079915,-0.03186024194813919
2020-12-31,-0.06463976859165699,-0.0051956108678365975,-0.012275320599839712
2021-01-31,-0.05774298232077246,0.0,0.0
2021-02-28,-0.07197510308884869,0.0,0.0
2021-03-31,-0.05808009929871938,0.0,0.0
2021-04-30,-0.036186656007552664,0.0,0.0
2021-05-31,0.0,0.0,0.0
2021-06-30,0.0,0.0,0.0
2021-07-31,0.0,-0.00074758792434515,0.0
2021-08-31,0.0,0.0,0.0
2021-09-30,-0.014337284135501838,-0.010328787106203774,-0.025774828342385425
2021-10-31,0.0,0.0,0.0
2021-11-30,0.0,-0.00264818419141144,0.0
2021-12-31,0.0,0.0,0.0
2022-01-31,-0.026996503095515823,-0.008609667335990223,-0.03855497935104646
