kind,label,sharpe,expected_return_pct,volatility_pct,weight_133690_pct,weight_402970_pct,weight_EWY_pct,weight_168580_pct,weight_200250_pct,weight_101280_pct,weight_TLT_pct,weight_385560_pct,weight_132030_pct
provided,Provided Portfolio,0.48942967796018244,8.73351679088982,9.999463156108982,10.0,10.0,8.0,8.5,8.5,5.0,15.0,15.0,20.0
optimized,Optimized Portfolio,1.290999721026883,15.933005767236505,9.367564385681217,17.043765226155475,32.38563930925717,0.0,0.0,0.0,13.996504341365673,0.0,0.0,36.57409112322167
benchmark,Benchmark,0.8909048489788299,16.581398023299105,14.30221788475325,,,,,,,,,
