point,sharpe,expected_return_pct,volatility_pct,weight_133690_pct,weight_402970_pct,weight_EWY_pct,weight_168580_pct,weight_200250_pct,weight_101280_pct,weight_TLT_pct,weight_385560_pct,weight_132030_pct
1,0.6057118168903163,8.390229943698714,7.513056635482621,0.0,28.74523560391178,0.0,14.663722834449647,26.3317185914776,0.0,0.28320288010395095,8.435273275736453,21.540846814320574
2,0.6278316934161852,8.557023782307878,7.514021788256498,0.0,29.286354402472835,0.0,14.592843027793176,26.11281772906312,0.0,0.0,8.068374846587913,21.939609994082954
3,0.6497538996386831,8.723817620917037,7.517207461182522,0.0,29.802264254595606,0.0,14.432420552520828,25.802742768820007,0.0,0.0,7.5582097206946655,22.40436270336889
4,0.6714775335440651,8.890611459526198,7.522409088276715,0.0,29.983005163844584,0.0,14.267681977076046,25.389883733680634,0.5597214469303777,0.0,7.108924829421113,22.690782849047256
5,0.6930249495494264,9.05740529813536,7.5291986860027595,0.0,30.11738678184076,0.0,14.102346415098872,24.962807996888024,1.1968614319752973,0.0,6.668060660258841,22.952536713938223
6,0.7143839002957004,9.22419913674452,7.537566812318934,0.0,30.251768399836916,0.0,13.937010853121693,24.535732260095404,1.8340014170202337,0.0,6.227196491096571,23.214290578829182
7,0.735547793640197,9.390992975353681,7.5474500293975275,0.16659468733373395,30.3601253686762,0.0,13.771819758583986,24.120313724723527,2.284981961073624,0.0,5.815051467264706,23.48111303234422
8,0.7565198806886326,9.557786813962846,7.558696342701518,0.39118820900281126,30.45942202869506,0.0,13.606678959426175,23.70895356663146,2.671152331700569,0.0,5.412904823206694,23.749700081337224
9,0.7772910344087667,9.724580652572005,7.571292647711698,0.6157817306718767,30.558718688713917,0.0,13.441538160268374,23.297593408539417,3.057322702327513,0.0,5.010758179148703,24.018287130330215
10,0.7978518729435629,9.891374491181166,7.5852322188990655,0.840375252340958,30.65801534873277,0.0,13.276397361110565,22.88623325044735,3.4434930729544386,0.0,4.608611535090698,24.28687417932321
11,0.818193447709551,10.058168329790327,7.600507665489394,1.0649687740100338,30.75731200875162,0.0,13.111256561952759,22.474873092355292,3.829663443581381,0.0,4.206464891032702,24.555461228316204
12,0.8383072599621406,10.224962168399488,7.617110950544764,1.2895622956791009,30.856608668770484,0.0,12.946115762794957,22.063512934263255,4.2158338142083,0.0,3.804318246974714,24.824048277309203
