metric,unit,Current Portfolio,KAW Core Revised Internal,QQQ 100%,benchmark
Arithmetic Mean (monthly),pct,0.014662636530008334,0.008767111728594425,0.017734655941966205,0.013814824157548077
Arithmetic Mean (annualized),pct,0.19085811618915005,0.11042946410428911,0.23485157668436152,0.1789724238208481
Geometric Mean (monthly),pct,0.014149831554732817,0.008401340779243816,0.016389439741886225,0.01297968122384452
Geometric Mean (annualized),pct,0.18365591930459124,0.10560749296829552,0.2154069883605343,0.16737075785378663
Standard Deviation (monthly),pct,0.032215114005270044,0.02709645405007078,0.05209256042262461,0.0409959933709551
Standard Deviation (annualized),pct,0.11159642845750285,0.09386487023935614,0.18045392269667498,0.14201428685050224
Downside Deviation (monthly),pct,0.01718544681024016,0.016128444460248224,0.030107527333916154,0.02394933705463886
Maximum Drawdown,pct,-0.1045851526207694,-0.1280137513180546,-0.2782340227362343,-0.17409891918626053
Benchmark Correlation,ratio,0.8738194154177888,0.6378529275574566,0.899701402798056,1.0
Beta(*),ratio,0.6866571528828079,0.42159126102573796,1.1432275652767279,1.0
Alpha (annualized),pct,0.06211906447691683,0.03531483109397884,0.02329401786727671,0.0
R2,pct,0.7635603707610862,0.40685635719361796,0.8094626141967898,1.0
Sharpe Ratio,ratio,1.238537354605638,0.7187997756367944,0.9702231772649261,0.9016177150574974
Sortino Ratio,ratio,2.161685505408731,1.1146421785107394,1.6045018559537987,1.458092955153543
Treynor Ratio (%),percent_number,20.12887285960922,16.00366371543622,15.314586836987932,12.804259681566979
Calmar Ratio,ratio,2.801525452757632,1.5329114474914496,1.8323052532494888,2.6027714141981413
Modigliani–Modigliani Measure,pct,0.21428482673823418,0.14047466511156725,0.17618038019131382,0.16643742440187675
Active Return,pct,0.016285161450805274,-0.06176326488549044,0.04803623050674832,
Tracking Error,pct,0.07017648036829541,0.10942265672120705,0.08135303899787438,
Information Ratio,ratio,0.23206010568410673,-0.5644467675725899,0.5904663316634481,
Skewness,ratio,-0.4105110627797889,-0.6199204504805529,-0.3837783324425137,-0.47960483998726244
Excess Kurtosis,ratio,1.3643216501525615,2.7576611036130965,0.4584511588137259,0.6512998934442065
Historical Value-at-Risk (5%),pct,0.034996381178383204,0.030461504321332097,0.0671118292179196,0.05132268373876718
Analytical Value-at-Risk (5%),pct,0.03832651058421527,0.0358025889931884,0.0679499810063766,0.053617584229145934
Conditional Value-at-Risk (5%),pct,0.059508752920051866,0.05055186836897348,0.10132522139427727,0.08089318657492925
Upside Capture Ratio (%),percent_number,81.44034262674782,48.83732818306509,126.37139563181996,100.0
Downside Capture Ratio (%),percent_number,59.40399338318046,45.91732672994217,111.05933523931553,100.0
Safe Withdrawal Rate,pct,0.17097364797178924,0.13580176292996807,0.2061003140931113,0.17308385111294014
Perpetual Withdrawal Rate,pct,0.13810346886839137,0.07199921806165871,0.1624690656654694,0.1250702468132488
Positive Periods,count,92 out of 130 (70.77%),82 out of 130 (63.08%),88 out of 130 (67.69%),85 out of 130 (65.38%)
Gain/Loss Ratio,ratio,1.3142533791812083,1.3629755461396973,1.1225386516165354,1.232956663688733
