date,Current Portfolio_drawdown_pct,KAW Core Revised Internal_drawdown_pct,QQQ 100%_drawdown_pct,benchmark_drawdown_pct
2015-11-30,0.0,0.0,0.0,0.0
2015-12-31,-0.09372730639796156,0.0,0.0,0.0
2016-01-31,0.0,0.0,-5.225084531977409,-2.538144286092181
2016-02-29,0.0,0.0,-3.9616667504812297,0.0
2016-03-31,-3.4779636932865454,-3.5407650013557057,-5.676078286506792,-1.9009288952860803
2016-04-30,-2.6696336529812847,-3.6891382299692355,-9.226286408308582,-2.101331078184232
2016-05-31,0.0,0.0,-0.7697297418864713,0.0
2016-06-30,-0.42831687056908985,0.0,-6.009333868415467,-2.7353152059930497
2016-07-31,0.0,0.0,-1.7289507455110487,-1.6310809003420301
2016-08-31,-1.2896777401798953,-1.1869755717901054,-1.484682193057374,-2.2944670976255854
2016-09-30,-0.9775845337544942,-2.2167838480025126,-0.46235730229629013,-3.4127945956318073
2016-10-31,0.0,-0.8616463761642712,0.0,-1.203351120448215
2016-11-30,-0.08359965269651992,-3.3572030885478,0.0,0.0
2016-12-31,0.0,-0.5231205310064713,0.0,0.0
2017-01-31,-0.19090076204349993,-0.742834623526889,0.0,-1.257578693807293
2017-02-28,0.0,-1.2006892005356318,0.0,-0.47348990715181394
2017-03-31,-1.3243715298238312,-1.7222511359141102,0.0,-1.8360094146136596
2017-04-30,0.0,0.0,0.0,0.0
2017-05-31,0.0,0.0,0.0,0.0
2017-06-30,0.0,0.0,0.0,0.0
2017-07-31,0.0,-0.4671205121905331,0.0,-0.3852211382655457
2017-08-31,0.0,0.0,0.0,0.0
2017-09-30,0.0,0.0,0.0,0.0
2017-10-31,0.0,0.0,0.0,0.0
2017-11-30,-2.131589834256664,-2.579358410074861,-1.9121636245736928,-0.8685740181639368
2017-12-31,-1.474279045392024,-1.7069901112479857,-1.3593439866359636,-0.7034365227483685
2018-01-31,0.0,0.0,0.0,0.0
2018-02-28,-1.4988073500302623,-3.077788960064809,-0.6623730752611912,-3.0206260990175315
2018-03-31,-4.878473994293997,-4.501296639148822,-6.249345730052425,-7.198470479611519
2018-04-30,-3.6830238788508107,-4.664066536910583,-5.114140831548775,-6.064495295884942
2018-05-31,-0.6242246739256663,-3.3769713084162323,0.0,-2.8363255190271497
2018-06-30,0.0,-1.8611136356497249,0.0,0.0
2018-07-31,0.0,-2.1255247689154766,0.0,0.0
2018-08-31,0.0,-1.6005029723150432,0.0,0.0
2018-09-30,-0.10885202636622404,-3.0619409472079306,-0.5623139074699468,0.0
2018-10-31,-3.4716735413971134,-5.859621916244551,-7.035017456054726,-4.785530633941725
2018-11-30,-4.384935199105955,-5.285443471536045,-8.966708342075124,-4.782185858421584
2018-12-31,-8.556888770785232,-5.181755124736165,-17.355784054111588,-13.22192910740454
2019-01-31,-2.5643262187854177,-2.1428243765635346,-10.009273613334745,-6.886909940444397
2019-02-28,-0.43125290807899397,-0.41694969261187875,-6.807676533483276,-3.339814432562138
2019-03-31,0.0,0.0,-1.4809981821773843,0.0
2019-04-30,0.0,0.0,0.0,0.0
2019-05-31,-2.0982436825273787,0.0,-6.243311655945827,-4.355377236532809
2019-06-30,0.0,0.0,-1.9172281955671555,-0.5293720417838266
2019-07-31,0.0,0.0,0.0,0.0
2019-08-31,0.0,0.0,-0.17534349742177602,0.0
2019-09-30,-0.7220256177030926,-0.43989891144684545,-0.02350775592315779,0.0
2019-10-31,-0.8754746605420305,-1.4555974613234435,0.0,-0.7159402531853432
2019-11-30,0.0,-0.5303507249777017,0.0,0.0
2019-12-31,0.0,-0.008428085312450762,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-29,-3.0397737831127536,0.0,-4.143155870117909,-6.04015171236072
2020-03-31,-9.17860428822408,-4.088251588323644,-10.734612493096607,-17.40989191862605
2020-04-30,0.0,0.0,0.0,-7.20536496470463
2020-05-31,0.0,0.0,0.0,-0.778856695670993
2020-06-30,0.0,-0.23588927512626645,0.0,-2.24853285559089
2020-07-31,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0
2020-09-30,-6.021636274095721,-3.005936452423985,-7.931608796650513,-5.630491131544602
2020-10-31,-10.168349359887719,-7.221207799724816,-13.074216374868486,-10.69230655617539
2020-11-30,-6.198406721031036,-4.388838998417022,-5.472327730085191,-3.186041846384613
2020-12-31,-2.3512057486674953,-1.7599238939803752,-2.130449306815674,-1.2275233773343164
2021-01-31,-0.5182709548280817,-1.1733406349272668,0.0,0.0
2021-02-28,-0.4714107192006822,-2.161758947885406,0.0,0.0
2021-03-31,0.0,-2.3787544095404733,0.0,0.0
2021-04-30,0.0,-1.8594083405972683,0.0,0.0
2021-05-31,0.0,0.0,-0.2486324922903238,0.0
2021-06-30,0.0,0.0,0.0,0.0
2021-07-31,0.0,0.0,0.0,0.0
2021-08-31,0.0,0.0,0.0,0.0
2021-09-30,-1.851174694814195,-0.47720273984498407,-3.622426351217134,-2.5774610118277086
2021-10-31,0.0,0.0,0.0,0.0
2021-11-30,0.0,0.0,0.0,0.0
2021-12-31,0.0,0.0,0.0,0.0
2022-01-31,-3.517371737926134,-2.9893453727822927,-10.657720328927134,-3.855518362585819
2022-02-28,-1.751411016502391,-2.992484364465642,-12.3570940185597,-7.47527538458389
2022-03-31,0.0,-2.9957349813330203,-6.970732313763605,-2.641670808358798
2022-04-30,-2.92615064151428,-5.641030854622153,-15.79392418931973,-6.960672574012827
2022-05-31,-5.179107299469954,-8.725641802515216,-19.119818989859937,-8.989752908196479
2022-06-30,-8.289137687837368,-8.80801003652495,-23.59700200463587,-13.40307147450912
2022-07-31,-3.024644839723134,-5.92814687917278,-13.510279348302923,-4.882166668436982
2022-08-31,-2.8941457587082,-6.056359516960996,-14.9645577886666,-5.444502267398176
2022-09-30,-4.475518125092714,-7.97011170840708,-18.94095514864701,-8.565452436933496
2022-10-31,-0.9540791240051472,-8.711303297991414,-16.200903981569994,-1.7230137433157822
2022-11-30,-0.9520523187080965,-7.686454868788362,-17.544816164798092,-3.2853828268609275
2022-12-31,-7.44130077260311,-12.80137513180546,-27.823402273623433,-13.336279446010678
2023-01-31,-4.619064607698342,-10.076434194620976,-22.871484513370575,-9.988309957880304
2023-02-28,-1.8044966969761767,-8.233894132523112,-17.72913896925603,-6.063101924085556
2023-03-31,0.0,-5.650145028803943,-11.412360108239527,-4.194725956403356
2023-04-30,0.0,-2.2582534424796408,-8.016958858013112,0.0
2023-05-31,-0.947160147045889,-4.396129038205643,-2.0728701035876984,-0.8622137250695272
2023-06-30,0.0,-3.0834109626572404,0.0,0.0
2023-07-31,0.0,-4.485598071883978,0.0,-0.2500924800868165
2023-08-31,0.0,-4.029296648747261,0.0,0.0
2023-09-30,-1.8739745963996968,-6.7207626325696435,-3.9345200547961645,-3.0743890055949685
2023-10-31,-1.909959093936986,-8.979004935462765,-5.3961657516087165,-5.163032128596711
2023-11-30,0.0,-6.8401270876630615,0.0,-1.084578537106462
2023-12-31,0.0,-0.9703218314708995,0.0,0.0
2024-01-31,0.0,-0.7891387092730406,0.0,0.0
2024-02-29,0.0,0.0,0.0,0.0
2024-03-31,0.0,0.0,0.0,0.0
2024-04-30,0.0,-0.1258472750656825,-1.8474529322268562,-1.4966038761446199
2024-05-31,0.0,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0,0.0
