date,asset_QQQ,asset_SPMO,asset_AIA,asset_XLE,asset_SCHD,asset_GLD,asset_138920,asset_EWY,asset_192090,asset_200250,asset_EWJ,asset_TLT,Current Portfolio,KAW Core Revised Internal,QQQ 100%,benchmark
2015-11-30,0.019301471487668254,0.023581614153948882,-0.013311772482618056,0.012983997531967217,0.01598344111185801,-0.055274221708548454,-0.015119001170503354,-0.015930472263189888,0.027217599774361778,-0.043597980725103236,0.018067608382373646,0.004342379341694569,-0.006262676119253121,-0.007987029021998228,0.019301471487668254,0.016836327330796763
2015-12-31,0.009071395338186017,-0.008766009964053412,-0.011246839029873112,-0.097897132978227,0.01447300526618367,0.007691952813815739,-0.0074279488957116335,-0.01673788152055533,0.04448105436573302,0.016314779270633295,0.008543003330345966,0.005128436491466326,-0.0009372730639795885,0.009687127074604023,0.009071395338186017,0.00025617062297023097
2016-01-31,-0.052250845319774086,-0.010220212340177337,-0.05223767810832325,-0.0006516281101264232,-0.0039553948471140465,0.08715028968905503,-0.0004989024146876408,-0.017233149989717256,-0.18703995793901151,-0.05760151085930121,-0.03139023483767478,0.09328912896054509,0.003457079019756411,0.016053484020368013,-0.052250845319774086,-0.02538144286092181
2016-02-29,0.013330719159780902,0.027367221948597642,0.02997331583558438,0.0006187047394146106,0.03709441209348374,0.14196708507914702,-0.003993211540381347,0.004647025020509066,0.003071948261923918,-0.049098196392785565,-0.025160483839126946,0.06121343500309684,0.05454562157836213,0.04700146736064606,0.013330719159780902,0.028594653869116193
2016-03-31,-0.017851325382452488,-0.03138430594393504,0.021946247349778014,0.01260329028410645,-0.022017347008292498,-0.08858507976449925,0.042497744813070115,0.04207252638868875,0.05867182462927145,0.050579557428872546,-0.03694709007740804,-0.08169527301249924,-0.0347796369328653,-0.03540765001355718,-0.017851325382452488,-0.019009288952860803
2016-04-30,-0.03763847025556755,-0.0010002528464850835,-0.016508816820564376,0.08414384624172655,-0.00769645866102997,0.04482278743702994,0.10508604941832522,-0.016687768353008448,-0.01568209500609008,0.011033099297893756,-0.005089613654516323,-0.013281980027925244,0.00837456472361045,-0.0015381961987945164,-0.03763847025556755,-0.0020428550509336008
2016-05-31,0.09316085386195061,0.04779001570832131,0.04543639649128983,0.03761453585870167,0.062045983184467524,-0.016902129126876497,0.071167565686445,-0.0025242249630429425,0.011291569992265993,0.07440476190476186,0.08132433507999148,0.055826021379929314,0.04551738653091316,0.040036531261448814,0.09316085386195061,0.06520742421439696
2016-06-30,-0.05280247764013912,-0.03619000380538029,0.01661635649557125,-0.004351256447461038,-0.0024470952754036546,0.0562171861685401,0.04540285899935026,0.014274461649119718,-0.03472009788926278,-0.027700831024930705,-0.04711528926289277,0.03648899259120841,-0.004283168705690864,0.010145591230594758,-0.05280247764013912,-0.027353152059930608
2016-07-31,0.0455405126814612,0.02305033505099985,0.030824272897667537,-0.036531774038203846,0.003550630585067438,-0.004868961018503204,-0.12679667469505085,0.04304014335051565,0.0007922674694977871,0.0232668566001899,0.023281032651001343,-0.003719339082008055,0.011488364128084447,0.009471809044864579,0.0455405126814612,0.01135288011254687
2016-08-31,0.002485661385593918,-0.007931663660775023,0.01540859023133101,0.00870590360316359,-0.01119063115576302,-0.04023654909335228,-0.023044754871429873,0.004366696340350362,0.017732742241925337,0.0009280742459396585,0.010165597548904115,-0.017985779694517978,-0.01289677740179898,-0.011869755717901002,0.002485661385593918,-0.00674385978168035
