asset,Current Portfolio_risk_contribution_pct,KAW Core Revised Internal_risk_contribution_pct,QQQ 100%_risk_contribution_pct
QQQ,48.67496269627999,12.335225337545573,100.0
SPMO,19.361299605698644,0.0,0.0
AIA,4.391581443372854,0.0,0.0
XLE,5.366830258653442,0.0,0.0
SCHD,4.282170535918959,8.070441283097624,0.0
GLD,18.022784689373538,18.900708459842605,0.0
138920,-0.09962922929744925,-0.0,-0.0
EWY,0.0,13.468469662461416,0.0
192090,0.0,6.720418517108233,0.0
200250,0.0,6.664996899435183,0.0
EWJ,0.0,3.9711976923510353,0.0
TLT,0.0,29.868542148158333,0.0
