portfolio,date,portfolio_return,benchmark_return,active_return,cumulative_active_return,annual_active_return,rolling_active_return,rolling_tracking_error_pct
Current Portfolio,2015-11-30,-0.006262676119253121,0.016836327330796763,-0.023099003450049886,-0.023099003450049893,-0.024290890271825738,,
Current Portfolio,2015-12-31,-0.0009372730639795885,0.00025617062297023097,-0.0011934436869498195,-0.024290890271825738,-0.024290890271825738,,
Current Portfolio,2016-01-31,0.003457079019756411,-0.02538144286092181,0.02883852188067822,0.004956702837708327,-0.005767910987585223,,
Current Portfolio,2016-02-29,0.05454562157836213,0.028594653869116193,0.025950967709245938,0.03095178156058287,-0.005767910987585223,,
Current Portfolio,2016-03-31,-0.0347796369328653,-0.019009288952860803,-0.015770347980004498,0.013795420774402212,-0.005767910987585223,,
Current Portfolio,2016-04-30,0.00837456472361045,-0.0020428550509336008,0.010417419774544051,0.02433091716474023,-0.005767910987585223,,
Current Portfolio,2016-05-31,0.04551738653091316,0.06520742421439696,-0.019690037683483798,0.005783780807261163,-0.005767910987585223,,
Current Portfolio,2016-06-30,-0.004283168705690864,-0.027353152059930608,0.023069983354239744,0.030289117261186327,-0.005767910987585223,,
Current Portfolio,2016-07-31,0.011488364128084447,0.01135288011254687,0.00013548401553757639,0.030777208158918823,-0.005767910987585223,,
Current Portfolio,2016-08-31,-0.01289677740179898,-0.00674385978168035,-0.006152917620118629,0.023944649348009772,-0.005767910987585223,,
Current Portfolio,2016-09-30,0.003161707907344442,-0.011445897328287935,0.014607605235632377,0.03919611306675086,-0.005767910987585223,,
Current Portfolio,2016-10-31,0.020578149734414575,0.022875115455857964,-0.002296965721443389,0.037643705365652425,-0.005767910987585223,,
Current Portfolio,2016-11-30,-0.000835996526965279,0.0559709534556776,-0.05680694998264288,-0.022063240299085907,-0.005767910987585223,,
Current Portfolio,2016-12-31,0.04341474366556456,0.05297168676610009,-0.00955694310053553,-0.0336225631573972,-0.005767910987585223,,
Current Portfolio,2017-01-31,-0.001909007620435155,-0.01257578693807293,0.010666779317637775,-0.021098998531300817,-0.0005195636181654084,,
