portfolio,rank,start,bottom,recovery,duration_months,decline_months,recovery_months,underwater_months,maximum_drawdown_pct,annualized_recovery_rate_pct
Current Portfolio,1,2026-07-31,2026-07-31,,2,1,,2,-10.45851526207694,
Current Portfolio,2,2020-09-30,2020-10-31,2021-03-31,7,2,5.0,7,-10.168349359887719,29.350910004200472
Current Portfolio,3,2020-02-29,2020-03-31,2020-04-30,3,2,1.0,3,-9.17860428822408,217.4986913346865
Current Portfolio,4,2018-09-30,2018-12-31,2019-03-31,7,4,3.0,7,-8.556888770785232,43.01975320827223
Current Portfolio,5,2022-04-30,2022-06-30,2023-03-31,12,3,9.0,12,-8.289137687837368,12.229138912564629
Current Portfolio,6,2018-02-28,2018-03-31,2018-06-30,5,2,3.0,5,-4.878473994293997,22.147551089115215
Current Portfolio,7,2022-01-31,2022-01-31,2022-03-31,3,1,2.0,3,-3.517371737926134,23.966759006097593
Current Portfolio,8,2016-03-31,2016-03-31,2016-05-31,3,1,2.0,3,-3.4779636932865454,23.663389699568693
Current Portfolio,9,2017-11-30,2017-11-30,2018-01-31,3,1,2.0,3,-2.131589834256664,13.80066487533005
Current Portfolio,10,2019-05-31,2019-05-31,2019-06-30,2,1,1.0,2,-2.0982436825273787,28.977574270365537
Current Portfolio,11,2023-09-30,2023-10-31,2023-11-30,3,2,1.0,3,-1.909959093936986,26.037857556584008
Current Portfolio,12,2025-04-30,2025-04-30,2025-06-30,3,1,2.0,3,-1.8806273089895131,12.065368168132595
Current Portfolio,13,2021-09-30,2021-09-30,2021-10-31,2,1,1.0,2,-1.851174694814195,25.134979461268124
Current Portfolio,14,2026-03-31,2026-03-31,2026-04-30,2,1,1.0,2,-1.624726183105163,21.72185152400825
Current Portfolio,15,2024-07-31,2024-08-31,2024-09-30,3,2,1.0,3,-1.4864060317042016,19.68674078132837
Current Portfolio,16,2017-03-31,2017-03-31,2017-04-30,2,1,1.0,2,-1.3243715298238312,17.349484611410016
Current Portfolio,17,2016-08-31,2016-08-31,2016-10-31,3,1,2.0,3,-1.2896777401798953,8.09972309644078
Current Portfolio,18,2023-05-31,2023-05-31,2023-06-30,2,1,1.0,2,-0.947160147045889,12.09773158158114
