point,expected_return,volatility,sharpe,weight_QQQ,weight_GLD
1,0.19569395265103987,0.12514420101334964,1.4039320338326975,0.3187841741783198,0.6812158258216803
2,0.19591136327424102,0.12514907054721505,1.4056146202689925,0.32364494000992916,0.6763550599900708
3,0.19612877389744215,0.1251636780121064,1.407187585845841,0.32850570584153826,0.6714942941584617
4,0.19634618452064334,0.12518801999923546,1.4086506402267591,0.333366471673148,0.666633528326852
5,0.19656359514384447,0.1252220908317059,1.4100035702257978,0.3382272375047573,0.6617727624952426
6,0.1967810057670456,0.12526588257112678,1.4112462399062906,0.3430880033363654,0.6569119966636346
7,0.19699841639024676,0.12531938502684625,1.4123785905295474,0.34794876916797546,0.6520512308320245
8,0.1972158270134479,0.12538258576778052,1.413400640354212,0.35280953499958423,0.6471904650004158
9,0.19743323763664905,0.12545547013680605,1.4143124842875527,0.3576703008311935,0.6423296991688066
10,0.19765064825985024,0.12553802126767621,1.4151142933905085,0.3625310666628034,0.6374689333371966
11,0.19786805888305137,0.1256302201044172,1.4158063142388577,0.3673918324944126,0.6326081675055873
12,0.19808546950625255,0.12573204542315133,1.4163888681434056,0.37225259832602214,0.6277474016739778
13,0.19830288012945368,0.12584347385629005,1.4168623502325668,0.3771133641576309,0.622886635842369
14,0.19852029075265482,0.1259644799190328,1.4172272284012424,0.3819741299892399,0.6180258700107601
15,0.198737701375856,0.12609503603810254,1.4174840421303045,0.38683489582084973,0.6131651041791503
16,0.19895511199905713,0.1262351125826433,1.41763340118146,0.39169566165245895,0.608304338347541
17,0.1991725226222583,0.1263846778972007,1.4176759841726574,0.3965564274840678,0.6034435725159323
18,0.19938993324545945,0.12654369833670107,1.4176125370395594,0.40141719331567755,0.5985828066843224
19,0.19960734386866058,0.12671213830334144,1.417443871388952,0.40627795914728665,0.5937220408527133
20,0.19982475449186177,0.1268899602852982,1.4171708627502562,0.41113872497889614,0.5888612750211039
21,0.2000421651150629,0.1270771248971595,1.4167944487315618,0.4159994908105056,0.5840005091894944
22,0.20025957573826403,0.127273590921983,1.4163156270868535,0.42086025664211435,0.5791397433578857
23,0.20047698636146521,0.12747931535487855,1.4157354537012619,0.4257210224737236,0.5742789775262764
24,0.20069439698466635,0.12769425344801216,1.415055040501349,0.43058178830533334,0.5694182116946666
25,0.20091180760786753,0.1279183587569277,1.414275553297543,0.4354425541369428,0.5645574458630571
26,0.20112921823106866,0.1281515831880794,1.4133982095659137,0.4403033199685515,0.5596966800314486
27,0.2013466288542698,0.12839387704746946,1.412424276176525,0.4451640858001608,0.5548359141998391
28,0.20156403947747098,0.12864518909028225,1.411355067075619,0.45002485163177053,0.5499751483682294
29,0.20178145010067214,0.12890546657140858,1.4101919409288384,0.4548856174633796,0.5451143825366205
30,0.2019988607238733,0.12917465529675273,1.4089362987326548,0.45974638329498924,0.5402536167050107
31,0.20221627134707443,0.12945269967521544,1.4075895814010662,0.464607149126598,0.5353928508734019
32,0.2024336819702756,0.1297395427712479,1.4061532673345094,0.46946791495820733,0.5305320850417927
33,0.20265109259347674,0.13003512635787187,1.4046288699777905,0.4743286807898171,0.5256713192101828
34,0.2028685032166779,0.13033939097006408,1.4030179353736472,0.4791894466214263,0.5208105533785737
