portfolio,start_balance,end_balance,cagr,annualized_return,annualized_volatility,best_year,worst_year,max_drawdown,sharpe_ex_post,sortino,expected_return
optimized,1.0,3.777296631616172,0.20907834151020133,0.19915087482818505,0.12636936110319236,0.47147267544411364,-0.1396576250047863,-0.18779090679592425,1.4176765100671174,2.7661198612415543,0.19915087482818514
provided,1.0,3.881313132469646,0.21377953752368373,0.20379931032319887,0.13173873566091232,0.42647210090335963,-0.17311526698443336,-0.2118334682005597,1.3951804638256693,2.5989625206377576,0.20379931032319892
benchmark,1.0,3.056617735130895,0.17305982479979765,0.17429517788577506,0.16570534634077677,0.3122382074111536,-0.18175372470309636,-0.2392719441277804,0.9311418206656022,1.4880188684949913,0.17429517788577506
