date,KAW Native Proxy Canonical_drawdown,KAW Core Revised Internal_drawdown,benchmark_drawdown
2021-11-30,0.0,0.0,0.0
2021-12-31,0.0,0.0,0.0
2022-01-31,-0.04152000108220788,-0.02989354930796484,-0.038554975695545
2022-02-28,-0.040095403394815876,-0.029924974634194412,-0.07475268511651789
2022-03-31,-0.03450946972362812,-0.029957323502791233,-0.026416568684022312
2022-04-30,-0.06645324496508687,-0.056410353786124356,-0.06960679875646325
2022-05-31,-0.08691629520110844,-0.08725651611968255,-0.08989752908196447
2022-06-30,-0.11045582973903678,-0.08808025205606618,-0.13403071474509098
2022-07-31,-0.0688900057098526,-0.0592815508881418,-0.04882174101263259
2022-08-31,-0.08819415495754712,-0.0605636216072849,-0.054444945642091125
2022-09-30,-0.11887768660792675,-0.07970128024978995,-0.08565452436933474
2022-10-31,-0.12507254355309994,-0.0871131154382987,-0.017230219021216686
2022-11-30,-0.10410254669170671,-0.07686454415086352,-0.032853904331186845
2022-12-31,-0.138344858172479,-0.12801378077211067,-0.13336264980823564
2023-01-31,-0.09949451824631561,-0.10076439679799154,-0.09988317025421045
2023-02-28,-0.09371523661516235,-0.08233905662817209,-0.06063086792145378
2023-03-31,-0.06781179392900571,-0.056501559109659705,-0.04194740837550859
2023-04-30,-0.04475974109644032,-0.02258262925274601,0.0
2023-05-31,-0.0591226969175056,-0.04396135067309681,-0.008622288468976502
2023-06-30,-0.05757030519236872,-0.030834163506942458,0.0
2023-07-31,-0.055506006283147946,-0.04485610626050074,-0.002500989304618506
2023-08-31,-0.055163212860563804,-0.04029293689549063,0.0
2023-09-30,-0.07407666531735657,-0.06720768209856554,-0.030743958232085977
2023-10-31,-0.09537799129802482,-0.08979009221836876,-0.05163045957573342
2023-11-30,-0.05643549048150687,-0.06840120741016398,-0.010845786534662838
2023-12-31,-0.0029104641038751877,-0.009703115843793242,0.0
2024-01-31,-0.0009831857290097945,-0.007891432782420993,0.0
2024-02-29,0.0,0.0,0.0
2024-03-31,0.0,0.0,0.0
2024-04-30,0.0,-0.0012584446702452734,-0.014966218302117529
2024-05-31,0.0,0.0,0.0
2024-06-30,0.0,0.0,0.0
2024-07-31,0.0,0.0,-0.0017774889653395798
2024-08-31,-0.008831171955664074,-0.01311807133343601,-0.004620998082028538
2024-09-30,0.0,0.0,0.0
2024-10-31,0.0,0.0,0.0
2024-11-30,0.0,0.0,0.0
2024-12-31,0.0,0.0,0.0
2025-01-31,0.0,-0.0013917770725211387,0.0
2025-02-28,0.0,0.0,-0.0070790887227411
2025-03-31,0.0,0.0,-0.048112231211346224
2025-04-30,-0.005361002206557219,-0.02533738338040703,-0.08727139198411615
2025-05-31,-0.01391181125432761,-0.04851554146908954,-0.06625484311325369
2025-06-30,-0.0005826724524831128,-0.029063629661209234,-0.033969085938449384
2025-07-31,0.0,-0.0016340912628211024,0.0
2025-08-31,0.0,0.0,0.0
2025-09-30,0.0,0.0,0.0
2025-10-31,0.0,0.0,0.0
2025-11-30,0.0,0.0,0.0
2025-12-31,0.0,-0.006254947884883122,-0.015288936878936399
2026-01-31,0.0,0.0,-0.007135010110931761
2026-02-28,0.0,0.0,-0.013262838016641298
2026-03-31,-0.053005404388538624,-0.030074811202167928,-0.015483721436609588
2026-04-30,-0.016964524606459697,-1.5454613679466433e-05,0.0
2026-05-31,0.0,0.0,0.0
2026-06-30,-0.012635737096382438,0.0,0.0
2026-07-31,-0.08939423352289622,-0.11523768602663542,-0.08234183406494822
2026-08-31,-0.08279984158140918,-0.10362121214661946,-0.0816342453646356
