asset,KAW Native Proxy Canonical,KAW Core Revised Internal
133690,0.13293940084811187,0.0
402970,0.05593542509344933,0.0
069500,0.2151541373153876,0.0
192090,0.06012426116759334,0.07016537744617107
200250,0.04951706056580672,0.0483902074260502
101280,0.04691487350143679,0.0
267440,0.11010952818164008,0.0
385560,0.17076052206829875,0.0
GLD,0.15854479125827547,0.15861029774057395
QQQ,0.0,0.12214949690969518
SCHD,0.0,0.06433866414828165
EWY,0.0,0.1848444326601396
EWJ,0.0,0.0438824916719776
TLT,0.0,0.3076190319971108
