asset,Sample Portfolio_risk_contribution_pct,Portfolio 2_risk_contribution_pct,Portfolio 3_risk_contribution_pct
SPY,74.09211281821906,0.0,0.0
GLD,12.961520279873302,5.603492302242344,4.40066279300199
TLT,12.946366901907622,0.0,0.0
QQQ,0.0,26.86801782487033,42.52563198016121
SLV,0.0,13.829629765109114,12.294753870487714
GDX,0.0,16.138496688053966,0.0
AIA,0.0,20.407487125799786,0.0
XLF,0.0,7.47710714652055,0.0
XLE,0.0,9.675769147403908,9.916533897266843
EWY,0.0,0.0,16.60243612150992
EWJ,0.0,0.0,7.151167649038094
INDY,0.0,0.0,7.108813688534241
