asset,Sample Portfolio_contribution_balance,Portfolio 2_contribution_balance,Portfolio 3_contribution_balance
contribution_SPY,8756.009066326067,0.0,0.0
contribution_GLD,3561.4431861487383,2050.1400681711907,2141.3747049914546
contribution_TLT,-739.7486041281761,0.0,0.0
contribution_QQQ,0.0,7066.841628770566,9592.445054237549
contribution_SLV,0.0,3189.8720547725543,3339.8966807145057
contribution_GDX,0.0,3627.0409723666085,0.0
contribution_AIA,0.0,4746.880933266206,0.0
contribution_XLF,0.0,1367.771203857121,0.0
contribution_XLE,0.0,2807.7706564507166,2832.155145297755
contribution_EWY,0.0,0.0,4071.458459726301
contribution_EWJ,0.0,0.0,1341.2268921787881
contribution_INDY,0.0,0.0,309.0063925445753
