date,asset_133690,asset_402970,asset_EWY,asset_168580,asset_200250,asset_101280,asset_TLT,asset_385560,asset_132030,optimized,provided,benchmark
2021-11-30,0.06091326031929034,0.007658772239896416,-0.02822911006255735,-0.0006405534381705991,-0.04249737670514164,0.003087015242137836,0.04828901901103544,0.06953548751960104,-0.0024824162184525767,0.0123864084861371,0.018263693886744394,0.011823513687942766
2021-12-31,0.01032328171692476,0.05881665107577172,0.04761382898614697,0.023363138159792296,0.01972602739726037,0.018529204334166938,-0.0278619732653016,-0.01545450175455465,0.0016590626296142386,0.02400785233764967,0.00914648016016364,0.045501030108078044
2022-01-31,-0.12817844909220566,-0.029044726670347853,-0.08150537301756544,-0.05236126769384941,0.009134873723804393,-0.03789500188845529,-0.01607161700386439,-0.05858945877987454,-0.001242236024844745,-0.03701106647179168,-0.03925934957206697,-0.038555048661155555
2022-02-28,-0.024365386936290645,-0.009895359417652405,0.02063493329977284,-0.011004626569729004,-0.024760383386581486,-0.010403035854488318,-0.026188937893400155,-0.023027254103674455,0.06227197346600333,0.013961892199455938,-0.0002634917167838119,-0.03764906611956442
2022-03-31,0.10111880807081208,0.0557151062607697,-0.0024063874730226864,-0.06388879607043807,0.028938028938028992,-0.01130578512396696,-0.04109279562750634,-0.04520238885202388,0.009679181953009097,0.037235803723232666,0.0009463346915355344,0.052241139893479005
2022-04-30,-0.08333229313594548,0.004787812840043593,-0.01992186245601657,-0.062323755131179714,-0.0018572565667285268,-0.025812491641032498,-0.05113949971646736,-0.09107083287001005,-0.007653652879783479,-0.019064497094142253,-0.03905648806637365,-0.04436213178221915
2022-05-31,-0.06394596729169222,0.0010829542993284758,-0.00350791472236589,0.0011420305302829448,-0.04837852206273263,-0.007413509060955503,-0.04600355046882676,0.012371543919745598,-0.03529136802742283,-0.024493208082070898,-0.023055786298178386,-0.02180876874155957
2022-06-30,-0.048748199764332756,-0.04857204673301596,-0.11310648542237622,0.15430244495988443,-0.04469273743016755,-0.046611341632088465,0.02380299149049958,-0.08901678222383347,-0.02091577162238556,-0.038212608407288816,-0.025759508359580654,-0.04849263359742906
2022-07-31,0.11934546566753323,0.03888573052870958,0.04656883909737175,-0.07184504397667757,0.0888888888888888,0.07079646017699126,0.03022841289143452,0.12275320023877434,-0.029940613658858473,0.031892875707997086,0.041496295811561175,0.09839749729876468
2022-08-31,-0.005232669344481744,0.02177957754186277,-0.008812154364434277,-0.01735519591141399,0.04779806659505903,0.00047419048909369543,-0.01081273301642982,-0.12470647309890559,-0.02746365105008075,-0.0038165991207746363,-0.022259539124168587,-0.005911908167756219
