year,optimized,provided,benchmark
2017,0.002085092775750974,0.042461938524446685,0.03675956231848532
2018,0.02271727700200743,-0.027990463698499002,-0.003921114322942287
2019,0.28851748112590414,0.2918673246443986,0.35931863407495834
2020,0.19231677704329098,0.1550343979300124,0.11175531894814772
2021,0.21309273381403426,0.2673879765596139,0.4098879834280016
2022,0.009340899341021336,0.02181998272626151,-0.1333626169188057
2023,0.2242874225729119,0.18780844136938013,0.27935901022071774
2024,0.48266040448012903,0.40376507821113994,0.4341165478688911
2025,0.387915282469824,0.3081510114682109,0.15354070455012625
2026,0.09965050591645852,0.20279225189747674,0.0888832490115481
