point,sharpe,expected_return_pct,volatility_pct,weight_133690_pct,weight_402970_pct,weight_069500_pct,weight_168580_pct,weight_200250_pct,weight_101280_pct,weight_TLT_pct,weight_132030_pct
1,0.7010268359903024,9.195839168195388,7.640729476508651,0.0,27.712758335674593,0.0,13.221556314106744,26.050295191104883,1.5387089131405056,7.142419184686222,24.33426206128705
2,0.7220845465607115,9.357278542535274,7.641481610700359,0.0,28.031081389226514,0.0,13.225689941233105,25.74643264779945,2.057426552504328,6.460179197844136,24.479190271392458
3,0.742991907666077,9.518717916875161,7.643737569221132,0.0,28.349404442778454,0.0,13.22982356835947,25.442570104494017,2.576144191868148,5.7779392110020495,24.624118481497867
4,0.7637368514334125,9.680157291215048,7.647496021217703,0.0,28.667727496330382,0.0,13.233957195485832,25.1387075611886,3.0948618312319587,5.095699224159954,24.769046691603283
5,0.7843076252527276,9.841596665554937,7.652754752958297,0.0,28.986050549882304,0.0,13.23809082261219,24.834845017883158,3.6135794705957944,4.413459237317869,24.913974901708695
6,0.8046944906225467,10.00303603989482,7.659494818344956,0.08696454539976167,29.284382436756474,0.0,13.237856035786255,24.535629516649347,4.037274850018943,3.7528783837875763,25.065014231601644
7,0.82490478900337,10.164475414234706,7.667542654535586,0.3220176735176261,29.54867213406268,0.0,13.230182444698805,24.24432728479505,4.299160474252832,3.129180036114137,25.226459952558876
8,0.8449342488032805,10.325914788574593,7.676848274455601,0.5570708016354978,29.812961831368888,0.0,13.22250885361135,23.953025052940774,4.561046098486699,2.5054816884406867,25.38790567351612
9,0.8647742091413275,10.487354162914478,7.687407110458063,0.7921239297533651,30.07725152867509,0.0,13.214835262523895,23.661722821086485,4.82293172272057,1.8817833407672415,25.54935139447335
10,0.884416353784556,10.648793537254365,7.699214006497697,1.0271770578712396,30.341541225981306,0.0,13.207161671436445,23.37042058923219,5.084817346954437,1.2580849930937847,25.710797115430584
11,0.9038527270944042,10.810232911594252,7.712263230517964,1.262230185989107,30.605830923287503,0.0,13.199488080348992,23.079118357377908,5.346702971188319,0.6343866454203497,25.87224283638782
12,0.9230757482865107,10.971672285934138,7.726548488087577,1.4972833141069744,30.87012062059372,0.0,13.191814489261539,22.787816125523612,5.6085885954221855,0.010688297746914157,26.03368855734506
13,0.9419941347028398,11.133111660274025,7.7427540501132475,1.8677140402146204,31.051118779277235,0.0,12.8454129457277,21.8996649988095,6.045183327532719,0.0,26.290905908438233
14,0.960505937094032,11.29455103461391,7.761605616461048,2.240505177992094,31.230664686460624,0.0,12.493105422004172,21.001107356412746,6.484824246185078,0.0,26.549793110945284
15,0.978597620765921,11.455990408953799,7.783084169335994,2.613296315769576,31.410210593644006,0.0,12.140797898280633,20.102549714015986,6.924465164837443,0.0,26.80868031345235
16,0.9962571572137088,11.617429783293684,7.807168027204982,2.9860874535470514,31.589756500827388,0.0,11.788490374557105,19.203992071619233,7.364106083489803,0.0,27.06756751595941
17,1.0134740216577913,11.77886915763357,7.8338331613335495,3.358878591324531,31.769302408010784,0.0,11.436182850833577,18.30543442922248,7.8037470021421615,0.0,27.32645471846647
18,1.0302392026360738,11.940308531973459,7.863053310944858,3.7316697291020113,31.948848315194176,0.0,11.083875327110041,17.40687678682571,8.243387920794527,0.0,27.585341920973534
19,1.0465451989211574,12.101747906313346,7.8948001063020525,4.104460866879493,32.12839422237755,0.0,10.731567803386515,16.508319144428977,8.683028839446875,0.0,27.84422912348059
20,1.0623860043655575,12.263187280653229,7.929043198439969,4.477252004656971,32.30794012956094,0.0,10.37926027966298,15.609761502032224,9.122669758099224,0.0,28.103116325987653
21,1.0777570814378397,12.424626654993116,7.965750394252994,4.850043142434449,32.48748603674433,0.0,10.026952755939453,14.711203859635472,9.562310676751586,0.0,28.362003528494718
22,1.0926553243466832,12.586066029333004,8.004887795647765,5.222834280211925,32.66703194392771,0.0,9.674645232215918,13.812646217238713,10.00195159540396,0.0,28.620890731001776
23,1.1070790127566825,12.747505403672891,8.046419941491598,5.5956254179894,32.84657785111111,0.0,9.322337708492388,12.914088574841958,10.44159251405632,0.0,28.879777933508837
24,1.1210277571786038,12.908944778012776,8.090309951127399,5.968416555766886,33.02612375829449,0.0,8.970030184768852,12.015530932445204,10.881233432708665,0.0,29.138665136015902
25,1.1345024371680585,13.07038415235266,8.136519668282174,6.341207693544362,33.20566966547786,0.0,8.617722661045327,11.116973290048467,11.320874351361024,0.0,29.39755233852296
26,1.147505133491317,13.23182352669255,8.185009804265881,6.7139988313218355,33.38521557266126,0.0,8.265415137321797,10.218415647651712,11.76051527001339,0.0,29.656439541030018
27,1.160039055417005,13.393262901032434,8.235740079438447,7.086789969099313,33.564761479844634,0.0,7.913107613598267,9.319858005254957,12.200156188665758,0.0,29.915326743537072
28,1.172108464270176,13.554702275372321,8.288669362012415,7.4595811068767945,33.74430738702803,0.0,7.560800089874737,8.421300362858204,12.6397971073181,0.0,30.174213946044137
29,1.183718594343416,13.71614164971221,8.34375580335451,7.832372244654273,33.92385329421141,0.0,7.208492566151205,7.522742720461449,13.079438025970477,0.0,30.433101148551195
30,1.1948755722013393,13.877581024052096,8.400956969049128,8.205163382431765,34.1033992013948,0.0,6.856185042427665,6.6241850780646745,13.519078944622828,0.0,30.691988351058264
31,1.2055863353432184,14.03902039839198,8.46022996508797,8.57795452020923,34.2829451085782,0.0,6.503877518704143,5.72562743566794,13.958719863275174,0.0,30.950875553565314
32,1.2158585511066793,14.200459772731872,8.521531558650947,8.950745657986712,34.46249101576158,0.0,6.151569994980606,4.827069793271172,14.398360781927549,0.0,31.209762756072383
33,1.2257005366065108,14.361899147071755,8.584818293042078,9.32353679576419,34.64203692294496,0.0,5.799262471257078,3.9285121508744374,14.838001700579909,0.0,31.46864995857944
34,1.2351211804094704,14.523338521411642,8.650046596439237,9.696327933541669,34.82158283012834,0.0,5.446954947533545,3.029954508477671,15.277642619232266,0.0,31.7275371610865
35,1.2441298665511207,14.684777895751527,8.717172884206466,10.069119071319152,35.00112873731174,0.0,5.094647423810014,2.131396866080917,15.717283537884619,0.0,31.986424363593567
