kind,label,sharpe,expected_return_pct,volatility_pct,weight_133690_pct,weight_402970_pct,weight_069500_pct,weight_168580_pct,weight_200250_pct,weight_101280_pct,weight_TLT_pct,weight_132030_pct
provided,Provided Portfolio,0.5378195329568579,9.18892717647505,9.94654171157349,10.0,10.0,8.0,8.5,8.5,5.0,30.0,20.0
optimized,Optimized Portfolio,1.290999721026883,15.933005767236509,9.367564385681218,17.043765226155504,32.385639309257186,0.0,0.0,0.0,13.99650434136562,0.0,36.57409112322168
benchmark,Benchmark,0.8909058139182299,16.581400690474567,14.302205387811481,,,,,,,,
