year,optimized,provided,benchmark
2015,-0.03349005262192606,-0.0466809229126941,-0.013690617490621726
2016,0.09914604727132548,0.17955647300517352,0.11997893812047522
2017,0.22915425140008372,0.23894389347393075,0.2170540282190272
2018,-0.012546518494091496,-0.06186943996951666,-0.04569010154615116
2019,0.26387424926708514,0.2925305593729546,0.31223874908869687
2020,0.293469071809358,0.28836048873974796,0.18331646821021375
2021,0.15847097645900177,0.16610100315523013,0.2872872048373367
2022,-0.10175051999809037,-0.10977948983510433,-0.18175365018569756
2023,0.23216657793103712,0.24201129527072096,0.2617580107597959
2024,0.3375078289734299,0.2255533925592943,0.2488648456442084
2025,0.3744612529993345,0.4446034599689417,0.17719055511914772
2026,0.1172738760597114,0.15505869639182324,0.10130213504869823
