portfolio,market_type,portfolio_return_pct,benchmark_return_pct,active_return_pct,occurrences,above_benchmark_count,below_benchmark_count,total_count,pct_above_benchmark,above_active_return_pct,below_active_return_pct,overall_active_return_pct
optimized,up,3.1506538085394387,3.918651782643398,-0.7679979741039594,72,23,49,72,31.944444444444443,2.030256630302862,-2.0814644210704265,-0.7679979741039594
optimized,down,-1.4453703790736814,-3.41479873854727,1.9694283594735886,36,27,9,36,75.0,3.026058993938343,-1.2004635439206761,1.9694283594735886
provided,up,3.5092552636159597,3.918651782643398,-0.4093965190274388,72,28,44,72,38.88888888888889,1.3742164555679315,-1.5444229574063109,-0.4093965190274388
provided,down,-2.2159686501188642,-3.41479873854727,1.1988300884284062,36,25,11,36,69.44444444444444,2.139916844573596,-0.9400034482652069,1.1988300884284062
