excluded_year,removed_observations,remaining_observations,removed_start,removed_end,feasible,status,solver,expected_return,volatility,sharpe,delta_expected_return,delta_volatility,delta_sharpe,allocation_turnover,max_abs_weight_change,most_changed_asset,message,weight_QQQ,delta_weight_QQQ,weight_SPMO,delta_weight_SPMO,weight_AIA,delta_weight_AIA,weight_GLD,delta_weight_GLD,weight_XLE,delta_weight_XLE,weight_144600,delta_weight_144600,weight_SCHD,delta_weight_SCHD,weight_138920,delta_weight_138920
2015,2,128,2015-11-30,2015-12-31,True,optimal,OSQP,0.1744166487903211,0.10569548920356289,1.286921724182048,0.004036374125277353,0.0007529226243527948,0.029229527572629976,0.08246948105046499,0.07657283128165923,SCHD,,0.23021795740684461,-0.005896649768805828,0.17274477732178442,0.013470414587218538,0.07065305436578515,0.00948150125963395,0.3975914353841127,0.02474604086735621,0.030652777927999465,0.030652777927999465,0.0,0.0,0.0529829922117998,-0.07657283128165923,0.04515700538167374,0.004118746408256754
2016,12,118,2016-01-31,2016-12-31,True,optimal,OSQP,0.1805566624187,0.11052536085866589,1.286237237571948,0.010176387753656257,0.005582794279455794,0.028545040962529855,0.10397014360533706,0.05505219302376935,GLD,,0.24529296700484085,0.009178359829190408,0.19901395348694317,0.03973959075237729,0.031134203560173032,-0.030037349545978163,0.4278975875405258,0.05505219302376935,0.0,0.0,0.0,0.0,0.08319612885964862,-0.046359694633810414,0.013465159547868491,-0.027573099425548496
2017,12,118,2017-01-31,2017-12-31,True,optimal,OSQP,0.17766525781767362,0.10566797122948504,1.3180004178277007,0.007284983152629876,0.0007254046502749439,0.06030822121828261,0.13359364832663498,0.06787704604504247,SCHD,,0.23156955800020912,-0.004545049175441324,0.1777165888375922,0.018442226103026316,0.0,-0.061171553106151196,0.40690166229695013,0.03405626778019366,0.036737085338880544,0.036737085338880544,0.0,0.0,0.06167877744841657,-0.06787704604504247,0.08539632807795146,0.04435806910453447
2018,12,118,2018-01-31,2018-12-31,True,optimal,OSQP,0.18031953765002853,0.10067639219696856,1.4097119192168974,0.009939262984984792,-0.0042661743822415416,0.1520197226074793,0.10067779757339568,0.05658775900347146,GLD,,0.20747829786788802,-0.028636309307762425,0.1438206334724041,-0.015453729262161792,0.09854563066699126,0.03737407756084007,0.316257635513285,-0.05658775900347146,0.006899369013027838,0.006899369013027838,0.0,0.0,0.14850142269710812,0.018945599203649077,0.07849701076929567,0.03745875179587869
2019,12,118,2019-01-31,2019-12-31,True,optimal,OSQP,0.16297097858316956,0.10877724052179738,1.1452409566502968,-0.007409296081874184,0.0038346739425872828,-0.11245123995912132,0.15433303487999306,0.11598928273272616,SCHD,,0.1977708550283835,-0.03834375214726693,0.23645943233509686,0.07718506960053098,0.06749576863490094,0.0063242155287497395,0.39289009736708164,0.02004470285032517,0.03932223820578652,0.03932223820578652,0.0,0.0,0.013566540760732876,-0.11598928273272616,0.052495067668017655,0.011456808694600668
2020,12,118,2020-01-31,2020-12-31,True,optimal,OSQP,0.1775615357101964,0.0983802781436811,1.4145793318528863,0.007181261045152654,-0.006562288435529001,0.1568871352434682,0.17422662707568584,0.16245526074254651,XLE,,0.2326899723564074,-0.0034246348192430442,0.1572932485365158,-0.0019811141980500824,0.027637913995659305,-0.03353363911049189,0.3846167608498958,0.011771366333139355,0.16245526074254651,0.16245526074254651,0.0,0.0,0.035306843518975194,-0.09424897997448384,0.0,-0.04103825897341699
2021,12,118,2021-01-31,2021-12-31,True,optimal,OSQP,0.1759271038233671,0.11289697925656894,1.218210417522379,0.0055468291583233575,0.007954412677358844,-0.039481779087039204,0.21601171951420056,0.12955582349345904,SCHD,,0.16972311200245044,-0.0663914951732,0.22852409570433727,0.06924973296977138,0.14826611971880108,0.08709456661264989,0.43251281444853573,0.059667419931779264,0.0,0.0,0.0,0.0,0.0,-0.12955582349345904,0.020973858125875475,-0.020064400847541512
2022,12,118,2022-01-31,2022-12-31,True,optimal,OSQP,0.22083006759756388,0.11682333102233461,1.5616336087564435,0.05044979293252014,0.011880764443124511,0.3039414121470254,0.34717995000262564,0.3471799500026256,QQQ,,0.583294557178276,0.3471799500026256,0.0,-0.15927436273456588,0.012659628330817557,-0.04851192477533364,0.35111734686192825,-0.02172804765482822,0.0,0.0,0.0,0.0,0.05043934851065266,-0.07911647498280638,0.002489119118325464,-0.03854913985509152
2023,12,118,2023-01-31,2023-12-31,True,optimal,OSQP,0.1665518735678062,0.10347431130725956,1.2385397337996882,-0.0038284010972375326,-0.0014682552719505332,-0.01915246280972993,0.27368269012585345,0.23611460717565044,QQQ,,0.0,-0.23611460717565044,0.29233812531618725,0.13306376258162136,0.11568188851044041,0.05451033540428921,0.3352773115665535,-0.037568082950202975,0.0,0.0,0.0,0.0,0.21050433607577448,0.08094851258231545,0.04619833853104442,0.005160079557627435
2024,12,118,2024-01-31,2024-12-31,True,optimal,OSQP,0.14751636007680435,0.10011213618581996,1.0899930482759352,-0.022863914588239387,-0.004830430393390137,-0.16769914833348287,0.22410231669224756,0.14811755660439044,SPMO,,0.349661807940732,0.11354720076508154,0.011156806130175457,-0.14811755660439044,0.02916114102164453,-0.03201041208450667,0.328871046513406,-0.04397434800335048,0.004889586346402687,0.004889586346402687,0.0,0.0,0.14476662964845824,0.015210806154999201,0.13149298239918106,0.09045472342576408
2025,12,118,2025-01-31,2025-12-31,True,optimal,OSQP,0.16354407637887036,0.1088820287534272,1.149402249622615,-0.006836198286173378,0.003939462174217104,-0.10828994698680305,0.22675646481062675,0.1438030292167178,SCHD,,0.3190680427695593,0.08295343559390886,0.062283980405916414,-0.09699038232864947,0.011709193471262865,-0.049462359634888334,0.29256440821813395,-0.08028098629862251,0.0,0.0,0.0,0.0,0.27335885271017685,0.1438030292167178,0.04101552242495045,-2.2736548466538442e-05
2026,8,122,2026-01-31,2026-08-31,True,optimal,OSQP,0.1761955762212266,0.1006970723178645,1.368468272841461,0.0058153015561828725,-0.0042454942613456,0.11077607623204289,0.15570026288709826,0.12955582349345904,SCHD,,0.22511523880656845,-0.010999368369081997,0.24996418947036106,0.09068982673579518,0.08511150004148713,0.02393994693533593,0.4139158837327237,0.04107048921596723,0.0,0.0,0.0,0.0,0.0,-0.12955582349345904,0.02589318794885981,-0.015145071024557175
