asset,Sample Portfolio,Portfolio 2,Portfolio 3
SPY,0.740921465290571,0.0,0.0
GLD,0.12961516535167666,0.05603493870635623,0.0440066408872132
TLT,0.1294633693577523,0.0,0.0
QQQ,0.0,0.2686799728653146,0.4252561588078589
SLV,0.0,0.1382963758660411,0.12294761500078905
GDX,0.0,0.16138500531760824,0.0
AIA,0.0,0.20407492181526382,0.0
XLF,0.0,0.07477111174661345,0.0
XLE,0.0,0.09675767368280248,0.09916530484460463
EWY,0.0,0.0,0.16602443571291411
EWJ,0.0,0.0,0.0715116944235449
INDY,0.0,0.0,0.07108815032307529
