point,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_AIA,weight_GLD,weight_XLE,weight_144600,weight_SCHD,weight_138920
1,0.13006199535274182,0.08745719903103147,1.0481374750409018,0.10003354897440564,0.06596688841627024,0.05396655723903041,0.30079246066434173,0.0,0.0,0.20933331391793547,0.2699072307880165
2,0.13089773725717632,0.087465357359539,1.0575948291244366,0.10282600896194094,0.0679141274370132,0.054124642222528,0.3022825031875174,0.0,0.0,0.20769813306455334,0.2651533430976991
3,0.13173363286383957,0.08749015201992337,1.0668492752918917,0.10564482179983432,0.06985093950328351,0.054274517377631636,0.30377626268196267,0.0,0.0,0.20604408380870923,0.26040812050328055
4,0.13256953043768535,0.08753146257172532,1.075895456154517,0.10846582817181874,0.07178573474838901,0.054423946668584,0.3052700951653068,0.0,0.0,0.20439005054720094,0.2556630904568634
5,0.13340542800581262,0.08758926456006255,1.0847288294612194,0.11128708899603718,0.07372026688553299,0.05457333032755297,0.3067639302883491,0.0,0.0,0.20273605927922528,0.2509180700189453
6,0.13424132556902071,0.08766352536519852,1.0933452377545365,0.1141083811619944,0.07565476608745772,0.054722708476047835,0.3082577656312354,0.0,0.0,0.2010820739096928,0.24617305053429375
7,0.13507722313154474,0.08775420320553007,1.1017409082832985,0.11692967722130378,0.07758926118901358,0.05487208594190054,0.3097516009995401,0.0,0.0,0.19942808928545633,0.2414280311640992
8,0.1359131206940023,0.08786124725147806,1.1099124603669326,0.11975097376508302,0.07952375578027299,0.05502146332283853,0.3112454363711092,0.0,0.0,0.19777410475404766,0.2366830118081153
9,0.13674901825643465,0.08798459776860358,1.1178569109208847,0.12257227036881198,0.0814582503081901,0.055170840693327144,0.31273927174304283,0.0,0.0,0.19612012023427677,0.23193799245380703
10,0.13758491581887294,0.08812418628273123,1.1255716780683998,0.1253935669803372,0.08339274482814293,0.05532021806232205,0.31423310711502817,0.0,0.0,0.19446613571582172,0.2271929730998331
11,0.13842081338130524,0.08827993576717053,1.1330545828545555,0.12821486359268802,0.08532723934715053,0.0554695954312352,0.3157269424869533,0.0,0.0,0.1928121511975952,0.22244795374585227
12,0.13925671094374356,0.08845176085127376,1.1403038490904638,0.13103616020514497,0.08726173386602498,0.05561897280015925,0.3172207778590014,0.0,0.0,0.19115816667930713,0.2177029343918633
13,0.14009260850616245,0.08863956804890462,1.1473181013680753,0.13385745681748212,0.08919622838492587,0.05576835016912592,0.3187146132308668,0.0,0.0,0.18950418216117026,0.21295791503783296
14,0.14092850606860094,0.08884325600559813,1.1540963613032516,0.13667875343006752,0.09113072290369703,0.0559177275380411,0.32020844860279296,0.0,0.0,0.18785019764296917,0.20821289568386597
15,0.14176440363103832,0.08906271576270458,1.1606380420763893,0.13950005004236385,0.0930652174227071,0.05606710490696006,0.3217022839748085,0.0,0.0,0.18619621312475876,0.20346787632985786
16,0.142600301193478,0.08929783103722586,1.1669429413557721,0.14232134665503932,0.09499971194140652,0.056216482275860215,0.3231961193467814,0.0,0.0,0.18454222860650196,0.19872285697590442
17,0.1434361987559087,0.08954847851554433,1.1730112326974729,0.1451426432671927,0.09693420646051332,0.05636585964476444,0.3246899547187301,0.0,0.0,0.1828882440884067,0.1939778376218631
