year,optimized,provided,benchmark
2015,-0.007216202631927238,-0.019757059110129815,0.017096809690050785
2016,0.1401579602804086,0.1680339282970711,0.14842030715259114
2017,0.0764586709894215,0.07728542289381335,0.07992881188462375
2018,0.010689083762793317,-0.0335659638392114,-0.003921435596143996
2019,0.2974234521606398,0.27181562609311216,0.3593183999056264
2020,0.23494022204372222,0.16770236466524513,0.11175533686352823
2021,0.20974496282234534,0.25241016023638485,0.4098882999203026
2022,-0.0422102377354997,0.03137776632272793,-0.13336273527968123
2023,0.228300526085238,0.18371526509060865,0.2793587563607063
2024,0.4098545748735516,0.36874904194627844,0.43411652862171346
2025,0.33214148437178403,0.30996957253873947,0.15354094892596337
2026,0.1184311126857065,0.1989244635539651,0.0888832490115481
