kind,label,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_AIA,weight_GLD,weight_XLE,weight_144600,weight_SCHD,weight_138920
provided,Provided Portfolio,0.17077551327925772,0.11983688823111636,1.104673925091768,0.2,0.2,0.15,0.15,0.15,0.05,0.05,0.05
optimized,Optimized Portfolio,0.17038027466504374,0.1049425665792101,1.2576921966094181,0.23611460717565044,0.15927436273456588,0.061171553106151196,0.37284539451675647,0.0,0.0,0.12955582349345904,0.04103825897341699
benchmark,Benchmark,0.16577788725016185,0.14201421040035786,0.8969740373505184,,,,,,,,
