year,ticker,asset_annual_return,baseline_weight,excluded_year_weight,delta_weight,status
2015,QQQ,0.028547509570989282,0.23611460717565044,0.23021795740684461,-0.005896649768805828,optimal
2015,SPMO,0.014608548866230198,0.15927436273456588,0.17274477732178442,0.013470414587218538,optimal
2015,AIA,-0.02440911530764922,0.061171553106151196,0.07065305436578515,0.00948150125963395,optimal
2015,GLD,-0.048007435599935255,0.37284539451675647,0.3975914353841127,0.02474604086735621,optimal
2015,XLE,-0.08618374983293575,0.0,0.030652777927999465,0.030652777927999465,optimal
2015,144600,-0.10564474365613674,0.0,0.0,0.0,optimal
2015,SCHD,0.030687667055382617,0.12955582349345904,0.0529829922117998,-0.07657283128165923,optimal
2015,138920,-0.02243464689816632,0.04103825897341699,0.04515700538167374,0.004118746408256754,optimal
2016,QQQ,0.10599216782019938,0.23611460717565044,0.24529296700484085,0.009178359829190408,optimal
2016,SPMO,0.11126587617945827,0.15927436273456588,0.19901395348694317,0.03973959075237729,optimal
2016,AIA,0.1578680262955967,0.061171553106151196,0.031134203560173032,-0.030037349545978163,optimal
2016,GLD,0.1254812802924219,0.37284539451675647,0.4278975875405258,0.05505219302376935,optimal
2016,XLE,0.3348630521320699,0.0,0.0,0.0,optimal
2016,144600,0.1239143022582514,0.0,0.0,0.0,optimal
2016,SCHD,0.19570663418561196,0.12955582349345904,0.08319612885964862,-0.046359694633810414,optimal
2016,138920,0.14039113949311544,0.04103825897341699,0.013465159547868491,-0.027573099425548496,optimal
2017,QQQ,0.17186417841372914,0.23611460717565044,0.23156955800020912,-0.004545049175441324,optimal
2017,SPMO,0.1299152996942734,0.15927436273456588,0.1777165888375922,0.018442226103026316,optimal
2017,AIA,0.2796701347368207,0.061171553106151196,0.0,-0.061171553106151196,optimal
2017,GLD,-0.012006841993465467,0.37284539451675647,0.40690166229695013,0.03405626778019366,optimal
2017,XLE,-0.12090241663690948,0.0,0.036737085338880544,0.036737085338880544,optimal
2017,144600,0.00901597114889241,0.0,0.0,0.0,optimal
2017,SCHD,0.07092832102113511,0.12955582349345904,0.06167877744841657,-0.06787704604504247,optimal
2017,138920,-0.10998337562341398,0.04103825897341699,0.08539632807795146,0.04435806910453447,optimal
2018,QQQ,0.026476250530294898,0.23611460717565044,0.20747829786788802,-0.028636309307762425,optimal
2018,SPMO,0.024329554678931276,0.15927436273456588,0.1438206334724041,-0.015453729262161792,optimal
2018,AIA,-0.10252280026356952,0.061171553106151196,0.09854563066699126,0.03737407756084007,optimal
2018,GLD,0.02769936858222133,0.37284539451675647,0.316257635513285,-0.05658775900347146,optimal
2018,XLE,-0.15401552191617474,0.0,0.006899369013027838,0.006899369013027838,optimal
2018,144600,-0.11182027061526656,0.0,0.0,0.0,optimal
2018,SCHD,-0.025728279858107328,0.12955582349345904,0.14850142269710812,0.018945599203649077,optimal
2018,138920,-0.15306724341329137,0.04103825897341699,0.07849701076929567,0.03745875179587869,optimal
2019,QQQ,0.4500182967874533,0.23611460717565044,0.1977708550283835,-0.03834375214726693,optimal
2019,SPMO,0.31632575020433085,0.15927436273456588,0.23645943233509686,0.07718506960053098,optimal
2019,AIA,0.2620977480426758,0.061171553106151196,0.06749576863490094,0.0063242155287497395,optimal
2019,GLD,0.22140551628345118,0.37284539451675647,0.39289009736708164,0.02004470285032517,optimal
2019,XLE,0.15791187410297813,0.0,0.03932223820578652,0.03932223820578652,optimal
2019,144600,0.13452141419948282,0.0,0.0,0.0,optimal
2019,SCHD,0.32770324427103237,0.12955582349345904,0.013566540760732876,-0.11598928273272616,optimal
2019,138920,-0.041671503192106885,0.04103825897341699,0.052495067668017655,0.011456808694600668,optimal
2020,QQQ,0.39623721704005366,0.23611460717565044,0.2326899723564074,-0.0034246348192430442,optimal
2020,SPMO,0.20115095566633023,0.15927436273456588,0.1572932485365158,-0.0019811141980500824,optimal
2020,AIA,0.26228371205824996,0.061171553106151196,0.027637913995659305,-0.03353363911049189,optimal
2020,GLD,0.1728248141688815,0.37284539451675647,0.3846167608498958,0.011771366333139355,optimal
2020,XLE,-0.3572019552560556,0.0,0.16245526074254651,0.16245526074254651,optimal
2020,144600,0.3863693944768176,0.0,0.0,0.0,optimal
2020,SCHD,0.07900430187660157,0.12955582349345904,0.035306843518975194,-0.09424897997448384,optimal
2020,138920,0.2900920542635661,0.04103825897341699,0.0,-0.04103825897341699,optimal
2021,QQQ,0.3924695312097901,0.23611460717565044,0.16972311200245044,-0.0663914951732,optimal
2021,SPMO,0.3341727692156764,0.15927436273456588,0.22852409570433727,0.06924973296977138,optimal
2021,AIA,-0.02592054106370356,0.061171553106151196,0.14826611971880108,0.08709456661264989,optimal
2021,GLD,0.03517025946051855,0.37284539451675647,0.43251281444853573,0.059667419931779264,optimal
2021,XLE,0.642472712828795,0.0,0.0,0.0,optimal
2021,144600,-0.1557017543859649,0.0,0.0,0.0,optimal
2021,SCHD,0.41304910098123293,0.12955582349345904,0.0,-0.12955582349345904,optimal
2021,138920,0.09923950802741532,0.04103825897341699,0.020973858125875475,-0.020064400847541512,optimal
2022,QQQ,-0.27823402273623443,0.23611460717565044,0.583294557178276,0.3471799500026256,optimal
2022,SPMO,-0.03967579930605736,0.15927436273456588,0.0,-0.15927436273456588,optimal
2022,AIA,-0.1735722501811906,0.061171553106151196,0.012659628330817557,-0.04851192477533364,optimal
2022,GLD,0.07056048968396045,0.37284539451675647,0.35111734686192825,-0.02172804765482822,optimal
2022,XLE,0.7624174087325977,0.0,0.0,0.0,optimal
2022,144600,0.01948051948051943,0.0,0.0,0.0,optimal
2022,SCHD,0.04625947657502261,0.12955582349345904,0.05043934851065266,-0.07911647498280638,optimal
2022,138920,0.2382131875640583,0.04103825897341699,0.002489119118325464,-0.03854913985509152,optimal
2023,QQQ,0.5792841709204151,0.23611460717565044,0.0,-0.23611460717565044,optimal
2023,SPMO,0.19917190932116502,0.15927436273456588,0.29233812531618725,0.13306376258162136,optimal
2023,AIA,0.04542852425834143,0.061171553106151196,0.11568188851044041,0.05451033540428921,optimal
2023,GLD,0.1521537976406,0.37284539451675647,0.3352773115665535,-0.037568082950202975,optimal
2023,XLE,0.018327620748182838,0.0,0.0,0.0,optimal
2023,144600,-0.027600849256899873,0.0,0.0,0.0,optimal
2023,SCHD,0.06162982523382032,0.12955582349345904,0.21050433607577448,0.08094851258231545,optimal
2023,138920,-0.01924536110919506,0.04103825897341699,0.04619833853104442,0.005160079557627435,optimal
2024,QQQ,0.4344666085866342,0.23611460717565044,0.349661807940732,0.11354720076508154,optimal
2024,SPMO,0.6635805747183574,0.15927436273456588,0.011156806130175457,-0.14811755660439044,optimal
2024,AIA,0.3749059765713496,0.061171553106151196,0.02916114102164453,-0.03201041208450667,optimal
2024,GLD,0.42956383368170137,0.37284539451675647,0.328871046513406,-0.04397434800335048,optimal
2024,XLE,0.18250511540735692,0.0,0.004889586346402687,0.004889586346402687,optimal
2024,144600,0.1644104803493447,0.0,0.0,0.0,optimal
2024,SCHD,0.2628032569556289,0.12955582349345904,0.14476662964845824,0.015210806154999201,optimal
2024,138920,-0.25826417217611464,0.04103825897341699,0.13149298239918106,0.09045472342576408,optimal
2025,QQQ,0.17621885567614903,0.23611460717565044,0.3190680427695593,0.08295343559390886,optimal
2025,SPMO,0.23734252677294254,0.15927436273456588,0.062283980405916414,-0.09699038232864947,optimal
2025,AIA,0.43827848328074737,0.061171553106151196,0.011709193471262865,-0.049462359634888334,optimal
2025,GLD,0.6148184716811123,0.37284539451675647,0.29256440821813395,-0.08028098629862251,optimal
2025,XLE,0.07061276840708586,0.0,0.0,0.0,optimal
2025,144600,1.3635852240765045,0.0,0.0,0.0,optimal
2025,SCHD,0.02720853373313492,0.12955582349345904,0.27335885271017685,0.1438030292167178,optimal
2025,138920,0.04494595107149646,0.04103825897341699,0.04101552242495045,-2.2736548466538442e-05,optimal
2026,QQQ,0.11548152492830766,0.23611460717565044,0.22511523880656845,-0.010999368369081997,optimal
2026,SPMO,0.1786103586685337,0.15927436273456588,0.24996418947036106,0.09068982673579518,optimal
2026,AIA,0.3661486843268471,0.061171553106151196,0.08511150004148713,0.02393994693533593,optimal
2026,GLD,-0.013698048789798745,0.37284539451675647,0.4139158837327237,0.04107048921596723,optimal
2026,XLE,0.35990437024539634,0.0,0.0,0.0,optimal
2026,144600,-0.10789369297897633,0.0,0.0,0.0,optimal
2026,SCHD,0.23539076644439016,0.12955582349345904,0.0,-0.12955582349345904,optimal
2026,138920,0.13974591651542623,0.04103825897341699,0.02589318794885981,-0.015145071024557175,optimal
