date,SPY Candidate_drawdown,benchmark_drawdown
2021-11-30,0.0,0.0
2021-12-31,0.0,0.0
2022-01-31,-0.05632741442504763,-0.04152000108220788
2022-02-28,-0.07223441764138228,-0.040095403394815876
2022-03-31,-0.023766955954511837,-0.03450946972362812
2022-04-30,-0.06707452168545991,-0.06645324496508687
2022-05-31,-0.08742054947475975,-0.08691629520110844
2022-06-30,-0.1316738501846877,-0.11045582973903678
2022-07-31,-0.04623281846104077,-0.0688900057098526
2022-08-31,-0.05187139930011497,-0.08819415495754712
2022-09-30,-0.08316583219119245,-0.11887768660792675
2022-10-31,-0.014555464492085113,-0.12507254355309994
2022-11-30,-0.030221748261334724,-0.10410254669170671
2022-12-31,-0.11898860535917966,-0.138344858172479
2023-01-31,-0.09743329719095206,-0.09949451824631561
2023-02-28,-0.05807438646231311,-0.09371523661516235
2023-03-31,-0.03933992536352404,-0.06781179392900571
2023-04-30,0.0,-0.04475974109644032
2023-05-31,-0.008622515470458003,-0.0591226969175056
2023-06-30,0.0,-0.05757030519236872
2023-07-31,-0.0025010628457037276,-0.055506006283147946
2023-08-31,0.0,-0.055163212860563804
2023-09-30,-0.030424329192612953,-0.07407666531735657
2023-10-31,-0.05163053115848615,-0.09537799129802482
2023-11-30,-0.010845786534662616,-0.05643549048150687
2023-12-31,0.0,-0.0029104641038751877
2024-01-31,0.0,-0.0009831857290097945
2024-02-29,0.0,0.0
2024-03-31,0.0,0.0
2024-04-30,-0.01496591576145112,0.0
2024-05-31,0.0,0.0
2024-06-30,0.0,0.0
2024-07-31,-0.0017777181704736744,0.0
2024-08-31,-0.004621226634255238,-0.008831171955664074
2024-09-30,0.0,0.0
2024-10-31,0.0,0.0
2024-11-30,0.0,0.0
2024-12-31,0.0,0.0
2025-01-31,0.0,0.0
2025-02-28,-0.007079191146383779,0.0
2025-03-31,-0.048112540046067576,0.0
2025-04-30,-0.08727148613561175,-0.005361002206557219
2025-05-31,-0.06625493943268768,-0.01391181125432761
2025-06-30,-0.033969185588284545,-0.0005826724524831128
2025-07-31,0.0,0.0
2025-08-31,0.0,0.0
2025-09-30,0.0,0.0
2025-10-31,0.0,0.0
2025-11-30,0.0,0.0
2025-12-31,-0.010146737119576477,0.0
2026-01-31,-0.007134922069951255,0.0
2026-02-28,-0.01326283801664141,0.0
2026-03-31,-0.015483721436609588,-0.053005404388538624
2026-04-30,0.0,-0.016964524606459697
2026-05-31,0.0,0.0
2026-06-30,0.0,-0.012635737096382438
2026-07-31,-0.08234183406494833,-0.08939423352289622
2026-08-31,-0.0816342453646356,-0.08279984158140918
