date,SPY Candidate_balance,benchmark_balance
2014-07-01,10000.0,10000.0
2014-07-31,10074.352333388155,10241.195980682105
2014-08-31,10287.41787591779,10346.456134927932
2014-09-30,10542.626841991076,10463.06536106656
2014-10-31,10789.887441974848,10576.488055953974
2014-11-30,11562.878636435025,11265.03247172198
2014-12-31,11645.964383594852,11555.513791749798
2015-01-31,11188.761625456871,12084.780251969023
2015-02-28,11837.735559298544,11966.150067479515
2015-03-31,11719.882976150617,12127.299614947515
2015-04-30,11492.620199454126,11890.136616013142
2015-05-31,11986.205237829936,12214.632960265855
2015-06-30,11854.759205458322,11891.46795161377
2015-07-31,12699.733951806229,12335.091185597345
2015-08-31,12029.378894740952,11949.711453279666
2015-09-30,11751.125385055822,11987.92224448863
2015-10-31,12276.982573539752,12091.279371577586
2015-11-30,12483.678603385864,11994.706873582656
2015-12-31,12548.772813419631,12110.903355847018
2016-01-31,12169.94024842787,12305.322599487374
2016-02-29,12517.938985139042,12883.693034039525
2016-03-31,12279.983014148089,12427.511526905073
2016-04-30,12254.895719335042,12408.394567217982
2016-05-31,13054.009282774561,12905.183977565015
2016-06-30,12696.937717055653,13036.115384483977
2016-07-31,12841.08456739312,13159.589886511443
2016-08-31,12754.487145924251,13003.389061709262
2016-09-30,12608.50163452633,12867.870839264051
2016-10-31,12896.920420961442,13046.201573101813
2016-11-30,13618.77669840177,12717.79648138403
2016-12-31,14453.095517116315,13090.749081501695
2017-01-31,14159.84705962847,13061.83518735738
2017-02-28,14272.28142030413,13001.584662015124
2017-03-31,14076.891557474071,12932.94966675094
2017-04-30,14381.059681761288,13277.654278397413
2017-05-31,14443.075172368492,13460.253677578337
2017-06-30,14887.417526381243,13784.37238582349
2017-07-31,14830.0637400374,13719.98232582009
2017-08-31,14937.283877352795,14081.728469845542
2017-09-30,15542.064766096688,14182.124034942877
2017-10-31,15596.086824750566,14254.47087716312
2017-11-30,15460.610880795892,13886.797482086815
2017-12-31,15604.003297956355,14011.149243567454
2018-01-31,16405.829826521895,14396.178209213049
2018-02-28,15910.280136848027,13953.091747700953
2018-03-31,15224.863888526581,13748.15956295039
2018-04-30,15410.904983238912,13724.7285700131
2018-05-31,15940.511091235354,13910.019601521866
2018-06-30,16634.754347428927,14128.246114132593
2018-07-31,17122.616830617964,14090.181800109916
2018-08-31,17720.79844195749,14165.765996149228
2018-09-30,17775.978540949898,13955.373322113326
2018-10-31,16925.305788343187,13552.61431173739
2018-11-30,16925.898208968534,13635.274660380925
2018-12-31,15336.915892353187,13650.201196305356
2019-01-31,16551.757678254686,14087.690337033095
2019-02-28,17182.290689122892,14336.151056760782
2019-03-31,17794.820346262284,15012.887649012064
2019-04-30,18994.327038571544,15445.617579425478
2019-05-31,18167.050200953876,15641.310584718301
2019-06-30,18893.78074079848,15936.634189649214
2019-07-31,19690.66101079994,16234.847899702085
2019-08-31,19701.256508211045,17105.609456078222
2019-09-30,19932.198999769804,17030.35973948981
2019-10-31,19789.491925275834,16856.619096488277
2019-11-30,20740.3815462777,17014.88891112267
2019-12-31,20995.882211811484,17104.165672940395
2020-01-31,21517.63332895375,17761.77096778812
2020-02-29,20217.935450098357,18010.488026858093
2020-03-31,17771.433882490943,17274.170912081467
2020-04-30,20118.812084838275,18652.417944452904
2020-05-31,21350.044022751812,19086.74121519827
2020-06-30,21033.79994177221,19041.716238737365
2020-07-31,22108.426851786393,20312.027107789538
2020-08-31,23601.40768833928,20591.3551728694
2020-09-30,22182.430088166322,19972.39133300056
2020-10-31,21077.885217152325,19104.413441184934
2020-11-30,22849.465549113793,19687.636865759632
2020-12-31,23326.218608858417,20228.965445263784
2021-01-31,23623.591808764588,20349.749415226623
2021-02-28,24429.761035398482,20146.220838105164
2021-03-31,25723.017042939497,20101.538488447553
2021-04-30,26589.79001573517,20208.478040724363
2021-05-31,27022.438073180383,20973.194300362
2021-06-30,27932.631658724393,21260.260679950665
2021-07-31,28931.684552586627,21697.321906960475
2021-08-31,30217.624690022698,22286.595462973106
2021-09-30,29438.766239266755,22180.243385329715
2021-10-31,31069.149961889525,22358.625553409078
2021-11-30,31436.49648173667,22671.103130685446
2021-12-31,32777.6868133953,22947.561397977857
2022-01-31,30931.400250556846,22261.581893848423
2022-02-28,30410.005552022118,22260.85884712321
2022-03-31,31998.656615411564,22260.11355189052
2022-04-30,30579.14218207438,21653.08431147674
2022-05-31,29912.241688887614,20945.242445689888
2022-06-30,28461.721142073526,20926.33989859864
2022-07-31,31262.280153436113,21587.199470544558
2022-08-31,31077.450503463668,21557.776512562847
2022-09-30,30051.699118293363,21118.616758212484
2022-10-31,32300.579911881232,20948.5333161172
2022-11-30,31787.085983496258,21183.711540634227
2022-12-31,28877.51163856615,20009.960525300186
2023-01-31,29584.044682619056,20635.266292943776
2023-02-28,30874.14352944678,21058.083379070806
2023-03-31,31488.213216392072,21650.992563562133
2023-04-30,33049.54920572964,22429.348627435924
2023-05-31,32764.586458708207,21938.756656756304
2023-06-30,34922.82693286419,22239.996915616834
2023-07-31,34835.48290575975,21918.22737922458
2023-08-31,35521.92626485349,22022.938964057492
2023-09-30,34441.1926765573,21405.313556574663
2023-10-31,33687.920168664634,20887.098247299527
2023-11-30,35136.66797821428,21377.922269401264
2023-12-31,37030.554878854455,22724.899780853844
2024-01-31,38434.45328222153,22766.47796728164
2024-02-29,40646.295319878496,23271.303168584993
2024-03-31,42492.41799106637,24294.55699424648
2024-04-30,41856.477534994265,24263.98130165989
2024-05-31,43661.24472731508,24587.267134220507
2024-06-30,45573.909680206845,25213.721580698366
2024-07-31,45492.892175356676,25724.44813004331
2024-08-31,45363.3075229742,25386.990612362384
2024-09-30,45706.30333538656,25956.4157515762
2024-10-31,47476.34823687647,26550.91068969734
2024-11-30,50845.07495076759,26956.44568020897
2024-12-31,52644.60103871973,27462.37743264045
2025-01-31,52722.96580061186,27424.158796578195
2025-02-28,52349.72437839285,28067.645712602884
2025-03-31,50186.34110294868,28739.031031118
2025-04-30,48121.75422171544,28010.859546838125
2025-05-31,49229.81406457259,27344.741219044372
2025-06-30,50932.01467770371,27903.769251969512
2025-07-31,53766.93318518006,28692.06979137086
2025-08-31,54590.23042622967,29373.402920281496
2025-09-30,57300.037778315374,31244.55255608986
2025-10-31,59538.49908113239,32896.73961462934
2025-11-30,61220.51087226396,34020.43338993884
2025-12-31,60599.32785447658,33807.636157685905
2026-01-31,60783.70190819396,35309.22855422698
2026-02-28,60408.5531532691,37518.96389315685
2026-03-31,60272.589535710904,36390.588735966405
2026-04-30,65305.379403124214,37518.38370490473
2026-05-31,69734.54240935252,39476.79865512905
2026-06-30,71477.83714131059,40024.37975255486
2026-07-31,65592.2209360994,35412.06378490361
2026-08-31,65642.79784598338,35877.00595920058
