date,asset_SPY,asset_QQQ,asset_SCHD,asset_EWY,asset_192090,asset_200250,asset_EWJ,asset_TLT,asset_GLD,SPY Candidate,benchmark
2014-07-31,0.007435233338815461,0.03322731945117763,0.003546316745066669,0.038118846767602355,0.11278978900755399,0.020246913580246995,0.017764845460863432,0.027939755126426213,-0.015927809118780667,0.007435233338815461,0.024119598068210603
2014-08-31,0.021149304240978273,0.031592493743529015,0.01607595633593628,-0.013160591642885744,0.00117041198501866,0.027105517909002952,-0.033992182311413766,0.028785799840052473,-0.013877355238992473,0.021149304240978273,0.010278111506154066
2014-09-30,0.024807873963272664,0.03128151013394187,0.036743661897282065,-0.05303295704103306,0.08300210427869992,-0.0037700282752121117,0.036501885672058254,0.017193699184212985,-0.025036801059259983,0.024807873963272664,0.011270450927151024
2014-10-31,0.023453414759871505,0.026322811252086353,0.01961250149910221,-0.031161074967332558,0.026338514680483538,0.03500473036896867,0.02454198185230605,0.028087956938746883,-0.030640071073610442,0.023453414759871505,0.010840293066452969
2014-11-30,0.07164033903199818,0.09040490108288357,0.07402203958923104,0.011855896482027228,0.16028607488430802,0.04798903107861063,0.004934404900435174,0.07393692258388085,0.03789537761864925,0.07164033903199818,0.0651014223365376
2014-12-31,0.007185559043923595,-0.012544772488239264,0.0003725994723815518,-0.0178711512898021,0.21700507614213205,-0.04055822067160919,-0.022014897847426274,0.030264739782207117,0.02728177762426731,0.007185559043923595,0.025786105877368792
2015-01-31,-0.03925847126769699,-0.03086650292023141,-0.04050689975642052,0.007787186022028436,-0.004022046774914356,0.08727272727272717,0.016814176402631498,0.10025500808454568,0.07161458523047193,-0.03925847126769699,0.04580207074800084
2015-02-28,0.05800230227133585,0.07403010395198795,0.054108763241354385,0.01934186169770835,0.03963505833084047,-0.022993311036789255,0.0766767607046448,-0.0597864965854219,-0.05745084099582598,0.05800230227133585,-0.00981649496441427
2015-03-31,-0.009955669524595256,-0.017885585628071854,-0.017758303356877336,0.01667648294355195,0.17565817867932676,-0.025246041934103514,0.02050195487700468,0.01682814896552509,-0.015805932101563558,-0.009955669524595256,0.013467117373528265
2015-04-30,-0.019391215523137828,-0.010273396045506034,-0.021548679375819835,0.03773076174527956,0.1030347528144886,-0.037752414398595224,-0.003366040370773038,-0.06220112331749095,-0.030563695590543394,-0.019391215523137828,-0.0195561259690539
2015-05-31,0.04294799878614741,0.05286242880882641,0.03489624258626889,-0.027019243284989947,0.0938540048812957,0.02098540145985406,0.044923377028780465,0.005279935831961291,0.035426970136224645,0.04294799878614741,0.027291220843980404
2015-06-30,-0.010966442653322361,-0.015538402499234771,-0.023890794276296923,-0.03744434240246697,-0.10050709939148073,-0.0017873100983020196,-0.003993174634293606,-0.03156857752265607,-0.005767389474707341,-0.010966442653322361,-0.026457201759835028
2015-07-31,0.07127725934398166,0.09536058239406286,0.05499985664043372,-0.027094698977317977,-0.09121659713609198,0.05998209489704576,0.057426340630707395,0.09523697474200055,-0.021749668840210123,0.07127725934398166,0.0373060109810388
2015-08-31,-0.05278496853628456,-0.060143154617135264,-0.04493115930599001,-0.05713215997443888,-0.1827543424317618,-0.08994932432432434,-0.054494703092973884,0.0017401632621727448,0.04608974836768587,-0.05278496853628456,-0.031242552366994664
2015-09-30,-0.02313116180975705,-0.019679703603562415,-0.004730919525445354,0.022144042878105008,0.028237437376650965,0.00788863109048732,-0.0546227700945453,0.02216416117041775,-0.015608269115810702,-0.02313116180975705,0.003197632960290297
2015-10-31,0.04474951728050436,0.07232429291452402,0.047216419753272953,0.07338613494970403,0.04695112948471869,0.0032228360957642366,0.03782252374962347,-0.04108706970834497,-0.015164914252894346,0.04474951728050436,0.008621771561495878
2015-11-30,0.016836061190768303,0.01930154611343693,0.01598344111185801,-0.015930730935129422,0.027217599774361778,-0.043597980725103236,0.01806682831321238,0.004342801916919603,-0.055274221708548454,0.016836061190768303,-0.007986954484067076
2015-12-31,0.005214345234433759,0.00907132183102477,0.014473110834567704,-0.016737793687527036,0.04448105436573302,0.016314779270633295,0.008542905906832043,0.005129039047987227,0.007691952813815739,0.005214345234433759,0.00968731320314914
2016-01-31,-0.030188813728991737,-0.052250857396936135,-0.003955605779509153,-0.017233149989717256,-0.18703995793901151,-0.05760151085930121,-0.031390252754303516,0.09328839438255665,0.08715028968905503,-0.030188813728991737,0.016053240450184334
2016-02-29,0.028594942095638176,0.013330635329334761,0.037094967313606286,0.004647025020509066,0.003071948261923918,-0.049098196392785565,-0.02515987061848024,0.06121377596016808,0.14196708507914702,0.028594942095638176,0.04700164744776741
2016-03-31,-0.019009197222757623,-0.017850867834058204,-0.022017765245714638,0.04207252638868875,0.05867182462927145,0.050579557428872546,-0.03694750022436588,-0.08169527294516632,-0.08858507976449925,-0.019009197222757623,-0.03540766656960798
2016-04-30,-0.0020429421428468375,-0.0376389108677454,-0.007696059124446708,-0.016687855059630885,-0.01568209500609008,0.011033099297893756,-0.005089613564970508,-0.013282213783766927,0.04482278743702994,-0.0020429421428468375,-0.0015382773651589853
2016-05-31,0.06520769998709386,0.0931608645096409,0.062045660996296714,-0.0025239522937651193,0.011291569992265993,0.07440476190476186,0.08132455369758973,0.05582610562887047,-0.016902129126876497,0.06520769998709386,0.04003655812650525
2016-06-30,-0.02735340216052118,-0.05280226652034925,-0.002447001862291076,0.014274273824637307,-0.03472009788926278,-0.027700831024930705,-0.04711548047269165,0.03648915010266429,0.0562171861685401,-0.02735340216052118,0.010145644350873232
2016-07-31,0.011352883155742122,0.045540661052857256,0.0035502487512282244,0.043040402366317565,0.0007922674694977871,0.0232668566001899,0.02328113619452954,-0.0037196272179234047,-0.004868961018503204,0.011352883155742122,0.00947172515628622
2016-08-31,-0.006743777833903675,0.002485659907283999,-0.011190166559053139,0.004366611166984891,0.017732742241925337,0.0009280742459396585,0.010165693272739862,-0.017985853218325465,-0.04023654909335228,-0.006743777833903675,-0.011869733490880701
2016-09-30,-0.011445815870736342,0.010377246634515336,-0.00968714718285213,0.019721274179817172,-0.022401991288114487,-0.020862308762169657,0.009425582429976709,-0.02641386654499167,-0.004690636301625362,-0.011445815870736342,-0.010421761727046196
2016-10-31,0.022874945397581836,0.02575303244733762,0.024683855445339464,-0.008859246357108108,0.0399427116486315,0.0359848484848484,0.04839231561374335,-0.0046774834274369015,0.01026721071242287,0.022874945397581836,0.013858604586985521
2016-11-30,0.05597121280729089,0.02289309950667784,0.051708845952276095,-0.02000356964480776,0.07972456006120887,-0.06124314442413159,0.005752362610893957,-0.06519987789096704,-0.06665476037088591,0.05597121280729089,-0.02517246800746025
