portfolio,rank,start,bottom,recovery,maximum_drawdown,duration_months
SPY Candidate,1,2020-02-29,2020-03-31,2020-07-31,-0.174099046544398,6
SPY Candidate,2,2018-10-31,2018-12-31,2019-03-31,-0.13721116072332828,6
SPY Candidate,3,2022-01-31,2022-06-30,2023-04-30,-0.13167389437493704,16
SPY Candidate,4,2020-09-30,2020-10-31,2021-01-31,-0.10692254057514328,5
SPY Candidate,5,2025-02-28,2025-04-30,2025-07-31,-0.08727148613561164,6
SPY Candidate,6,2026-07-31,2026-07-31,,-0.08234183406494822,2
SPY Candidate,7,2015-08-31,2015-09-30,2016-05-31,-0.07469515269770588,10
SPY Candidate,8,2018-02-28,2018-03-31,2018-06-30,-0.07198452930958399,5
SPY Candidate,9,2023-09-30,2023-10-31,2023-12-31,-0.05163025457894388,4
SPY Candidate,10,2019-05-31,2019-05-31,2019-07-31,-0.04355389037672819,3
SPY Candidate,11,2015-01-31,2015-01-31,2015-02-28,-0.03925847126769688,2
SPY Candidate,12,2016-06-30,2016-09-30,2016-11-30,-0.03412803213156146,6
SPY Candidate,13,2015-03-31,2015-04-30,2015-05-31,-0.02915383251430448,3
SPY Candidate,14,2017-01-31,2017-03-31,2017-06-30,-0.02602930003449555,6
SPY Candidate,15,2021-09-30,2021-09-30,2021-10-31,-0.02577497267722395,2
SPY Candidate,16,2025-12-31,2026-03-31,2026-04-30,-0.015483721436609588,5
SPY Candidate,17,2024-04-30,2024-04-30,2024-05-31,-0.014965974781802394,2
SPY Candidate,18,2015-06-30,2015-06-30,2015-07-31,-0.010966442653322361,2
SPY Candidate,19,2017-11-30,2017-11-30,2017-12-31,-0.008686534351660447,2
SPY Candidate,20,2023-05-31,2023-05-31,2023-06-30,-0.008622288468976502,2
SPY Candidate,21,2019-10-31,2019-10-31,2019-11-30,-0.0071596252122316795,2
SPY Candidate,22,2024-07-31,2024-08-31,2024-09-30,-0.0046211123581549884,3
SPY Candidate,23,2017-07-31,2017-07-31,2017-08-31,-0.0038525006934352346,2
SPY Candidate,24,2023-07-31,2023-07-31,2023-08-31,-0.0025010583270461684,2
benchmark,1,2022-01-31,2022-12-31,2024-02-29,-0.12801364039215657,26
benchmark,2,2026-07-31,2026-07-31,,-0.11523766254883272,2
benchmark,3,2020-09-30,2020-10-31,2021-05-31,-0.07221194133174968,9
benchmark,4,2018-02-28,2018-10-31,2019-03-31,-0.05859637781753824,14
benchmark,5,2025-04-30,2025-05-31,2025-08-31,-0.04851554704693828,5
benchmark,6,2020-03-31,2020-03-31,2020-04-30,-0.04088268533748751,2
benchmark,7,2016-03-31,2016-04-30,2016-05-31,-0.03689147712272989,3
benchmark,8,2016-08-31,2016-11-30,2017-04-30,-0.03357197366615894,9
benchmark,9,2015-08-31,2015-08-31,2016-02-29,-0.03124255236699458,7
benchmark,10,2026-03-31,2026-03-31,2026-05-31,-0.03007479525297474,3
benchmark,11,2015-06-30,2015-06-30,2015-07-31,-0.026457201759835014,2
benchmark,12,2017-11-30,2017-11-30,2018-01-31,-0.02579354914291132,3
benchmark,13,2015-04-30,2015-04-30,2015-05-31,-0.019556125969053872,2
benchmark,14,2019-09-30,2019-10-31,2020-01-31,-0.014556064794374879,5
benchmark,15,2024-08-31,2024-08-31,2024-09-30,-0.01311816354523887,2
benchmark,16,2015-02-28,2015-02-28,2015-03-31,-0.00981649496441428,2
benchmark,17,2025-12-31,2025-12-31,2026-01-31,-0.006254982992540792,2
benchmark,18,2021-09-30,2021-09-30,2021-10-31,-0.004772019926510551,2
benchmark,19,2017-07-31,2017-07-31,2017-08-31,-0.0046712362522663975,2
benchmark,20,2020-06-30,2020-06-30,2020-07-31,-0.002358966151071007,2
benchmark,21,2025-01-31,2025-01-31,2025-02-28,-0.0013916725220166626,2
benchmark,22,2024-04-30,2024-04-30,2024-05-31,-0.0012585408572722834,2
