year,SPY Candidate,benchmark
2014,0.16459643835948512,0.15555137917497985
2015,0.07752113951992867,0.0480627321386391
2016,0.15175369990444,0.08090608081531903
2017,0.0796305386259335,0.07030920509861094
2018,-0.017116595049562977,-0.025761487583026432
2019,0.36897681119056003,0.2530339609624155
2020,0.11099016338241618,0.18269232373415178
2021,0.40518647119887574,0.13439125001573338
2022,-0.11898872537995164,-0.12801364039215646
2023,0.28233191773351596,0.135679390877405
2024,0.4216530433029333,0.20847078303852484
2025,0.15110242377762906,0.23105278268820917
2026,0.08322650052519065,0.0612101299204324
