date,SPY Candidate_annualized_return_pct,benchmark_annualized_return_pct
2017-06-30,14.184316399134666,11.291586215712911
2017-07-31,13.756257082577527,10.238752916310112
2017-08-31,13.23701636487451,10.820842709095002
2017-09-30,13.81162559665643,10.66937237980008
2017-10-31,13.066229586434241,10.45953379622273
2017-11-30,10.167516894771488,7.223476618114488
2017-12-31,10.243635187475352,6.633786977269374
2018-01-31,13.607079006126632,6.007392499631714
2018-02-28,10.357807609298408,5.254014262487439
2018-03-31,9.113054736950076,4.270186954230293
2018-04-30,10.27312853954767,4.899231505714141
2018-05-31,9.969819109213862,4.427714595801979
2018-06-30,11.954413279599363,5.913404260095634
2018-07-31,10.473599614298589,4.5341223804308495
2018-08-31,13.783693510583994,5.834569669757328
2018-09-30,14.793690710154927,5.195988878176028
2018-10-31,11.296531028018798,3.8764122115944932
2018-11-30,10.680143926790109,4.365770516823542
2018-12-31,6.916711648643981,4.068869790394802
2019-01-31,10.794590805435366,4.612182877363602
2019-02-28,11.134630674625967,3.6248861795709963
2019-03-31,13.161478721455943,6.502553361702423
2019-04-30,15.727906553535487,7.5713356380215036
2019-05-31,11.646942191941335,6.619419384376757
2019-06-30,14.166834784565086,6.925872495819285
2019-07-31,15.315104388204137,7.251149712286309
2019-08-31,15.596222346123945,9.570589570538445
2019-09-30,16.49230674640112,9.79242468686541
2019-10-31,15.340777531511062,8.916947912764472
2019-11-30,15.051657792962159,10.189213290571786
2019-12-31,13.255095759332836,9.323232693712825
2020-01-31,14.96844217315758,10.78833154957557
2020-02-29,12.308976227038325,11.474721895587713
2020-03-31,8.078315796045343,10.12853828521687
2020-04-30,11.841714279849413,11.996536919378208
2020-05-31,13.914681720889387,12.34649129098242
2020-06-30,12.210317215385569,11.371233725680385
2020-07-31,14.236513804775463,13.972455519281791
2020-08-31,16.472149573033423,13.503604789876844
2020-09-30,12.590082064286978,12.088983109497843
2020-10-31,10.561468119711726,10.253961364319707
2020-11-30,13.906838690010193,12.338985117043277
2020-12-31,14.341206201151401,13.022949799548433
2021-01-31,12.923043782437716,12.228704713380667
2021-02-28,15.366698426016768,13.024964713438125
2021-03-31,19.103035151031868,13.499751657086389
2021-04-30,19.939505777620447,13.765334341363156
2021-05-31,19.23600854262162,14.668891114970428
2021-06-30,18.858931250853516,14.593533513145228
2021-07-31,19.106243522875445,15.477270988925396
2021-08-31,19.470040885602668,16.305759640742945
2021-09-30,18.311972749418516,16.70109996701892
2021-10-31,22.442150639280545,18.160959220963946
2021-11-30,22.921392491775382,18.46850846829109
2021-12-31,28.809162088171192,18.904738631493643
2022-01-31,23.173841734977763,16.476615218902822
2022-02-28,20.960937952629255,15.7985485379462
2022-03-31,21.603491889368875,14.030504816940347
2022-04-30,17.20166883740506,11.91925992504168
2022-05-31,18.08321844376277,10.222625240090967
2022-06-30,14.634171372387804,9.504564851515674
2022-07-31,16.659502053926857,9.963703997076468
2022-08-31,16.40826578845831,8.016094603702584
2022-09-30,14.666865038871691,7.435353151782431
2022-10-31,17.740323596298957,7.513017103804098
2022-11-30,15.2952260264531,7.5782095676884875
2022-12-31,11.209497900609055,5.369466004773371
2023-01-31,11.195620425960673,5.125466821737246
2023-02-28,15.155858587930894,5.349170398945136
2023-03-31,21.006448797111442,7.818561410222635
2023-04-30,17.99249972674435,6.3393107568535445
2023-05-31,15.345849529997135,4.7514577061346985
2023-06-30,18.412409285562937,5.31160004289446
2023-07-31,16.36472069580308,2.5692988717719967
2023-08-31,14.600417684972268,2.265728200589412
2023-09-30,15.794967982247554,2.3364880771969965
2023-10-31,16.918271993323764,3.0183999946741924
2023-11-30,15.42366039214793,2.783633838630206
2023-12-31,16.655519690905862,3.9543741272117794
2024-01-31,17.61379388431483,3.811530646549932
2024-02-29,18.495152201749043,4.924209176099925
2024-03-31,18.21243950966245,6.5188728300583865
2024-04-30,16.327552253929767,6.286021772651851
2024-05-31,17.343001873905163,5.44238641560626
2024-06-30,17.72484959965148,5.84965720035735
2024-07-31,16.284887074161624,5.83922344979142
2024-08-31,14.502454515297813,4.437346953195553
2024-09-30,15.793850957524459,5.380309914340065
2024-10-31,15.181477487851947,5.8956465674312675
2024-11-30,17.382922392491906,5.94081879473074
2024-12-31,17.10942424708488,6.1696853768383075
2025-01-31,19.453831368097486,7.199418875388708
2025-02-28,19.848508411556676,8.03256560568939
2025-03-31,16.185321135370433,8.888391379294402
2025-04-30,16.31580145461953,8.960450368130001
2025-05-31,18.066424518999913,9.29395500032497
2025-06-30,21.40686145158437,10.066848648784266
2025-07-31,19.811417101278916,9.94830149589967
2025-08-31,20.658109020968517,10.862184621179471
2025-09-30,24.001981608427126,13.94701346208944
2025-10-31,22.610930283419496,16.23397187394262
2025-11-30,24.417673902261683,17.10603117604521
2025-12-31,28.02732748189851,19.10304311664419
2026-01-31,27.128580829759773,19.607767366450467
2026-02-28,25.074230150238996,21.230156335669005
2026-03-31,24.1625464903543,18.89687049756219
2026-04-30,25.4857677906871,18.70686067164482
2026-05-31,28.631624635174767,21.630727734889945
2026-06-30,26.965970589420873,21.63632657217487
2026-07-31,23.483851551244193,17.340680705685642
2026-08-31,22.71477581603221,17.664911508650217
