kind,label,sharpe,expected_return_pct,volatility_pct,weight_133690_pct,weight_402970_pct,weight_069500_pct,weight_168580_pct,weight_200250_pct,weight_EWJ_pct,weight_TLT_pct,weight_385560_pct,weight_132030_pct
provided,Provided Portfolio,0.4888989545272215,8.71311889866056,9.968595954051096,10.0,10.0,8.0,8.5,8.5,5.0,15.0,15.0,20.0
optimized,Optimized Portfolio,1.2849520719269751,15.852134740386056,9.348715990434277,18.252140875366223,33.81144243765356,0.0,0.0,0.0,10.80708147378585,0.0,0.0,37.12933521319435
benchmark,Benchmark,0.8909055276575877,16.581399678443514,14.302208847356123,,,,,,,,,
