point,sharpe,expected_return_pct,volatility_pct,weight_133690_pct,weight_402970_pct,weight_069500_pct,weight_168580_pct,weight_200250_pct,weight_EWJ_pct,weight_TLT_pct,weight_385560_pct,weight_132030_pct
1,0.60571125656021,8.39022571850414,7.513056610053424,0.0,28.74521700264369,0.0,14.663706122266063,26.331705207475313,0.0,0.2832684959532013,8.435252940344563,21.54085023131716
2,0.6281986410706204,8.559802602431569,7.514056120475169,0.0,29.294949568163858,0.0,14.590170355910951,26.107651815582383,0.0,0.0,8.059875389233495,21.947352871109306
3,0.6504811823646386,8.729379486358994,7.517353092310035,0.0,29.819467654922704,0.0,14.427071144960152,25.79240308708972,0.0,0.0,7.541197882565292,22.419860230462138
4,0.6725329207152309,8.898956370286419,7.523012563139717,0.0,30.343985741681536,0.0,14.263971934009353,25.477154358597065,0.0,0.0,7.022520375897071,22.892367589814974
5,0.6943456007113746,9.068533254213845,7.530904624780313,0.19808105948902324,30.705016946297075,0.0,14.099337679881197,25.135119765856302,0.0,0.0,6.562065202903571,23.300379345572836
6,0.7159553395981697,9.23811013814127,7.540452708335918,0.545269817289565,30.942981600464016,0.0,13.933547905101173,24.772921818902766,0.0,0.0,6.145437532584773,23.659841325657705
7,0.7373561780193408,9.407687022068698,7.551580131063816,0.8924585750901,31.180946254630975,0.0,13.767758130321148,24.41072387194923,0.0,0.0,5.728809862265971,24.01930330574257
8,0.7585363320364347,9.577263905996123,7.564279923113598,1.2396473328906363,31.418910908797926,0.0,13.601968355541125,24.0485259249957,0.0,0.0,5.312182191947175,24.378765285827438
9,0.7794892691821348,9.746840789923548,7.5784982101178215,1.5027564023757598,31.557365605855836,0.0,13.41437339158141,23.638865997326352,0.31451080907400275,0.0,4.898607250264492,24.673520543522145
10,0.8002247861759128,9.916417673850974,7.594034851470344,1.7087790637631421,31.62825742137682,0.0,13.211973663794657,23.196981473508334,0.8425606161828083,0.0,4.487104976977991,24.924342784396256
11,0.8207365852659723,10.085994557778399,7.6108606723476715,1.9148017251505327,31.699149236897828,0.0,13.009573936007909,22.755096949690316,1.370610423291558,0.0,4.075602703691504,25.175165025270356
12,0.8410166884930018,10.255571441705827,7.628967142830397,2.1208243865379126,31.770041052418808,0.0,12.807174208221154,22.31321242587229,1.8986602304003792,0.0,3.664100430405004,25.42598726614446
13,0.8610575781681349,10.425148325633252,7.648345167605747,2.3268470479252947,31.84093286793979,0.0,12.604774480434406,21.871327902054283,2.42671003750916,0.0,3.2525981571185123,25.67680950701857
14,0.8808522061273834,10.594725209560677,7.6689851077731035,2.532869709312681,31.911824683460775,0.0,12.402374752647646,21.429443378236257,2.95475984461795,0.0,2.8410958838320113,25.927631747892672
15,0.9003940008059756,10.764302093488103,7.690876803564612,2.7388923707000634,31.982716498981755,0.0,12.199975024860898,20.987558854418236,3.4828096517267633,0.0,2.4295936105455183,26.17845398876677
16,0.9196768721625639,10.933878977415528,7.714009597863216,2.9449150320874438,32.053608314502746,0.0,11.997575297074146,20.545674330600214,4.01085945883555,0.0,2.0180913372590243,26.429276229640873
17,0.938695214499479,11.103455861342956,7.738372360399732,3.150937693474821,32.124500130023726,0.0,11.79517556928739,20.103789806782185,4.538909265944375,0.0,1.6065890639725249,26.680098470514974
