kind,label,sharpe,expected_return_pct,volatility_pct,weight_133690_pct,weight_402970_pct,weight_069500_pct,weight_168580_pct,weight_200250_pct,weight_101280_pct,weight_TLT_pct,weight_385560_pct,weight_GLD_pct
provided,Provided Portfolio,0.609975382376515,10.005876261093787,10.109249783898349,10.0,10.0,8.0,8.5,8.5,5.0,15.0,15.0,20.0
optimized,Optimized Portfolio,1.4851832984117417,19.872219880180246,10.79512349667883,16.551596401958673,15.650340796112241,0.187897480808665,0.0,0.0,14.660504459528179,0.0,0.0,52.94966086159225
benchmark,Benchmark,0.8909057145806087,16.581400986421528,14.302207314720237,,,,,,,,,
