point,sharpe,expected_return_pct,volatility_pct,weight_133690_pct,weight_402970_pct,weight_069500_pct,weight_168580_pct,weight_200250_pct,weight_101280_pct,weight_TLT_pct,weight_385560_pct,weight_GLD_pct
1,0.5334905535892274,8.178257687735387,8.132805538775168,0.0,25.335560903713194,0.0,15.413723081356181,24.13753850185859,3.6003522893905746,0.0,14.900080262281817,16.61274496139965
2,0.5567475189010203,8.36782354063934,8.133562572415718,0.0,25.35570989663054,0.0,15.20119433326055,23.66884091412457,4.198201059881953,0.0,14.54540728427177,17.030646511830625
3,0.5798922482246379,8.557389393543295,8.13583325068865,0.0,25.375858889547903,0.0,14.988665585164911,23.20014332639053,4.79604983037333,0.0,14.190734306261712,17.448548062261608
4,0.6029120173282163,8.746955246447246,8.139616306826742,0.0,25.39600788246525,0.0,14.776136837069284,22.73144573865651,5.393898600864702,0.0,13.836061328251667,17.866449612692588
5,0.6257943390535645,8.936521099351197,8.144909633473416,0.0,25.41615687538261,0.0,14.563608088973648,22.26274815092248,5.9917473713560785,0.0,13.48138835024162,18.28435116312356
6,0.6485269969747449,9.126086952255148,8.151710288539201,0.0,25.436305868299947,0.0,14.351079340878018,21.794050563188456,6.589596141847465,0.0,13.12671537223157,18.702252713554536
7,0.6710980776188384,9.315652805159104,8.160014503347599,0.0,25.45645486121731,0.0,14.138550592782387,21.32535297545443,7.187444912338842,0.0,12.77204239422152,19.12015426398552
8,0.6934960010532861,9.505218658063056,8.169817693017999,0.0,25.476603854134666,0.0,13.926021844686753,20.856655387720398,7.785293682830215,0.0,12.417369416211473,19.538055814416495
9,0.7157095496609334,9.694784510967008,8.181114469019256,0.0,25.496752847052022,0.0,13.71349309659112,20.387957799986374,8.38314245332159,0.0,12.06269643820142,19.955957364847478
10,0.7377278949424466,9.884350363870961,8.193898653814436,0.0,25.516901839969375,0.0,13.500964348495486,19.919260212252333,8.980991223812982,0.0,11.708023460191368,20.373858915278458
11,0.7595406222058612,10.073916216774913,8.20816329750495,0.0,25.53705083288672,0.0,13.28843560039985,19.450562624518312,9.578839994304353,0.0,11.353350482181321,20.791760465709437
12,0.7811377530242903,10.263482069678865,8.223900696371045,0.0,25.557199825804073,0.0,13.075906852304223,18.98186503678429,10.176688764795731,0.0,10.998677504171278,21.20966201614041
13,0.8025097653649614,10.453047922582817,8.241102413195486,0.0,25.57734881872143,0.0,12.86337810420859,18.51316744905026,10.774537535287102,0.0,10.644004526161227,21.627563566571393
14,0.8236476113153972,10.642613775486767,8.259759299248392,0.0,25.59749781163878,0.0,12.650849356112955,18.044469861316237,11.372386305778482,0.0,10.28933154815118,22.04546511700237
15,0.8445427323553897,10.83217962839072,8.279861517803521,0.0,25.61764680455613,0.0,12.438320608017326,17.575772273582206,11.97023507626986,0.0,9.934658570141135,22.463366667433345
16,0.8651875492965183,11.021745481294673,8.30139399083339,0.049027508870101016,25.631122490206167,0.0,12.226373740085448,17.109312267266237,12.517109121873842,0.0,9.587769454487432,22.87928541721078
17,0.8855878070374256,11.211311334198628,8.324220949065529,0.26990209329692766,25.621207463894493,0.0,12.016466429266911,16.65069524200059,12.885310875103833,0.0,9.268163674522246,23.288254221915004
18,0.9057432421863786,11.400877187102576,8.34827584275362,0.4907766777237463,25.611292437582843,0.0,11.806559118448384,16.19207821673496,13.253512628333777,0.0,8.948557894557073,23.69722302661922
19,0.9256482674588951,11.590443040006527,8.373548089344888,0.7116512621505621,25.60137741127116,0.0,11.59665180762985,15.733461191469313,13.621714381563777,0.0,8.628952114591891,24.106191831323446
20,0.9452977254305475,11.780008892910482,8.40002670129475,0.9325258465773935,25.591462384959502,0.0,11.386744496811312,15.274844166203666,13.989916134793745,0.0,8.309346334626708,24.515160636027673
21,0.9646868884905703,11.969574745814436,8.427700307935943,1.1534004310042119,25.581547358647832,0.0,11.17683718599278,14.816227140938024,14.358117888023733,0.0,7.9897405546615206,24.9241294407319
22,0.9838114572342804,12.159140598718384,8.456557177618322,1.37427501543103,25.571632332336165,0.0,10.96692987517425,14.35761011567239,14.726319641253708,0.0,7.670134774696348,25.333098245436116
23,1.0026675573662658,12.348706451622341,8.486585240030166,1.595149599857856,25.561717306024505,0.0,10.757022564355715,13.898993090406753,15.094521394483671,0.0,7.3505289947311665,25.742067050140342
24,1.0212517351935135,12.538272304526291,8.517772108614627,1.8160241842846752,25.55180227971283,0.0,10.547115253537182,13.440376065141105,15.462723147713664,0.0,7.03092321476598,26.15103585484456
25,1.0395609517937787,12.727838157430243,8.550105102998105,2.036898768711497,25.541887253401168,0.0,10.33720794271865,12.98175903987546,15.830924900943636,0.0,6.711317434800803,26.560004659548785
26,1.0575925759494265,12.917404010334193,8.583571271350912,2.2577733531383206,25.531972227089494,0.0,10.127300631900116,12.52314201460982,16.19912665417361,0.0,6.391711654835622,26.96897346425301
27,1.0753443759408596,13.106969863238147,8.618157412604665,2.4786479375651376,25.522057200777827,0.0,9.917393321081587,12.06452498934419,16.5673284074036,0.0,6.072105874870443,27.377942268957227
28,1.0928145102963784,13.296535716142099,8.653850098455038,2.6995225219919616,25.512142174466167,0.0,9.707486010263048,11.605907964078538,16.93553016063357,0.0,5.7525000949052565,27.786911073661457
29,1.1100015175970475,13.486101569046054,8.690635695083149,2.920397106418791,25.502227148154503,0.0,9.497578699444517,11.147290938812892,17.303731913863537,0.0,5.432894314940079,28.19587987836568
30,1.1269043054358507,13.67566742195,8.728500384533527,3.141271690845599,25.492312121842843,0.0,9.287671388625986,10.688673913547259,17.671933667093512,0.0,5.113288534974901,28.604848683069896
31,1.1435221386302283,13.865233274853955,8.76743018569159,3.3621462752724254,25.482397095531162,0.0,9.077764077807451,10.230056888281624,18.040135420323494,0.0,4.793682755009717,29.013817487774123
32,1.1598546267859866,14.054799127757905,8.807410974808414,3.583020859699236,25.47248206921951,0.0,8.867856766988922,9.77143986301597,18.408337173553484,0.0,4.4740769750445395,29.422786292478335
33,1.1759017113087835,14.244364980661858,8.848428505525765,3.8038954441260695,25.462567042907843,0.0,8.657949456170385,9.312822837750339,18.77653892678344,0.0,4.154471195079358,29.831755097182572
34,1.1916636519567967,14.43393083356581,8.890468428359195,4.0247700285528945,25.452652016596183,0.0,8.44804214535185,8.85420581248469,19.144740680013406,0.0,3.834865415114174,30.24072390188679
35,1.2071410130250622,14.62349668646976,8.933516309602165,4.245644612979713,25.442736990284516,0.0,8.238134834533321,8.39558878721905,19.5129424332434,0.0,3.5152596351489938,30.649692706591008
36,1.222334649248277,14.81306253937371,8.977557649618834,4.466519197406531,25.432821963972845,0.0,8.028227523714794,7.936971761953421,19.881144186473364,0.0,3.195653855183822,31.058661511295227
37,1.2372456915047179,15.002628392277668,9.022577900498115,4.687393781833351,25.422906937661182,0.0,7.818320212896257,7.478354736687767,20.249345939703357,0.0,2.876048075218636,31.467630315999457
38,1.251875532399452,15.19219424518162,9.06856248304602,4.908268366260176,25.412991911349515,0.0,7.608412902077724,7.019737711422132,20.617547692933325,0.0,2.5564422952534542,31.876599120703673
39,1.266225811800212,15.381760098085575,9.115496803097907,5.129142950687002,25.403076885037844,0.0,7.398505591259181,6.561120686156477,20.985749446163307,0.0,2.236836515288263,32.28556792540791
40,1.28029840239434,15.571325950989523,9.163366267136333,5.350017535113819,25.393161858726177,0.0,7.188598280440658,6.102503660890854,21.35395119939328,0.0,1.917230735323095,32.69453673011212
41,1.2940953953300431,15.760891803893479,9.212156297204334,5.5708921195406385,25.383246832414514,0.0,6.9786909696221215,5.6438866356252095,21.722152952623254,0.0,1.5976249553579098,33.10350553481636
42,1.30761908600001,15.950457656797429,9.261852345107668,5.791766703967462,25.373331806102843,0.0,6.76878365880359,5.185269610359566,22.090354705853237,0.0,1.2780191753927295,33.51247433952057
43,1.3208719600202123,16.140023509701386,9.312439905903119,6.0126412883942875,25.363416779791176,0.0,6.55887634798505,4.726652585093919,22.4585564590832,0.0,0.9584133954275438,33.9214431442248
44,1.3338566794514968,16.32958936260533,9.363904530673244,6.233515872821098,25.353501753479506,0.0,6.348969037166525,4.268035559828285,22.82675821231319,0.0,0.6388076154623723,34.33041194892901
45,1.3465760693065039,16.519155215509286,9.41623183859098,6.45439045724793,25.343586727167843,0.0,6.13906172634799,3.80941853456264,23.194959965543163,0.0,0.3192018354971857,34.73938075363325
46,1.3590331043794126,16.70872106841324,9.469407528280296,6.675265041674744,25.33367170085617,0.0,5.92915441552946,3.350801509297007,23.563161718773163,0.0,-0.00040394446799310753,35.14834955833746
47,1.371183720151682,16.89828692131719,9.523745046544105,6.994053776150675,25.316779370004433,0.0,5.56134631818334,2.6003505110560954,23.80905359474258,0.0,0.0,35.71841642986287
48,1.3829847723332915,17.087852774221147,9.579548727242006,7.312718914759891,25.29989584652121,0.0,5.193737537121509,1.8502678913673218,24.055099861014963,0.0,0.0,36.28827994921512
49,1.3944406327039975,17.277418627125094,9.63679310064749,7.631384053369095,25.28301232303795,0.0,4.826128756059681,1.1001852716785667,24.301146127287346,0.0,0.0,36.85814346856736
50,1.4055560081546676,17.466984480029048,9.695452648165682,7.950049191978303,25.26612879955472,0.0,4.458519974997851,0.35010265198979634,24.547192393559726,0.0,0.0,37.4280069879196
51,1.4162949469409492,17.656550332932998,9.755783994114891,8.351596181733417,25.033407567563643,0.0,3.8951074769233602,0.0,24.51305591793012,0.0,0.0,38.20683285584946
52,1.426448830102224,17.84611618583695,9.819233001307522,8.825689694393006,24.611763488804243,0.0,3.160307894165732,0.0,24.233675357838028,0.0,0.0,39.16856356479899
53,1.43599704864632,18.0356820387409,9.885952964529162,9.299783207052572,24.19011941004485,0.0,2.4255083114081173,0.0,23.954294797745966,0.0,0.0,40.13029427374849
54,1.4449519124406915,18.225247891644855,9.955878122424805,9.773876719712153,23.76847533128545,0.0,1.6907087286504912,0.0,23.674914237653894,0.0,0.0,41.092024982698014
55,1.4533269622291338,18.41481374454881,10.028941432127748,10.247970232371731,23.34683125252606,0.0,0.95590914589288,0.0,23.395533677561815,0.0,0.0,42.05375569164752
56,1.461136814523076,18.604379597452763,10.105074823983152,10.722063745031328,22.92518717376664,0.0,0.22110956313522992,0.0,23.116153117469732,0.0,0.0,43.01548640059706
57,1.4682016083274716,18.793945450356713,10.185564848121686,11.507916093777775,21.988384835434836,0.0,0.0,0.0,22.123835395059782,0.0,0.0,44.37986367572761
58,1.4739838980570272,18.983511303260666,10.274215725560163,12.42795999271516,20.829840953821073,0.0,0.0,0.0,20.82464539855177,0.0,0.0,45.917553654912005
59,1.4784975991108988,19.17307715616462,10.37106479358834,13.348003891652526,19.671297072207324,0.0,0.0,0.0,19.52545540204377,0.0,0.0,47.45524363409637
60,1.4817994590536268,19.36264300906857,10.475884678998316,14.268047790589877,18.51275319059363,0.0,0.0,0.0,18.226265405535795,0.0,0.0,48.9929336132807
61,1.4839511850664702,19.552208861972524,10.588438663936255,15.188091689527258,17.354209308979893,0.0,0.0,0.0,16.927075409027772,0.0,0.0,50.53062359246508
62,1.4850181988751565,19.741774714876474,10.70848287805574,16.108135588464634,16.195665427366148,0.0,0.0,0.0,15.627885412519769,0.0,0.0,52.06831357164945
63,1.4851538525874088,19.931340567780424,10.835145315836996,16.680419956518563,15.499038929572235,0.34455470072222133,0.0,0.0,14.194145421246803,0.0,0.0,53.28184099194018
64,1.4846745926190683,20.120906420684378,10.966324703746789,17.093482591368407,15.013901348450315,0.8468638028644745,0.0,0.0,12.698801702493837,0.0,0.0,54.34695055482296
65,1.4836412341825285,20.31047227358833,11.101733448412139,17.506545226218222,14.528763767328421,1.3491729050067054,0.0,0.0,11.203457983740929,0.0,0.0,55.41206011770572
66,1.4820951172769767,20.50003812649228,11.2412187137366,17.919607861068094,14.043626186206481,1.8514820071489178,0.0,0.0,9.708114264988032,0.0,0.0,56.47716968058848
67,1.4800762290090101,20.68960397939623,11.384630663285227,18.332670495917913,13.558488605084602,2.353791109291158,0.0,0.0,8.21277054623509,0.0,0.0,57.54227924347124
68,1.4776230410989188,20.87916983230018,11.53182279900492,18.745733130767746,13.073351023962687,2.8561002114333935,0.0,0.0,6.717426827482174,0.0,0.0,58.607388806354
69,1.474772386699298,21.068735685204143,11.682652239742843,19.158795765617583,12.588213442840763,3.3584093135756485,0.0,0.0,5.222083108729201,0.0,0.0,59.672498369236806
