portfolio,rank,start,bottom,recovery,duration_months,decline_months,recovery_months,underwater_months,maximum_drawdown_pct,annualized_recovery_rate_pct
optimized,1,2026-06-30,2026-07-31,,3,2,,3,-11.221150766948373,
optimized,2,2020-09-30,2020-10-31,2021-05-31,9,2,7.0,9,-10.715022830138954,21.445072808266552
optimized,3,2020-02-29,2020-03-31,2020-04-30,3,2,1.0,3,-7.808904730939692,165.29697906517237
optimized,4,2022-11-30,2022-12-31,2023-03-31,5,2,3.0,5,-6.214069366498598,29.25555922521155
optimized,5,2022-04-30,2022-06-30,2022-10-31,7,3,4.0,7,-6.026658371147486,20.499706457153444
optimized,6,2018-09-30,2018-12-31,2019-02-28,6,4,2.0,6,-5.389724470592572,39.43447198863716
optimized,7,2018-02-28,2018-03-31,2018-06-30,5,2,3.0,5,-4.469692014465343,20.07021503647639
optimized,8,2019-09-30,2019-10-31,2020-01-31,5,2,3.0,5,-2.8454524882578047,12.239950448118408
optimized,9,2023-05-31,2023-05-31,2023-08-31,4,1,3.0,4,-2.8246404481924614,12.143827643709804
optimized,10,2026-03-31,2026-03-31,2026-04-30,2,1,1.0,2,-2.7254820634381005,39.31919391995906
optimized,11,2022-01-31,2022-01-31,2022-03-31,3,1,2.0,3,-2.699655591917005,17.84569849597211
optimized,12,2017-11-30,2017-11-30,2018-01-31,3,1,2.0,3,-2.381034747718236,15.556612108874091
optimized,13,2021-09-30,2021-09-30,2021-10-31,2,1,1.0,2,-1.4337246161465922,18.921355488413315
optimized,14,2025-04-30,2025-04-30,2025-06-30,3,1,2.0,3,-0.948445293909117,5.884458635249001
optimized,15,2023-09-30,2023-09-30,2023-10-31,2,1,1.0,2,-0.8522233715782868,10.81645267574678
optimized,16,2024-08-31,2024-08-31,2024-09-30,2,1,1.0,2,-0.390057657715559,4.801557139472501
optimized,17,2020-06-30,2020-06-30,2020-07-31,2,1,1.0,2,-0.37772151666831677,4.645933317098305
optimized,18,2025-12-31,2025-12-31,2026-01-31,2,1,1.0,2,-0.2878271598685589,3.5194220173657476
optimized,19,2018-07-31,2018-07-31,2018-08-31,2,1,1.0,2,-0.11285836868354382,1.3642878395397018
provided,1,2020-02-29,2020-03-31,2020-05-31,4,2,2.0,4,-15.671043600499212,178.06072137396018
provided,2,2018-10-31,2018-12-31,2019-03-31,6,3,3.0,6,-11.400418423134385,62.28310795751673
provided,3,2020-09-30,2020-10-31,2021-01-31,5,2,3.0,5,-11.358565713343028,61.97683227238411
provided,4,2026-07-31,2026-07-31,,2,1,,2,-9.594547242972496,
provided,5,2022-04-30,2022-06-30,2022-10-31,7,3,4.0,7,-6.978670211352633,24.237404261626573
provided,6,2018-02-28,2018-03-31,2018-06-30,5,2,3.0,5,-6.150619145836778,28.906362234779117
provided,7,2022-12-31,2022-12-31,2023-03-31,4,1,3.0,4,-5.777779727743937,26.878099480333837
provided,8,2025-04-30,2025-04-30,2025-06-30,3,1,2.0,3,-5.154828548217749,37.37529699139448
provided,9,2019-05-31,2019-05-31,2019-06-30,2,1,1.0,2,-3.964861331485381,62.49424574272449
provided,10,2023-05-31,2023-05-31,2023-06-30,2,1,1.0,2,-3.4307819794862193,52.032145338739056
provided,11,2023-09-30,2023-10-31,2023-12-31,4,2,2.0,4,-2.6911504108790174,17.78391089796645
provided,12,2017-11-30,2017-11-30,2018-01-31,3,1,2.0,3,-1.9289591532505423,12.397148284521675
provided,13,2024-07-31,2024-08-31,2024-10-31,4,2,2.0,4,-1.3888613995243437,8.75372967518151
provided,14,2021-09-30,2021-09-30,2021-10-31,2,1,1.0,2,-1.0328725241738224,13.26830969286843
provided,15,2019-10-31,2019-10-31,2019-11-30,2,1,1.0,2,-0.9527829579616398,12.174119535258466
provided,16,2022-01-31,2022-01-31,2022-02-28,2,1,1.0,2,-0.8609710147231775,10.933845799855746
provided,17,2026-03-31,2026-03-31,2026-04-30,2,1,1.0,2,-0.5634471531013263,7.015645835122841
provided,18,2021-11-30,2021-11-30,2021-12-31,2,1,1.0,2,-0.2648257387596553,3.2332951753030192
provided,19,2021-07-31,2021-07-31,2021-08-31,2,1,1.0,2,-0.07474781164643618,0.9013470279042091
benchmark,1,2020-02-29,2020-03-31,2020-07-31,6,2,4.0,6,-17.409914440200758,77.50731380664763
benchmark,2,2022-01-31,2022-06-30,2023-04-30,16,6,10.0,16,-13.403065561027583,18.849395808913137
benchmark,3,2018-10-31,2018-12-31,2019-03-31,6,3,3.0,6,-13.221945272207769,76.34386618161051
benchmark,4,2020-09-30,2020-10-31,2021-01-31,5,2,3.0,5,-10.692271557071342,57.19684574134345
benchmark,5,2025-02-28,2025-04-30,2025-07-31,6,3,3.0,6,-8.727148613561175,44.089895756653696
benchmark,6,2026-07-31,2026-07-31,,2,1,,2,-8.234183406494822,
benchmark,7,2018-02-28,2018-03-31,2018-06-30,5,2,3.0,5,-7.198465907528851,34.82777815432259
benchmark,8,2023-09-30,2023-10-31,2023-12-31,4,2,2.0,4,-5.163038799298059,37.44666978551332
benchmark,9,2019-05-31,2019-05-31,2019-07-31,3,1,2.0,3,-4.355383137102809,30.628159930925204
benchmark,10,2021-09-30,2021-09-30,2021-10-31,2,1,1.0,2,-2.577482489874716,36.800543682602814
benchmark,11,2025-12-31,2026-03-31,2026-04-30,5,4,1.0,5,-1.5483721436609477,20.59385630134065
benchmark,12,2024-04-30,2024-04-30,2024-05-31,2,1,1.0,2,-1.4966156802127206,19.835688726225232
benchmark,13,2017-11-30,2017-11-30,2018-01-31,3,1,2.0,3,-0.8686397662267753,5.374034304787734
benchmark,14,2023-05-31,2023-05-31,2023-06-30,2,1,1.0,2,-0.8622288120753163,10.950736480316149
benchmark,15,2019-10-31,2019-10-31,2019-11-30,2,1,1.0,2,-0.7159515089154134,9.00496099097239
benchmark,16,2024-07-31,2024-08-31,2024-09-30,3,2,1.0,3,-0.46211163033326175,5.715561575453876
benchmark,17,2023-07-31,2023-07-31,2023-08-31,2,1,1.0,2,-0.2500989304618506,3.050550565045884
