date,optimized_drawdown_pct,provided_drawdown_pct,benchmark_drawdown_pct
2017-09-30,0.0,0.0,0.0
2017-10-31,0.0,0.0,0.0
2017-11-30,-2.381034747718236,-1.9289591532505423,-0.8686397662267753
2017-12-31,-1.5867963264103446,-0.6043426503276272,-0.703443547083693
2018-01-31,0.0,0.0,0.0
2018-02-28,-1.4617408732654158,-3.4758796544991366,-3.0205959764210144
2018-03-31,-4.469692014465343,-6.150619145836778,-7.198465907528851
2018-04-30,-3.4582270526269054,-4.234374433812793,-6.064484424743577
2018-05-31,-0.9322952255127026,-1.2282391061964493,-2.8363077642249768
2018-06-30,0.0,0.0,0.0
2018-07-31,-0.11285836868354382,0.0,0.0
2018-08-31,0.0,0.0,0.0
2018-09-30,-0.10164970234609605,0.0,0.0
2018-10-31,-1.7003015467817018,-5.394484603484251,-4.785529799701605
2018-11-30,-2.8512544087160085,-5.996678790729626,-4.782191170398276
2018-12-31,-5.389724470592572,-11.400418423134385,-13.221945272207769
2019-01-31,-0.046544989074004395,-4.646143576544937,-6.886926814226257
2019-02-28,0.0,-2.2963417147264353,-3.339831757363987
2019-03-31,0.0,0.0,0.0
2019-04-30,0.0,0.0,0.0
2019-05-31,0.0,-3.964861331485381,-4.355383137102809
2019-06-30,0.0,0.0,-0.529383516510229
2019-07-31,0.0,0.0,0.0
2019-08-31,0.0,0.0,0.0
2019-09-30,-1.7714008547767057,0.0,0.0
2019-10-31,-2.8454524882578047,-0.9527829579616398,-0.7159515089154134
2019-11-30,-1.8667433861610405,0.0,0.0
2019-12-31,-0.26288843426532926,0.0,0.0
2020-01-31,0.0,0.0,0.0
2020-02-29,-2.7051251699222623,-4.6230532235158055,-6.04017126767602
2020-03-31,-7.808904730939692,-15.671043600499212,-17.409914440200758
2020-04-30,0.0,-3.495143038449,-7.2053949102306
2020-05-31,0.0,0.0,-0.7788773459889486
2020-06-30,-0.37772151666831677,0.0,-2.2485532000337205
2020-07-31,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0
2020-09-30,-5.839696194151934,-7.370667203538517,-5.630491828064754
2020-10-31,-10.715022830138954,-11.358565713343028,-10.692271557071342
2020-11-30,-9.940313944701163,-4.815666614743064,-3.1860323030694415
2020-12-31,-6.463969898548894,-0.5195534230269305,-1.227522001933068
2021-01-31,-5.774282962904731,0.0,0.0
2021-02-28,-7.19749255751172,0.0,0.0
2021-03-31,-5.808000419353143,0.0,0.0
2021-04-30,-3.618641034300185,0.0,0.0
2021-05-31,0.0,0.0,0.0
2021-06-30,0.0,0.0,0.0
2021-07-31,0.0,-0.07474781164643618,0.0
2021-08-31,0.0,0.0,0.0
2021-09-30,-1.4337246161465922,-1.0328725241738224,-2.577482489874716
2021-10-31,0.0,0.0,0.0
2021-11-30,0.0,-0.2648257387596553,0.0
2021-12-31,0.0,0.0,0.0
2022-01-31,-2.699655591917005,-0.8609710147231775,-3.8555048661155444
2022-02-28,-0.0779856779630772,0.0,-7.475269066308421
