roll_period_years,optimized_average_pct,optimized_high_pct,optimized_low_pct,provided_average_pct,provided_high_pct,provided_low_pct,benchmark_average_pct,benchmark_high_pct,benchmark_low_pct
1,18.91584053901608,47.713269446170095,-12.567239450088675,19.304460904037608,68.97321329998218,-15.906453538572485,12.080970124395538,56.23115658679052,-43.42442243833453
3,16.772483965434247,36.827683216558206,6.034938499655018,16.019421311460338,35.18325237094433,3.324181820289396,10.96739756533058,32.35743914780089,-16.282323321314017
5,16.020779683887238,21.702841676727513,9.962549821194,15.87049551824587,21.59528340146155,9.059876843686588,10.137872316143655,28.451845810104604,-6.670005789724631
7,16.081337467705403,22.72866259640114,11.417932010622955,15.628126989837426,23.540455567776732,11.371162162347325,9.30865564963685,20.971881955411355,-3.9075060827045593
