portfolio,rank,start,bottom,recovery,duration_months,maximum_drawdown_pct
optimized,1,2022-01-31,2022-09-30,2023-07-31,19,-18.405415801929948
optimized,2,2020-02-29,2020-03-31,2020-05-31,4,-12.2108051780216
optimized,3,2018-10-31,2018-12-31,2019-03-31,6,-9.301726290268153
optimized,4,2026-03-31,2026-03-31,2026-04-30,2,-6.88819833583787
optimized,5,2020-09-30,2020-10-31,2020-12-31,4,-6.827336719806176
optimized,6,2026-06-30,2026-07-31,,2,-6.23994954248861
optimized,7,2016-10-31,2016-11-30,2017-02-28,5,-4.8255051140716265
optimized,8,2021-09-30,2021-09-30,2021-10-31,2,-4.092700545276918
optimized,9,2018-02-28,2018-03-31,2018-07-31,6,-3.942275741520551
optimized,10,2015-12-31,2016-01-31,2016-03-31,4,-3.3861056493545427
optimized,11,2023-09-30,2023-09-30,2023-11-30,3,-3.132456494086211
optimized,12,2019-05-31,2019-05-31,2019-06-30,2,-2.6841702654570865
optimized,13,2021-01-31,2021-02-28,2021-04-30,4,-2.6186105671535453
optimized,14,2024-04-30,2024-04-30,2024-05-31,2,-2.31285242609367
optimized,15,2024-12-31,2024-12-31,2025-01-31,2,-1.5664760228965235
optimized,16,2025-03-31,2025-03-31,2025-04-30,2,-1.406175370854268
optimized,17,2021-11-30,2021-11-30,2021-12-31,2,-1.1818327446573629
optimized,18,2016-05-31,2016-05-31,2016-06-30,2,-1.1417916862290323
optimized,19,2016-08-31,2016-08-31,2016-09-30,2,-1.0047758984965682
optimized,20,2019-09-30,2019-09-30,2019-10-31,2,-0.7417654301730581
optimized,21,2017-06-30,2017-06-30,2017-07-31,2,-0.5644232625329537
optimized,22,2017-03-31,2017-03-31,2017-04-30,2,-0.5360917336883375
optimized,23,2017-09-30,2017-09-30,2017-10-31,2,-0.31753168315450386
provided,1,2022-04-30,2022-09-30,2023-06-30,15,-22.478064118298736
provided,2,2020-01-31,2020-03-31,2020-06-30,6,-20.415337756112685
provided,3,2018-02-28,2018-12-31,2019-04-30,15,-11.929597464338626
provided,4,2020-09-30,2020-10-31,2020-12-31,4,-9.099174670475374
provided,5,2023-08-31,2023-10-31,2023-12-31,5,-7.743365005918146
provided,6,2015-12-31,2016-01-31,2016-03-31,4,-7.026950779141117
provided,7,2026-06-30,2026-07-31,,2,-6.861856054995985
provided,8,2019-05-31,2019-05-31,2019-06-30,2,-6.587373807921793
provided,9,2026-03-31,2026-03-31,2026-04-30,2,-6.554134377520315
provided,10,2021-07-31,2021-09-30,2021-10-31,4,-4.673043367265317
provided,11,2016-10-31,2016-11-30,2017-01-31,4,-3.975618884535692
provided,12,2024-12-31,2024-12-31,2025-01-31,2,-2.8668346199526518
provided,13,2025-03-31,2025-04-30,2025-05-31,3,-2.439093039021256
provided,14,2022-01-31,2022-01-31,2022-03-31,3,-2.046618225399044
provided,15,2016-08-31,2016-08-31,2016-09-30,2,-1.4850917963345478
provided,16,2021-11-30,2021-11-30,2021-12-31,2,-1.3381059147216323
provided,17,2024-04-30,2024-04-30,2024-05-31,2,-1.2186784141921647
provided,18,2017-06-30,2017-06-30,2017-07-31,2,-1.1317402191493797
provided,19,2024-01-31,2024-01-31,2024-02-29,2,-1.1243251539652888
provided,20,2016-05-31,2016-05-31,2016-06-30,2,-0.7285610049098445
provided,21,2019-08-31,2019-09-30,2019-10-31,3,-0.5251016011458165
benchmark,1,2022-01-31,2022-09-30,2023-12-31,24,-23.927170365660054
benchmark,2,2020-01-31,2020-03-31,2020-07-31,7,-19.447693916322926
benchmark,3,2018-10-31,2018-12-31,2019-04-30,7,-13.532089680484116
benchmark,4,2025-02-28,2025-04-30,2025-06-30,5,-7.578974101565716
benchmark,5,2015-12-31,2016-02-29,2016-05-31,6,-6.698000802125492
benchmark,6,2019-05-31,2019-05-31,2019-06-30,2,-6.377107518229153
benchmark,7,2018-02-28,2018-03-31,2018-07-31,6,-6.277413577040414
benchmark,8,2020-09-30,2020-10-31,2020-11-30,3,-6.1443650430667685
benchmark,9,2026-02-28,2026-03-31,2026-04-30,3,-5.759478882587632
benchmark,10,2021-09-30,2021-09-30,2021-10-31,2,-4.660548378328677
benchmark,11,2024-04-30,2024-04-30,2024-05-31,2,-4.031939634268589
benchmark,12,2024-12-31,2024-12-31,2025-01-31,2,-2.4060167942029365
benchmark,13,2016-10-31,2016-10-31,2016-11-30,2,-1.733702521436753
benchmark,14,2019-08-31,2019-08-31,2019-09-30,2,-1.674311402715789
benchmark,15,2026-06-30,2026-06-30,,2,-1.0292566443839024
benchmark,16,2021-01-31,2021-01-31,2021-02-28,2,-1.0190451786218913
benchmark,17,2024-10-31,2024-10-31,2024-11-30,2,-0.8923755891704688
benchmark,18,2021-11-30,2021-11-30,2021-12-31,2,-0.8034915842206614
