year,optimized_return_pct,provided_return_pct,benchmark_return_pct
2015,-3.349019160702116,-4.668117874768162,-1.3690616291825553
2016,9.914613246878634,17.955654038939926,11.997883869011194
2017,22.915424387448734,23.89439489899532,21.705394895076168
2018,-1.2546551399044814,-6.186942202640755,-4.568984399693865
2019,26.387452537894674,29.253064510151926,31.223848040947022
2020,29.34690947693177,28.83602706658548,18.3316364190129
2021,15.847103600017709,16.610113579977014,28.728758171371037
2022,-10.175076046677834,-10.977956814955835,-18.175374952608514
2023,23.21667074049931,24.201121912573687,26.175807237040004
2024,33.75078782412962,22.555346825223598,24.886468043811007
2025,37.44612570623591,44.46034583211256,17.719055511914796
2026,11.727382878508363,15.505870500812758,10.130213504869822
