portfolio,market_type,portfolio_return_pct,benchmark_return_pct,active_return_pct,occurrences
provided,up,41.939428540158,40.5596956848542,1.3797328553038002,91
provided,down,-40.45032177708567,-47.08174039928898,6.6314186222033165,38
optimized,up,34.923059473384335,40.5596956848542,-5.636636211469859,91
optimized,down,-26.369703840393736,-47.08174039928898,20.712036558895246,38
