kind,label,expected_return,volatility,sharpe,weight_SPY,weight_QQQ,weight_TLT,weight_GLD,weight_CPER,weight_MCHI,weight_EWY
provided,Provided Portfolio,0.12261768431863766,0.12719506968463454,0.8337667325857223,0.2,0.3,0.1,0.1,0.1,0.1,0.1
optimized,Optimized Portfolio,0.15825878072226446,0.13345367254423868,1.0617325949469705,0.29653184256124965,0.5,0.0,0.20346815743875032,0.0,0.0,0.0
benchmark,Benchmark,0.15102625266585337,0.13926154904016594,0.9655183855552673,,,,,,,
