metric,optimized,provided,benchmark
alpha,0.019839361780280965,-0.002621802875507645,8.326672684688674e-17
beta,0.9056195545565933,0.7977755457085309,0.9999999999999994
calmar_ratio,3.762065220629928,2.851269797678589,2.5337701488757154
excess_kurtosis,0.3159253813821703,0.48308151877047,0.8640114471042537
historical_var_95,0.058471826803614235,0.051010582552384276,0.06027926255964608
modigliani_modigliani,0.16223099411531217,0.13046962094037812,0.1500571572659523
r_squared,0.8788887139185408,0.7658431901304423,1.0
skewness,-0.1881589628292459,-0.08822369791289818,-0.4165510949555767
treynor_ratio,0.15550188442421126,0.13029022363953702,0.13360772544777058
