date,portfolio,ticker,cumulative_active_contribution
2011-12-31,provided,SPY,0.0
2012-01-31,provided,SPY,0.0
2012-02-29,provided,SPY,0.0
2012-03-31,provided,SPY,0.0
2012-04-30,provided,SPY,0.0
2012-05-31,provided,SPY,0.0
2012-06-30,provided,SPY,0.0
2012-07-31,provided,SPY,0.0
2012-08-31,provided,SPY,0.0
2012-09-30,provided,SPY,0.0
2012-10-31,provided,SPY,0.0
2012-11-30,provided,SPY,0.0
2012-12-31,provided,SPY,0.0
2013-01-31,provided,SPY,0.0
2013-02-28,provided,SPY,0.0
2013-03-31,provided,SPY,0.0
2013-04-30,provided,SPY,0.0
2013-05-31,provided,SPY,0.0
2013-06-30,provided,SPY,0.0
2013-07-31,provided,SPY,0.0
2013-08-31,provided,SPY,0.0
2013-09-30,provided,SPY,0.0
2013-10-31,provided,SPY,0.0
2013-11-30,provided,SPY,0.0
2013-12-31,provided,SPY,0.0
2014-01-31,provided,SPY,0.0
2014-02-28,provided,SPY,0.0
2014-03-31,provided,SPY,0.0
2014-04-30,provided,SPY,0.0
2014-05-31,provided,SPY,0.0
2014-06-30,provided,SPY,0.0
2014-07-31,provided,SPY,0.0
2014-08-31,provided,SPY,0.0
2014-09-30,provided,SPY,0.0
2014-10-31,provided,SPY,0.0
2014-11-30,provided,SPY,0.0
2014-12-31,provided,SPY,0.0
2015-01-31,provided,SPY,0.0
2015-02-28,provided,SPY,0.0
2015-03-31,provided,SPY,0.0
2015-04-30,provided,SPY,0.0
2015-05-31,provided,SPY,0.0
2015-06-30,provided,SPY,0.0
2015-07-31,provided,SPY,0.0
2015-08-31,provided,SPY,0.0
2015-09-30,provided,SPY,0.0
2015-10-31,provided,SPY,0.0
2015-11-30,provided,SPY,0.0
2015-12-31,provided,SPY,0.0
2016-01-31,provided,SPY,0.0
2016-02-29,provided,SPY,0.0
2016-03-31,provided,SPY,0.0
2016-04-30,provided,SPY,0.0
2016-05-31,provided,SPY,0.0
2016-06-30,provided,SPY,0.0
2016-07-31,provided,SPY,0.0
2016-08-31,provided,SPY,0.0
2016-09-30,provided,SPY,0.0
2016-10-31,provided,SPY,0.0
2016-11-30,provided,SPY,0.0
2016-12-31,provided,SPY,0.0
2017-01-31,provided,SPY,0.0
2017-02-28,provided,SPY,0.0
2017-03-31,provided,SPY,0.0
2017-04-30,provided,SPY,0.0
2017-05-31,provided,SPY,0.0
2017-06-30,provided,SPY,0.0
2017-07-31,provided,SPY,0.0
2017-08-31,provided,SPY,0.0
2017-09-30,provided,SPY,0.0
2017-10-31,provided,SPY,0.0
2017-11-30,provided,SPY,0.0
2017-12-31,provided,SPY,0.0
2018-01-31,provided,SPY,0.0
2018-02-28,provided,SPY,0.0
2018-03-31,provided,SPY,0.0
2018-04-30,provided,SPY,0.0
2018-05-31,provided,SPY,0.0
2018-06-30,provided,SPY,0.0
2018-07-31,provided,SPY,0.0
2018-08-31,provided,SPY,0.0
2018-09-30,provided,SPY,0.0
2018-10-31,provided,SPY,0.0
2018-11-30,provided,SPY,0.0
2018-12-31,provided,SPY,0.0
2019-01-31,provided,SPY,0.0
2019-02-28,provided,SPY,0.0
2019-03-31,provided,SPY,0.0
2019-04-30,provided,SPY,0.0
2019-05-31,provided,SPY,0.0
2019-06-30,provided,SPY,0.0
2019-07-31,provided,SPY,0.0
2019-08-31,provided,SPY,0.0
2019-09-30,provided,SPY,0.0
2019-10-31,provided,SPY,0.0
2019-11-30,provided,SPY,0.0
2019-12-31,provided,SPY,0.0
2020-01-31,provided,SPY,0.0
2020-02-29,provided,SPY,0.0
2020-03-31,provided,SPY,0.0
2020-04-30,provided,SPY,0.0
2020-05-31,provided,SPY,0.0
2020-06-30,provided,SPY,0.0
2020-07-31,provided,SPY,0.0
2020-08-31,provided,SPY,0.0
2020-09-30,provided,SPY,0.0
2020-10-31,provided,SPY,0.0
2020-11-30,provided,SPY,0.0
2020-12-31,provided,SPY,0.0
2021-01-31,provided,SPY,0.0
2021-02-28,provided,SPY,0.0
2021-03-31,provided,SPY,0.0
2021-04-30,provided,SPY,0.0
2021-05-31,provided,SPY,0.0
2021-06-30,provided,SPY,0.0
2021-07-31,provided,SPY,0.0
2021-08-31,provided,SPY,0.0
2021-09-30,provided,SPY,0.0
2021-10-31,provided,SPY,0.0
2021-11-30,provided,SPY,0.0
2021-12-31,provided,SPY,0.0
2022-01-31,provided,SPY,0.0
2022-02-28,provided,SPY,0.0
2022-03-31,provided,SPY,0.0
2022-04-30,provided,SPY,0.0
2022-05-31,provided,SPY,0.0
2022-06-30,provided,SPY,0.0
2022-07-31,provided,SPY,0.0
2022-08-31,provided,SPY,0.0
2022-09-30,provided,SPY,0.0
2022-10-31,provided,SPY,0.0
2022-11-30,provided,SPY,0.0
2022-12-31,provided,SPY,0.0
2023-01-31,provided,SPY,0.0
2023-02-28,provided,SPY,0.0
2023-03-31,provided,SPY,0.0
2023-04-30,provided,SPY,0.0
2023-05-31,provided,SPY,0.0
2023-06-30,provided,SPY,0.0
2023-07-31,provided,SPY,0.0
2023-08-31,provided,SPY,0.0
2023-09-30,provided,SPY,0.0
2023-10-31,provided,SPY,0.0
2023-11-30,provided,SPY,0.0
2023-12-31,provided,SPY,0.0
2024-01-31,provided,SPY,0.0
2024-02-29,provided,SPY,0.0
2024-03-31,provided,SPY,0.0
2024-04-30,provided,SPY,0.0
2024-05-31,provided,SPY,0.0
2024-06-30,provided,SPY,0.0
2024-07-31,provided,SPY,0.0
2024-08-31,provided,SPY,0.0
2024-09-30,provided,SPY,0.0
2024-10-31,provided,SPY,0.0
2024-11-30,provided,SPY,0.0
2024-12-31,provided,SPY,0.0
2025-01-31,provided,SPY,0.0
2025-02-28,provided,SPY,0.0
2025-03-31,provided,SPY,0.0
2025-04-30,provided,SPY,0.0
2025-05-31,provided,SPY,0.0
2025-06-30,provided,SPY,0.0
2025-07-31,provided,SPY,0.0
2025-08-31,provided,SPY,0.0
2025-09-30,provided,SPY,0.0
2025-10-31,provided,SPY,0.0
2025-11-30,provided,SPY,0.0
2025-12-31,provided,SPY,0.0
2026-01-31,provided,SPY,0.0
2026-02-28,provided,SPY,0.0
2026-03-31,provided,SPY,0.0
2026-04-30,provided,SPY,0.0
2026-05-31,provided,SPY,0.0
2026-06-30,provided,SPY,0.0
2026-07-31,provided,SPY,0.0
2011-12-31,provided,QQQ,-0.004977242455303099
2012-01-31,provided,QQQ,0.006365780904944673
2012-02-29,provided,QQQ,0.012574241858041667
2012-03-31,provided,QQQ,0.01808418673746169
2012-04-30,provided,QQQ,0.016578357322323354
2012-05-31,provided,QQQ,0.013474666881515949
2012-06-30,provided,QQQ,0.012164609750760566
2012-07-31,provided,QQQ,0.011608325949998497
2012-08-31,provided,QQQ,0.019648129768623932
2012-09-30,provided,QQQ,0.014708108776225456
2012-10-31,provided,QQQ,0.004329642711309053
2012-11-30,provided,QQQ,0.006558082426556474
2012-12-31,provided,QQQ,0.002476833330945746
2013-01-31,provided,QQQ,-0.004865577397638534
2013-02-28,provided,QQQ,-0.007661381651123735
2013-03-31,provided,QQQ,-0.00997840989142449
2013-04-30,provided,QQQ,-0.008130232006413452
2013-05-31,provided,QQQ,-0.004480462850649315
2013-06-30,provided,QQQ,-0.007662901190176687
2013-07-31,provided,QQQ,-0.004223918284700669
2013-08-31,provided,QQQ,0.003585757632724726
2013-09-30,provided,QQQ,0.008588495823263551
2013-10-31,provided,QQQ,0.009567238912299134
2013-11-30,provided,QQQ,0.011329436354625641
2013-12-31,provided,QQQ,0.01233289430476223
2014-01-31,provided,QQQ,0.017143253046444193
2014-02-28,provided,QQQ,0.018945769199336434
2014-03-31,provided,QQQ,0.008256486150513439
2014-04-30,provided,QQQ,0.0052128344723363
2014-05-31,provided,QQQ,0.011708040135879148
2014-06-30,provided,QQQ,0.014885822018547455
2014-07-31,provided,QQQ,0.022462998177046254
2014-08-31,provided,QQQ,0.025652454954827295
2014-09-30,provided,QQQ,0.0275214453007249
2014-10-31,provided,QQQ,0.028381959446498826
2014-11-30,provided,QQQ,0.033779660262820387
2014-12-31,provided,QQQ,0.027818602642941635
2015-01-31,provided,QQQ,0.03046039967530989
2015-02-28,provided,QQQ,0.035260730270712415
2015-03-31,provided,QQQ,0.032895547490369846
2015-04-30,provided,QQQ,0.03571238696475718
2015-05-31,provided,QQQ,0.03860095077702193
2015-06-30,provided,QQQ,0.037242149066639876
2015-07-31,provided,QQQ,0.044138689106288154
