date,optimized_drawdown_pct,provided_drawdown_pct
2011-12-31,0.0,0.0
2012-01-31,0.0,0.0
2012-02-29,0.0,0.0
2012-03-31,0.0,0.0
2012-04-30,-0.8218780656147784,0.0
2012-05-31,-7.352477814546821,-6.3150125899956056
2012-06-30,-4.088650987262909,-3.898013940464229
2012-07-31,-3.104609265643743,-2.5586840277418754
2012-08-31,0.0,-0.31830951302334043
2012-09-30,0.0,0.0
2012-10-31,-3.758665698300079,-2.466033468535034
2012-11-30,-3.041623704886398,-1.1166229100767366
2012-12-31,-3.4338072636130423,-0.257533889302175
2013-01-31,-0.682855690101869,0.0
2013-02-28,-1.0541527040670684,-0.6267519461392479
2013-03-31,0.0,-0.04019640853624162
2013-04-30,0.0,0.0
2013-05-31,0.0,0.0
2013-06-30,-3.674045408388249,-4.550608587769444
2013-07-31,0.0,-0.2848587547630843
2013-08-31,-0.1712610386348623,0.0
2013-09-30,0.0,0.0
2013-10-31,0.0,0.0
2013-11-30,0.0,0.0
2013-12-31,0.0,0.0
2014-01-31,-1.4312385053394938,-2.702420822494611
2014-02-28,0.0,0.0
2014-03-31,-1.690909158194076,-1.341991068826831
2014-04-30,-1.5430977914956734,-1.1725705031473965
2014-05-31,0.0,0.0
2014-06-30,0.0,0.0
2014-07-31,-0.5065424434725574,0.0
2014-08-31,0.0,0.0
2014-09-30,-1.9605297810364464,-3.3822808098714074
2014-10-31,-0.4977454625396893,-2.011300352560963
2014-11-30,0.0,-0.6457944080152545
2014-12-31,-0.9560043395885343,-1.0373166520661226
2015-01-31,-1.3072806242337753,-1.5301928375625273
2015-02-28,0.0,0.0
2015-03-31,-2.0730057203198315,-0.4094479911703641
2015-04-30,-0.8598696945289919,0.0
2015-05-31,0.0,-0.7016408247534023
2015-06-30,-2.161836072966583,-3.833983468736646
2015-07-31,-0.4435245345843608,-4.836718749506675
2015-08-31,-5.059039051680447,-9.650160277926101
2015-09-30,-7.185547117638913,-10.656791736409865
2015-10-31,0.0,-4.293374562023455
2015-11-30,-0.8370069670944225,-6.231930582339585
2015-12-31,-2.249038818173954,-7.3252682662867
2016-01-31,-6.1704130461637146,-11.042721774369912
2016-02-29,-5.021073553437116,-10.346250517335143
2016-03-31,0.0,-4.929631763233
2016-04-30,-0.5191944735635889,-5.157414020911821
2016-05-31,0.0,-5.271523070594098
2016-06-30,0.0,-3.4112357465880816
2016-07-31,0.0,0.0
2016-08-31,-0.04318858143206317,0.0
2016-09-30,0.0,0.0
2016-10-31,-1.8208068320309634,-2.324028575646353
2016-11-30,-1.9977028422554888,-1.908026069214419
2016-12-31,-1.1683010354594958,-2.1324184790615486
2017-01-31,0.0,0.0
2017-02-28,0.0,0.0
2017-03-31,0.0,0.0
2017-04-30,0.0,0.0
2017-05-31,0.0,0.0
2017-06-30,-1.3598594160653343,-0.06652771292776638
2017-07-31,0.0,0.0
2017-08-31,0.0,0.0
2017-09-30,-0.14196891155632274,-0.4221791205314629
2017-10-31,0.0,0.0
2017-11-30,0.0,0.0
2017-12-31,0.0,0.0
2018-01-31,0.0,0.0
2018-02-28,-2.174160681879267,-3.402328529598053
2018-03-31,-4.8960675163293494,-4.782142597370431
2018-04-30,-4.670024606953271,-4.900032616839301
2018-05-31,-1.4505730408867157,-2.8714868841207664
2018-06-30,-1.371208611285435,-4.283681086386714
2018-07-31,0.0,-3.717196928301747
2018-08-31,0.0,-2.6031109986092926
2018-09-30,-0.07708805790918039,-2.4108072520393486
2018-10-31,-6.145491982015949,-9.366290577931446
2018-11-30,-5.664129884590762,-7.421854585310028
2018-12-31,-11.489613823046142,-11.824681911382918
2019-01-31,-4.801662361039605,-5.243523322654031
2019-02-28,-2.516936441242068,-3.4322564899068153
2019-03-31,-0.33969089530461183,-1.6452733106056883
2019-04-30,0.0,0.0
2019-05-31,-5.787751781892537,-6.074551645748594
2019-06-30,0.0,-0.017548799439548457
2019-07-31,0.0,-0.053079799303656916
2019-08-31,-0.003366341973010112,-0.217613401857375
2019-09-30,0.0,0.0
2019-10-31,0.0,0.0
2019-11-30,0.0,0.0
2019-12-31,0.0,0.0
2020-01-31,0.0,-0.23191213247248932
2020-02-29,-5.632516104110219,-3.0939566612757097
2020-03-31,-12.808859100641323,-10.447301419640597
2020-04-30,-1.627066724414017,-1.3623726215715504
2020-05-31,0.0,0.0
2020-06-30,0.0,0.0
2020-07-31,0.0,0.0
2020-08-31,0.0,0.0
2020-09-30,-4.840934386356688,-2.7951053989827224
2020-10-31,-7.126564072511066,-4.0331829386530345
2020-11-30,0.0,0.0
2020-12-31,0.0,0.0
2021-01-31,-0.7890426954997976,0.0
2021-02-28,-1.1440661719489431,0.0
2021-03-31,0.0,0.0
2021-04-30,0.0,0.0
2021-05-31,0.0,0.0
2021-06-30,0.0,0.0
2021-07-31,0.0,0.0
2021-08-31,0.0,0.0
2021-09-30,-4.9044972083444165,-5.024186463989732
2021-10-31,0.0,-0.2946903765322362
2021-11-30,0.0,-0.9360726462598112
2021-12-31,0.0,0.0
2022-01-31,-6.341662979430573,-5.229938082039021
2022-02-28,-8.23896041305483,-6.916140369363388
2022-03-31,-4.797123423620809,-5.916241511193143
2022-04-30,-14.25894437777342,-14.26573623747146
2022-05-31,-15.398648970587935,-14.85742649545967
2022-06-30,-21.60344646573642,-20.528342148517154
2022-07-31,-14.794328409004741,-16.819778448345758
2022-08-31,-18.538854736379328,-19.983969308902072
2022-09-30,-25.63207510281308,-27.74585707939592
2022-10-31,-22.494020095597023,-26.805641670456804
2022-11-30,-17.768272001772267,-19.133785317378106
2022-12-31,-22.51374965426278,-22.3962292243405
2023-01-31,-16.03022551067105,-15.091470364406812
